# COMMAND> Cartddg_Pucci2018revN_th8.txt 3 4 100
# Total data entries loaded: 342
# Total Experimental Positives 253 and Negatives 89 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.740
# Total Predicted Positives 169 and Negatives 173 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.494
# Predicted data goes from -8.000001 to 11.780001 (range 19.780002) --> 100 samples taken in 0.19780002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -8.000 1.000000 0.739766 1.000000 0.000000 0.000000 0.739766 0.260234 0.936459 0.850420 0.934269 1.000000
    -7.802 0.972332 0.752294 0.910112 0.089888 0.133310 0.742690 0.257310 0.945548 0.848276 0.918596 0.829070
    -7.604 0.972332 0.752294 0.910112 0.089888 0.133310 0.742690 0.257310 0.945548 0.848276 0.918596 0.829070
    -7.407 0.972332 0.752294 0.910112 0.089888 0.133310 0.742690 0.257310 0.945548 0.848276 0.918596 0.829070
    -7.209 0.972332 0.752294 0.910112 0.089888 0.133310 0.742690 0.257310 0.945548 0.848276 0.918596 0.829070
    -7.011 0.968379 0.751534 0.910112 0.089888 0.121063 0.739766 0.260234 0.944123 0.846287 0.915546 0.829304
    -6.813 0.964427 0.755418 0.887640 0.112360 0.147083 0.742690 0.257310 0.947573 0.847222 0.913858 0.789171
    -6.615 0.956522 0.756250 0.876404 0.123596 0.143283 0.739766 0.260234 0.947162 0.844677 0.908408 0.769975
    -6.418 0.956522 0.758621 0.865169 0.134831 0.160037 0.742690 0.257310 0.949640 0.846154 0.909091 0.750407
    -6.220 0.948617 0.757098 0.865169 0.134831 0.140660 0.736842 0.263158 0.946746 0.842105 0.902935 0.751157
    -6.022 0.944664 0.756329 0.865169 0.134831 0.131604 0.733918 0.266082 0.945287 0.840070 0.899849 0.751579
    -5.824 0.932806 0.756410 0.853933 0.146067 0.122335 0.728070 0.271930 0.943371 0.835398 0.891239 0.733716
    -5.626 0.928854 0.755627 0.853933 0.146067 0.114498 0.725146 0.274854 0.941884 0.833333 0.888133 0.734263
    -5.429 0.916996 0.758170 0.831461 0.168539 0.122289 0.722222 0.277778 0.942451 0.830054 0.880121 0.698217
    -5.231 0.913043 0.759868 0.820225 0.179775 0.129587 0.722222 0.277778 0.943499 0.829443 0.877660 0.680330
    -5.033 0.913043 0.762376 0.808989 0.191011 0.143636 0.725146 0.274854 0.946075 0.830935 0.878327 0.662024
    -4.835 0.905138 0.760797 0.808989 0.191011 0.129876 0.719298 0.280702 0.943034 0.826715 0.872049 0.663462
    -4.637 0.901186 0.765101 0.786517 0.213483 0.150268 0.722222 0.277778 0.946713 0.827586 0.870229 0.628373
    -4.440 0.897233 0.769492 0.764045 0.235955 0.169731 0.725146 0.274854 0.950454 0.828467 0.868401 0.594326
    -4.242 0.897233 0.774744 0.741573 0.258427 0.194940 0.730994 0.269006 0.955789 0.831502 0.869732 0.560492
    -4.044 0.897233 0.777397 0.730337 0.269663 0.207265 0.733918 0.266082 0.958480 0.833028 0.870399 0.543953
    -3.846 0.885375 0.775087 0.730337 0.269663 0.187978 0.725146 0.274854 0.953868 0.826568 0.860876 0.546531
    -3.648 0.873518 0.778169 0.707865 0.292135 0.193678 0.722222 0.277778 0.954644 0.823091 0.852623 0.517071
    -3.451 0.861660 0.775801 0.707865 0.292135 0.176270 0.713450 0.286550 0.949891 0.816479 0.843001 0.520211
    -3.253 0.861660 0.784173 0.674157 0.325843 0.210936 0.722222 0.277778 0.958242 0.821092 0.844961 0.473626
    -3.055 0.849802 0.793358 0.629213 0.370787 0.238630 0.725146 0.274854 0.964847 0.820611 0.837880 0.418469
    -2.857 0.841897 0.794776 0.617978 0.382022 0.238597 0.722222 0.277778 0.964528 0.817658 0.832031 0.406893
