# COMMAND> Dynamut_Pucci2018N.txt 3 4 100
# Total data entries loaded: 684
# Total Experimental Positives 342 and Negatives 342 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.500
# Total Predicted Positives 112 and Negatives 572 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.164
# Predicted data goes from -3.944001 to 1.571001 (range 5.515002) --> 100 samples taken in 0.05515002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -3.944 1.000000 0.500000 1.000000 0.000000 0.000000 0.500000 0.500000 0.666667 0.666667 0.833333 1.000000
    -3.889 1.000000 0.500732 0.997076 0.002924 0.038264 0.501462 0.498538 0.667534 0.667317 0.833740 0.994161
    -3.834 1.000000 0.501466 0.994152 0.005848 0.054153 0.502924 0.497076 0.668404 0.667969 0.834146 0.988338
    -3.779 0.997076 0.501471 0.991228 0.008772 0.038348 0.502924 0.497076 0.668191 0.667319 0.832520 0.982542
    -3.723 0.997076 0.502950 0.985380 0.014620 0.062715 0.505848 0.494152 0.669941 0.668627 0.833333 0.970983
    -3.668 0.997076 0.502950 0.985380 0.014620 0.062715 0.505848 0.494152 0.669941 0.668627 0.833333 0.970983
    -3.613 0.997076 0.505185 0.976608 0.023392 0.089810 0.510234 0.489766 0.672584 0.670600 0.834557 0.953772
    -3.558 0.997076 0.505185 0.976608 0.023392 0.089810 0.510234 0.489766 0.672584 0.670600 0.834557 0.953772
    -3.503 0.997076 0.506686 0.970760 0.029240 0.104602 0.513158 0.486842 0.674357 0.671921 0.835375 0.942384
    -3.448 0.997076 0.507440 0.967836 0.032164 0.111359 0.514620 0.485380 0.675248 0.672584 0.835784 0.936716
    -3.393 0.991228 0.507485 0.961988 0.038012 0.096728 0.514620 0.485380 0.674851 0.671287 0.832515 0.925498
    -3.337 0.991228 0.508246 0.959064 0.040936 0.103301 0.516082 0.483918 0.675748 0.671952 0.832924 0.919881
    -3.282 0.991228 0.509009 0.956140 0.043860 0.109599 0.517544 0.482456 0.676647 0.672619 0.833333 0.914281
    -3.227 0.991228 0.509009 0.956140 0.043860 0.109599 0.517544 0.482456 0.676647 0.672619 0.833333 0.914281
    -3.172 0.991228 0.510542 0.950292 0.049708 0.121487 0.520468 0.479532 0.678452 0.673956 0.834154 0.903133
    -3.117 0.991228 0.510542 0.950292 0.049708 0.121487 0.520468 0.479532 0.678452 0.673956 0.834154 0.903133
    -3.062 0.988304 0.509804 0.950292 0.049708 0.110173 0.519006 0.480994 0.677355 0.672637 0.832102 0.903192
    -3.006 0.988304 0.511346 0.944444 0.055556 0.121654 0.521930 0.478070 0.679169 0.673978 0.832923 0.892112
    -2.951 0.988304 0.511346 0.944444 0.055556 0.121654 0.521930 0.478070 0.679169 0.673978 0.832923 0.892112
    -2.896 0.988304 0.512898 0.938596 0.061404 0.132445 0.524854 0.475146 0.680994 0.675325 0.833744 0.881100
    -2.841 0.988304 0.512898 0.938596 0.061404 0.132445 0.524854 0.475146 0.680994 0.675325 0.833744 0.881100
    -2.786 0.988304 0.514460 0.932749 0.067251 0.142656 0.527778 0.472222 0.682828 0.676677 0.834568 0.870157
    -2.731 0.988304 0.514460 0.932749 0.067251 0.142656 0.527778 0.472222 0.682828 0.676677 0.834568 0.870157
