# COMMAND> Dynamut_Pucci2018dirN.txt 3 4 100
# Total data entries loaded: 342
# Total Experimental Positives 89 and Negatives 253 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.260
# Total Predicted Positives 46 and Negatives 296 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.135
# Predicted data goes from -3.944001 to 1.571001 (range 5.515002) --> 100 samples taken in 0.05515002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -3.944 1.000000 0.260234 1.000000 0.000000 0.000000 0.260234 0.739766 0.366507 0.412993 0.637536 1.000000
    -3.889 1.000000 0.260997 0.996047 0.003953 0.032119 0.263158 0.736842 0.367515 0.413953 0.638451 0.992110
    -3.834 1.000000 0.261765 0.992095 0.007905 0.045489 0.266082 0.733918 0.368530 0.414918 0.639368 0.984252
    -3.779 1.000000 0.262537 0.988142 0.011858 0.055795 0.269006 0.730994 0.369550 0.415888 0.640288 0.976425
    -3.723 1.000000 0.263314 0.984190 0.015810 0.064522 0.271930 0.728070 0.370576 0.416862 0.641210 0.968629
    -3.668 1.000000 0.263314 0.984190 0.015810 0.064522 0.271930 0.728070 0.370576 0.416862 0.641210 0.968629
    -3.613 1.000000 0.265672 0.972332 0.027668 0.085736 0.280702 0.719298 0.373688 0.419811 0.643994 0.945430
    -3.558 1.000000 0.265672 0.972332 0.027668 0.085736 0.280702 0.719298 0.373688 0.419811 0.643994 0.945430
    -3.503 1.000000 0.267267 0.964427 0.035573 0.097507 0.286550 0.713450 0.375792 0.421801 0.645864 0.930119
    -3.448 1.000000 0.268072 0.960474 0.039526 0.102936 0.289474 0.710526 0.376853 0.422803 0.646802 0.922511
    -3.393 1.000000 0.269697 0.952569 0.047431 0.113102 0.295322 0.704678 0.378992 0.424821 0.648688 0.907388
    -3.337 1.000000 0.270517 0.948617 0.051383 0.117899 0.298246 0.701754 0.380071 0.425837 0.649635 0.899873
    -3.282 1.000000 0.271341 0.944664 0.055336 0.122535 0.301170 0.698830 0.381156 0.426859 0.650585 0.892390
    -3.227 1.000000 0.271341 0.944664 0.055336 0.122535 0.301170 0.698830 0.381156 0.426859 0.650585 0.892390
    -3.172 1.000000 0.273006 0.936759 0.063241 0.131397 0.307018 0.692982 0.383345 0.428916 0.652493 0.877517
