# COMMAND> Evo_Pucci2018N.txt 3 4 100
# Total data entries loaded: 684
# Total Experimental Positives 342 and Negatives 342 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.500
# Total Predicted Positives 311 and Negatives 373 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.455
# Predicted data goes from -6.340001 to 3.250001 (range 9.590002) --> 100 samples taken in 0.09590002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -6.340 1.000000 0.500000 1.000000 0.000000 0.000000 0.500000 0.500000 0.666667 0.666667 0.833333 1.000000
    -6.244 1.000000 0.500732 0.997076 0.002924 0.038264 0.501462 0.498538 0.667534 0.667317 0.833740 0.994161
    -6.148 1.000000 0.500732 0.997076 0.002924 0.038264 0.501462 0.498538 0.667534 0.667317 0.833740 0.994161
    -6.052 1.000000 0.500732 0.997076 0.002924 0.038264 0.501462 0.498538 0.667534 0.667317 0.833740 0.994161
    -5.956 1.000000 0.500732 0.997076 0.002924 0.038264 0.501462 0.498538 0.667534 0.667317 0.833740 0.994161
    -5.861 1.000000 0.500732 0.997076 0.002924 0.038264 0.501462 0.498538 0.667534 0.667317 0.833740 0.994161
    -5.765 1.000000 0.500732 0.997076 0.002924 0.038264 0.501462 0.498538 0.667534 0.667317 0.833740 0.994161
    -5.669 1.000000 0.500732 0.997076 0.002924 0.038264 0.501462 0.498538 0.667534 0.667317 0.833740 0.994161
    -5.573 1.000000 0.500732 0.997076 0.002924 0.038264 0.501462 0.498538 0.667534 0.667317 0.833740 0.994161
    -5.477 1.000000 0.501466 0.994152 0.005848 0.054153 0.502924 0.497076 0.668404 0.667969 0.834146 0.988338
    -5.381 1.000000 0.501466 0.994152 0.005848 0.054153 0.502924 0.497076 0.668404 0.667969 0.834146 0.988338
    -5.285 1.000000 0.501466 0.994152 0.005848 0.054153 0.502924 0.497076 0.668404 0.667969 0.834146 0.988338
    -5.189 1.000000 0.501466 0.994152 0.005848 0.054153 0.502924 0.497076 0.668404 0.667969 0.834146 0.988338
    -5.093 1.000000 0.501466 0.994152 0.005848 0.054153 0.502924 0.497076 0.668404 0.667969 0.834146 0.988338
    -4.997 1.000000 0.501466 0.994152 0.005848 0.054153 0.502924 0.497076 0.668404 0.667969 0.834146 0.988338
    -4.902 1.000000 0.501466 0.994152 0.005848 0.054153 0.502924 0.497076 0.668404 0.667969 0.834146 0.988338
