# COMMAND> Evo_Pucci2018revN.txt 3 4 100
# Total data entries loaded: 342
# Total Experimental Positives 253 and Negatives 89 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.740
# Total Predicted Positives 193 and Negatives 149 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.564
# Predicted data goes from -3.720001 to 3.250001 (range 6.970002) --> 100 samples taken in 0.06970002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -3.720 1.000000 0.739766 1.000000 0.000000 0.000000 0.739766 0.260234 0.936459 0.850420 0.934269 1.000000
    -3.650 1.000000 0.741935 0.988764 0.011236 0.091304 0.742690 0.257310 0.938776 0.851852 0.934959 0.977654
    -3.581 1.000000 0.741935 0.988764 0.011236 0.091304 0.742690 0.257310 0.938776 0.851852 0.934959 0.977654
    -3.511 1.000000 0.741935 0.988764 0.011236 0.091304 0.742690 0.257310 0.938776 0.851852 0.934959 0.977654
    -3.441 1.000000 0.741935 0.988764 0.011236 0.091304 0.742690 0.257310 0.938776 0.851852 0.934959 0.977654
    -3.372 1.000000 0.741935 0.988764 0.011236 0.091304 0.742690 0.257310 0.938776 0.851852 0.934959 0.977654
    -3.302 1.000000 0.741935 0.988764 0.011236 0.091304 0.742690 0.257310 0.938776 0.851852 0.934959 0.977654
    -3.232 1.000000 0.741935 0.988764 0.011236 0.091304 0.742690 0.257310 0.938776 0.851852 0.934959 0.977654
    -3.162 1.000000 0.741935 0.988764 0.011236 0.091304 0.742690 0.257310 0.938776 0.851852 0.934959 0.977654
    -3.093 1.000000 0.741935 0.988764 0.011236 0.091304 0.742690 0.257310 0.938776 0.851852 0.934959 0.977654
    -3.023 1.000000 0.741935 0.988764 0.011236 0.091304 0.742690 0.257310 0.938776 0.851852 0.934959 0.977654
    -2.953 1.000000 0.741935 0.988764 0.011236 0.091304 0.742690 0.257310 0.938776 0.851852 0.934959 0.977654
    -2.884 1.000000 0.741935 0.988764 0.011236 0.091304 0.742690 0.257310 0.938776 0.851852 0.934959 0.977654
    -2.814 1.000000 0.741935 0.988764 0.011236 0.091304 0.742690 0.257310 0.938776 0.851852 0.934959 0.977654
    -2.744 1.000000 0.741935 0.988764 0.011236 0.091304 0.742690 0.257310 0.938776 0.851852 0.934959 0.977654
    -2.675 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.605 0.992095 0.740413 0.988764 0.011236 0.015673 0.736842 0.263158 0.935985 0.847973 0.928942 0.977717
    -2.535 0.992095 0.740413 0.988764 0.011236 0.015673 0.736842 0.263158 0.935985 0.847973 0.928942 0.977717
    -2.465 0.992095 0.742604 0.977528 0.022472 0.059447 0.739766 0.260234 0.938318 0.849408 0.929630 0.955624
    -2.396 0.992095 0.742604 0.977528 0.022472 0.059447 0.739766 0.260234 0.938318 0.849408 0.929630 0.955624
    -2.326 0.992095 0.742604 0.977528 0.022472 0.059447 0.739766 0.260234 0.938318 0.849408 0.929630 0.955624
    -2.256 0.992095 0.742604 0.977528 0.022472 0.059447 0.739766 0.260234 0.938318 0.849408 0.929630 0.955624
    -2.187 0.992095 0.744807 0.966292 0.033708 0.094324 0.742690 0.257310 0.940662 0.850847 0.930319 0.933783
    -2.117 0.992095 0.744807 0.966292 0.033708 0.094324 0.742690 0.257310 0.940662 0.850847 0.930319 0.933783
    -2.047 0.992095 0.744807 0.966292 0.033708 0.094324 0.742690 0.257310 0.940662 0.850847 0.930319 0.933783
    -1.978 0.992095 0.744807 0.966292 0.033708 0.094324 0.742690 0.257310 0.940662 0.850847 0.930319 0.933783
    -1.908 0.988142 0.744048 0.966292 0.033708 0.073024 0.739766 0.260234 0.939261 0.848896 0.927300 0.933861
    -1.838 0.968379 0.740181 0.966292 0.033708 0.005191 0.725146 0.274854 0.932150 0.839041 0.912137 0.934720
    -1.768 0.964427 0.739394 0.966292 0.033708 -0.004448 0.722222 0.277778 0.930706 0.837050 0.909091 0.934986
    -1.699 0.964427 0.741641 0.955056 0.044944 0.021501 0.725146 0.274854 0.933078 0.838488 0.909769 0.913398
    -1.629 0.944664 0.737654 0.955056 0.044944 -0.020420 0.710526 0.289474 0.925759 0.828423 0.894461 0.915194
    -1.559 0.944664 0.739938 0.943820 0.056180 0.001616 0.713450 0.286550 0.928155 0.829861 0.895131 0.893859
    -1.490 0.940711 0.741433 0.932584 0.067416 0.014854 0.713450 0.286550 0.929083 0.829268 0.892723 0.873229
    -1.420 0.940711 0.743750 0.921348 0.078652 0.034629 0.716374 0.283626 0.931507 0.830716 0.893393 0.852398
    -1.350 0.940711 0.743750 0.921348 0.078652 0.034629 0.716374 0.283626 0.931507 0.830716 0.893393 0.852398
    -1.281 0.940711 0.746082 0.910112 0.089888 0.053605 0.719298 0.280702 0.933944 0.832168 0.894065 0.831820
    -1.211 0.928854 0.748408 0.887640 0.112360 0.065955 0.716374 0.283626 0.934394 0.828924 0.886124 0.792967
    -1.141 0.920949 0.746795 0.887640 0.112360 0.051662 0.710526 0.289474 0.931379 0.824779 0.879909 0.794155
