# COMMAND> KORPM_Pucci2018N.txt 10 11 100
# Total data entries loaded: 684
# Total Experimental Positives 342 and Negatives 342 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.500
# Total Predicted Positives 336 and Negatives 348 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.491
# Predicted data goes from -4.60513 to 4.532288 (range 9.137418) --> 100 samples taken in 0.09137418 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -4.605 1.000000 0.500000 1.000000 0.000000 0.000000 0.500000 0.500000 0.666667 0.666667 0.833333 1.000000
    -4.514 1.000000 0.501466 0.994152 0.005848 0.054153 0.502924 0.497076 0.668404 0.667969 0.834146 0.988338
    -4.422 1.000000 0.501466 0.994152 0.005848 0.054153 0.502924 0.497076 0.668404 0.667969 0.834146 0.988338
    -4.331 1.000000 0.501466 0.994152 0.005848 0.054153 0.502924 0.497076 0.668404 0.667969 0.834146 0.988338
    -4.240 1.000000 0.502941 0.988304 0.011696 0.076696 0.505848 0.494152 0.670150 0.669276 0.834961 0.976745
    -4.148 1.000000 0.503682 0.985380 0.014620 0.085812 0.507310 0.492690 0.671027 0.669931 0.835369 0.970974
    -4.057 1.000000 0.503682 0.985380 0.014620 0.085812 0.507310 0.492690 0.671027 0.669931 0.835369 0.970974
    -3.966 1.000000 0.504425 0.982456 0.017544 0.094072 0.508772 0.491228 0.671906 0.670588 0.835777 0.965220
    -3.874 1.000000 0.505170 0.979532 0.020468 0.101684 0.510234 0.489766 0.672787 0.671246 0.836186 0.959483
    -3.783 1.000000 0.505170 0.979532 0.020468 0.101684 0.510234 0.489766 0.672787 0.671246 0.836186 0.959483
    -3.691 1.000000 0.505170 0.979532 0.020468 0.101684 0.510234 0.489766 0.672787 0.671246 0.836186 0.959483
    -3.600 1.000000 0.506667 0.973684 0.026316 0.115470 0.513158 0.486842 0.674556 0.672566 0.837004 0.948061
    -3.509 1.000000 0.508172 0.967836 0.032164 0.127846 0.516082 0.483918 0.676335 0.673892 0.837825 0.936707
    -3.417 1.000000 0.508929 0.964912 0.035088 0.133631 0.517544 0.482456 0.677228 0.674556 0.838235 0.931056
    -3.326 1.000000 0.510448 0.959064 0.040936 0.144553 0.520468 0.479532 0.679021 0.675889 0.839058 0.919804
    -3.235 1.000000 0.511976 0.953216 0.046784 0.154765 0.523392 0.476608 0.680823 0.677228 0.839882 0.908621
    -3.143 1.000000 0.512744 0.950292 0.049708 0.159647 0.524854 0.475146 0.681728 0.677899 0.840295 0.903056
    -3.052 1.000000 0.515837 0.938596 0.061404 0.177972 0.530702 0.469298 0.685371 0.680597 0.841950 0.880963
    -2.960 1.000000 0.518968 0.926901 0.073099 0.194772 0.536550 0.463450 0.689053 0.683317 0.843611 0.859145
    -2.869 1.000000 0.520548 0.921053 0.078947 0.202721 0.539474 0.460526 0.690909 0.684685 0.844444 0.848338
    -2.778 1.000000 0.522137 0.915205 0.084795 0.210416 0.542398 0.457602 0.692775 0.686058 0.845279 0.837600
    -2.686 1.000000 0.525346 0.903509 0.096491 0.225147 0.548246 0.451754 0.696538 0.688822 0.846954 0.816328
    -2.595 1.000000 0.526965 0.897661 0.102339 0.232226 0.551170 0.448830 0.698434 0.690212 0.847794 0.805795
    -2.504 0.997076 0.531981 0.877193 0.122807 0.246957 0.559942 0.440058 0.704061 0.693795 0.848681 0.769476
    -2.412 0.994152 0.534591 0.865497 0.134503 0.251828 0.564327 0.435673 0.706861 0.695297 0.848303 0.749119
    -2.321 0.994152 0.537975 0.853801 0.146199 0.264777 0.570175 0.429825 0.710801 0.698152 0.850000 0.729011
    -2.229 0.994152 0.544000 0.833333 0.166667 0.286416 0.580409 0.419591 0.717804 0.703206 0.852985 0.694479
    -2.138 0.988304 0.546926 0.818713 0.181287 0.287185 0.584795 0.415205 0.720682 0.704167 0.850957 0.670429
    -2.047 0.988304 0.551387 0.804094 0.195906 0.301982 0.592105 0.407895 0.725841 0.707853 0.853104 0.646703
    -1.955 0.988304 0.558678 0.780702 0.219298 0.324763 0.603801 0.396199 0.734251 0.713833 0.856564 0.609632
    -1.864 0.988304 0.561462 0.771930 0.228070 0.333063 0.608187 0.391813 0.737455 0.716102 0.857868 0.596012
    -1.773 0.988304 0.568067 0.751462 0.248538 0.351991 0.618421 0.381579 0.745040 0.721451 0.860927 0.564832
    -1.681 0.982456 0.569492 0.742690 0.257310 0.348196 0.619883 0.380117 0.746114 0.721030 0.858018 0.551896
    -1.590 0.979532 0.572650 0.730994 0.269006 0.353202 0.624269 0.375731 0.749441 0.722762 0.857655 0.534771
    -1.498 0.976608 0.577855 0.713450 0.286550 0.363601 0.631579 0.368421 0.755087 0.726087 0.858171 0.509558
    -1.407 0.973684 0.586268 0.687135 0.312865 0.381789 0.643275 0.356725 0.764346 0.731868 0.860021 0.472846
    -1.316 0.973684 0.595707 0.660819 0.339181 0.404784 0.656433 0.343567 0.775019 0.739179 0.864037 0.437374
    -1.224 0.964912 0.601093 0.640351 0.359649 0.407727 0.662281 0.337719 0.780142 0.740741 0.860720 0.411280
    -1.133 0.964912 0.614525 0.605263 0.394737 0.437783 0.679825 0.320175 0.795181 0.750853 0.866142 0.367575
    -1.042 0.956140 0.626437 0.570175 0.429825 0.453922 0.692982 0.307018 0.807407 0.756944 0.865079 0.327024
    -0.950 0.950292 0.637255 0.540936 0.459064 0.469968 0.704678 0.295322 0.818640 0.762911 0.865282 0.295082
    -0.859 0.944444 0.653846 0.500000 0.500000 0.496139 0.722222 0.277778 0.836066 0.772727 0.867347 0.253086
    -0.767 0.935673 0.663900 0.473684 0.526316 0.506358 0.730994 0.269006 0.845815 0.776699 0.864865 0.228515
    -0.676 0.921053 0.674518 0.444444 0.555556 0.512035 0.738304 0.261696 0.855204 0.778739 0.858311 0.203764
    -0.585 0.915205 0.686404 0.418129 0.581871 0.527229 0.748538 0.251462 0.867036 0.784461 0.858004 0.182022
