# COMMAND> TherNet_Pucci2018N.txt 3 4 100
# Total data entries loaded: 684
# Total Experimental Positives 342 and Negatives 342 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.500
# Total Predicted Positives 325 and Negatives 359 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.475
# Predicted data goes from -3.090001 to 3.750001 (range 6.840002) --> 100 samples taken in 0.06840002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -3.090 1.000000 0.500000 1.000000 0.000000 0.000000 0.500000 0.500000 0.666667 0.666667 0.833333 1.000000
    -3.022 1.000000 0.500732 0.997076 0.002924 0.038264 0.501462 0.498538 0.667534 0.667317 0.833740 0.994161
    -2.953 1.000000 0.500732 0.997076 0.002924 0.038264 0.501462 0.498538 0.667534 0.667317 0.833740 0.994161
    -2.885 1.000000 0.500732 0.997076 0.002924 0.038264 0.501462 0.498538 0.667534 0.667317 0.833740 0.994161
    -2.816 1.000000 0.501466 0.994152 0.005848 0.054153 0.502924 0.497076 0.668404 0.667969 0.834146 0.988338
    -2.748 1.000000 0.501466 0.994152 0.005848 0.054153 0.502924 0.497076 0.668404 0.667969 0.834146 0.988338
    -2.680 1.000000 0.502203 0.991228 0.008772 0.066372 0.504386 0.495614 0.669276 0.668622 0.834553 0.982533
    -2.611 1.000000 0.503682 0.985380 0.014620 0.085812 0.507310 0.492690 0.671027 0.669931 0.835369 0.970974
    -2.543 1.000000 0.503682 0.985380 0.014620 0.085812 0.507310 0.492690 0.671027 0.669931 0.835369 0.970974
    -2.474 0.997076 0.502950 0.985380 0.014620 0.062715 0.505848 0.494152 0.669941 0.668627 0.833333 0.970983
    -2.406 0.997076 0.504438 0.979532 0.020468 0.081589 0.508772 0.491228 0.671701 0.669941 0.834149 0.959492
    -2.338 0.997076 0.505185 0.976608 0.023392 0.089810 0.510234 0.489766 0.672584 0.670600 0.834557 0.953772
    -2.269 0.997076 0.505935 0.973684 0.026316 0.097445 0.511696 0.488304 0.673469 0.671260 0.834966 0.948069
    -2.201 0.997076 0.507440 0.967836 0.032164 0.111359 0.514620 0.485380 0.675248 0.672584 0.835784 0.936716
    -2.132 0.997076 0.508955 0.961988 0.038012 0.123902 0.517544 0.482456 0.677035 0.673913 0.836605 0.925430
    -2.064 0.997076 0.508955 0.961988 0.038012 0.123902 0.517544 0.482456 0.677035 0.673913 0.836605 0.925430
    -1.996 0.997076 0.510479 0.956140 0.043860 0.135419 0.520468 0.479532 0.678832 0.675248 0.837426 0.914213
    -1.927 0.994152 0.512821 0.944444 0.055556 0.144073 0.524854 0.475146 0.681363 0.676617 0.837026 0.892010
    -1.859 0.994152 0.515152 0.935673 0.064327 0.158910 0.529240 0.470760 0.684105 0.678643 0.838264 0.875517
    -1.790 0.994152 0.518293 0.923977 0.076023 0.177084 0.535088 0.464912 0.687795 0.681363 0.839921 0.853767
    -1.722 0.994152 0.519084 0.921053 0.078947 0.181393 0.536550 0.463450 0.688724 0.682046 0.840336 0.848372
    -1.654 0.994152 0.520674 0.915205 0.084795 0.189769 0.539474 0.460526 0.690589 0.683417 0.841168 0.837634
    -1.585 0.994152 0.523883 0.903509 0.096491 0.205686 0.545322 0.454678 0.694350 0.686176 0.842836 0.816362
    -1.517 0.991228 0.523957 0.900585 0.099415 0.200359 0.545322 0.454678 0.694198 0.685541 0.841191 0.811130
