# COMMAND> TherNet_Pucci2018dirN.txt 3 4 100
# Total data entries loaded: 342
# Total Experimental Positives 89 and Negatives 253 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.260
# Total Predicted Positives 123 and Negatives 219 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.360
# Predicted data goes from -3.090001 to 2.410001 (range 5.500002) --> 100 samples taken in 0.05500002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -3.090 1.000000 0.260234 1.000000 0.000000 0.000000 0.260234 0.739766 0.366507 0.412993 0.637536 1.000000
    -3.035 1.000000 0.260997 0.996047 0.003953 0.032119 0.263158 0.736842 0.367515 0.413953 0.638451 0.992110
    -2.980 1.000000 0.260997 0.996047 0.003953 0.032119 0.263158 0.736842 0.367515 0.413953 0.638451 0.992110
    -2.925 1.000000 0.260997 0.996047 0.003953 0.032119 0.263158 0.736842 0.367515 0.413953 0.638451 0.992110
    -2.870 1.000000 0.260997 0.996047 0.003953 0.032119 0.263158 0.736842 0.367515 0.413953 0.638451 0.992110
    -2.815 1.000000 0.261765 0.992095 0.007905 0.045489 0.266082 0.733918 0.368530 0.414918 0.639368 0.984252
    -2.760 1.000000 0.261765 0.992095 0.007905 0.045489 0.266082 0.733918 0.368530 0.414918 0.639368 0.984252
    -2.705 1.000000 0.262537 0.988142 0.011858 0.055795 0.269006 0.730994 0.369550 0.415888 0.640288 0.976425
    -2.650 1.000000 0.263314 0.984190 0.015810 0.064522 0.271930 0.728070 0.370576 0.416862 0.641210 0.968629
    -2.595 1.000000 0.264095 0.980237 0.019763 0.072245 0.274854 0.725146 0.371608 0.417840 0.642136 0.960865
    -2.540 1.000000 0.264095 0.980237 0.019763 0.072245 0.274854 0.725146 0.371608 0.417840 0.642136 0.960865
    -2.485 1.000000 0.264095 0.980237 0.019763 0.072245 0.274854 0.725146 0.371608 0.417840 0.642136 0.960865
    -2.430 1.000000 0.264881 0.976285 0.023715 0.079258 0.277778 0.722222 0.372645 0.418824 0.643064 0.953132
    -2.375 1.000000 0.264881 0.976285 0.023715 0.079258 0.277778 0.722222 0.372645 0.418824 0.643064 0.953132
    -2.320 1.000000 0.265672 0.972332 0.027668 0.085736 0.280702 0.719298 0.373688 0.419811 0.643994 0.945430
    -2.265 1.000000 0.266467 0.968379 0.031621 0.091792 0.283626 0.716374 0.374737 0.420804 0.644928 0.937759
    -2.210 1.000000 0.268072 0.960474 0.039526 0.102936 0.289474 0.710526 0.376853 0.422803 0.646802 0.922511
    -2.155 1.000000 0.269697 0.952569 0.047431 0.113102 0.295322 0.704678 0.378992 0.424821 0.648688 0.907388
    -2.100 1.000000 0.269697 0.952569 0.047431 0.113102 0.295322 0.704678 0.378992 0.424821 0.648688 0.907388
    -2.045 1.000000 0.270517 0.948617 0.051383 0.117899 0.298246 0.701754 0.380071 0.425837 0.649635 0.899873
    -1.990 1.000000 0.271341 0.944664 0.055336 0.122535 0.301170 0.698830 0.381156 0.426859 0.650585 0.892390
    -1.935 0.988764 0.272446 0.928854 0.071146 0.114757 0.309942 0.690058 0.382332 0.427184 0.648012 0.862896
    -1.880 0.988764 0.272446 0.928854 0.071146 0.114757 0.309942 0.690058 0.382332 0.427184 0.648012 0.862896
    -1.825 0.988764 0.276730 0.909091 0.090909 0.136851 0.324561 0.675439 0.387950 0.432432 0.652819 0.826573
    -1.770 0.988764 0.277603 0.905138 0.094862 0.140960 0.327485 0.672515 0.389094 0.433498 0.653789 0.819402
    -1.715 0.988764 0.278481 0.901186 0.098814 0.144984 0.330409 0.669591 0.390244 0.434568 0.654762 0.812262
    -1.660 0.988764 0.279365 0.897233 0.102767 0.148931 0.333333 0.666667 0.391401 0.435644 0.655738 0.805154
    -1.605 0.988764 0.281150 0.889328 0.110672 0.156613 0.339181 0.660819 0.393736 0.437811 0.657698 0.791031
    -1.550 0.988764 0.282958 0.881423 0.118577 0.164044 0.345029 0.654971 0.396099 0.440000 0.659670 0.777033
    -1.495 0.988764 0.284790 0.873518 0.126482 0.171256 0.350877 0.649123 0.398491 0.442211 0.661654 0.763160
