# COMMAND> TherNet_Pucci2018revN.txt 3 4 100
# Total data entries loaded: 342
# Total Experimental Positives 253 and Negatives 89 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.740
# Total Predicted Positives 202 and Negatives 140 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.591
# Predicted data goes from -2.500001 to 3.750001 (range 6.250002) --> 100 samples taken in 0.06250002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -2.500 1.000000 0.739766 1.000000 0.000000 0.000000 0.739766 0.260234 0.936459 0.850420 0.934269 1.000000
    -2.438 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.375 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.313 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.250 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.188 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.125 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.063 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.000 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -1.938 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -1.875 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -1.813 0.996047 0.743363 0.977528 0.022472 0.087141 0.742690 0.257310 0.939714 0.851351 0.932642 0.955577
    -1.750 0.996047 0.743363 0.977528 0.022472 0.087141 0.742690 0.257310 0.939714 0.851351 0.932642 0.955577
    -1.688 0.996047 0.743363 0.977528 0.022472 0.087141 0.742690 0.257310 0.939714 0.851351 0.932642 0.955577
    -1.625 0.996047 0.747774 0.955056 0.044944 0.149846 0.748538 0.251462 0.944410 0.854237 0.934025 0.912148
    -1.563 0.996047 0.747774 0.955056 0.044944 0.149846 0.748538 0.251462 0.944410 0.854237 0.934025 0.912148
    -1.500 0.992095 0.747024 0.955056 0.044944 0.123784 0.745614 0.254386 0.943018 0.852292 0.931009 0.912195
    -1.438 0.988142 0.746269 0.955056 0.044944 0.102525 0.742690 0.257310 0.941620 0.850340 0.927988 0.912273
    -1.375 0.988142 0.748503 0.943820 0.056180 0.128664 0.745614 0.254386 0.943990 0.851789 0.928678 0.890937
    -1.313 0.988142 0.748503 0.943820 0.056180 0.128664 0.745614 0.254386 0.943990 0.851789 0.928678 0.890937
    -1.250 0.984190 0.750000 0.932584 0.067416 0.134395 0.745614 0.254386 0.944972 0.851282 0.926339 0.869963
    -1.188 0.980237 0.749245 0.932584 0.067416 0.118504 0.742690 0.257310 0.943564 0.849315 0.923306 0.870104
    -1.125 0.976285 0.748485 0.932584 0.067416 0.104206 0.739766 0.260234 0.942149 0.847341 0.920268 0.870276
    -1.063 0.976285 0.748485 0.932584 0.067416 0.104206 0.739766 0.260234 0.942149 0.847341 0.920268 0.870276
    -1.000 0.976285 0.748485 0.932584 0.067416 0.104206 0.739766 0.260234 0.942149 0.847341 0.920268 0.870276
    -0.938 0.976285 0.748485 0.932584 0.067416 0.104206 0.739766 0.260234 0.942149 0.847341 0.920268 0.870276
    -0.875 0.976285 0.748485 0.932584 0.067416 0.104206 0.739766 0.260234 0.942149 0.847341 0.920268 0.870276
    -0.813 0.972332 0.747720 0.932584 0.067416 0.091201 0.736842 0.263158 0.940727 0.845361 0.917226 0.870479
    -0.750 0.968379 0.746951 0.932584 0.067416 0.079265 0.733918 0.266082 0.939297 0.843373 0.914179 0.870713
    -0.688 0.956522 0.746914 0.921348 0.078652 0.069113 0.728070 0.271930 0.937379 0.838821 0.905689 0.850773
    -0.625 0.944664 0.751572 0.887640 0.112360 0.097947 0.728070 0.271930 0.940328 0.837128 0.898496 0.790968
    -0.563 0.932806 0.749206 0.887640 0.112360 0.073490 0.719298 0.280702 0.935889 0.830986 0.889224 0.792421
    -0.500 0.924901 0.752412 0.865169 0.134831 0.091286 0.719298 0.280702 0.937876 0.829787 0.884354 0.754156
    -0.438 0.916996 0.755700 0.842697 0.157303 0.107557 0.719298 0.280702 0.939905 0.828571 0.879454 0.717027
    -0.375 0.909091 0.759076 0.820225 0.179775 0.122670 0.719298 0.280702 0.941980 0.827338 0.874525 0.681033
    -0.313 0.893281 0.768707 0.764045 0.235955 0.163246 0.722222 0.277778 0.948915 0.826325 0.865237 0.595154
    -0.250 0.881423 0.782456 0.696629 0.303371 0.217562 0.730994 0.269006 0.960517 0.828996 0.859676 0.499353
    -0.188 0.837945 0.794007 0.617978 0.382022 0.233253 0.719298 0.280702 0.962907 0.815385 0.828772 0.408158
    -0.125 0.806324 0.803150 0.561798 0.438202 0.245427 0.710526 0.289474 0.964539 0.804734 0.805687 0.353127
    -0.063 0.739130 0.802575 0.516854 0.483146 0.209294 0.672515 0.327485 0.946835 0.769547 0.751004 0.335191
    -0.000 0.679842 0.839024 0.370787 0.629213 0.276729 0.666667 0.333333 0.961789 0.751092 0.706656 0.239984
     0.062 0.628458 0.883333 0.235955 0.764045 0.344909 0.663743 0.336257 0.980473 0.734411 0.666946 0.193718
     0.125 0.557312 0.898089 0.179775 0.820225 0.332414 0.625731 0.374269 0.960272 0.687805 0.603080 0.228292
     0.187 0.525692 0.898649 0.168539 0.831461 0.316284 0.605263 0.394737 0.944379 0.663342 0.573276 0.253374
     0.250 0.486166 0.917910 0.123596 0.876404 0.325884 0.587719 0.412281 0.935361 0.635659 0.536649 0.279301
     0.312 0.430830 0.931624 0.089888 0.910112 0.315320 0.555556 0.444444 0.907074 0.589189 0.482728 0.332034
     0.375 0.399209 0.935185 0.078652 0.921348 0.302581 0.535088 0.464912 0.884672 0.559557 0.450893 0.367135
     0.437 0.363636 0.929293 0.078652 0.921348 0.275712 0.508772 0.491228 0.850539 0.522727 0.414041 0.411145
     0.500 0.347826 0.926316 0.078652 0.921348 0.263681 0.497076 0.502924 0.834123 0.505747 0.397471 0.431517
     0.562 0.328063 0.922222 0.078652 0.921348 0.248514 0.482456 0.517544 0.812398 0.483965 0.376588 0.457685
     0.625 0.312253 0.929412 0.067416 0.932584 0.248575 0.473684 0.526316 0.799325 0.467456 0.360073 0.477541
     0.688 0.296443 0.925926 0.067416 0.932584 0.236363 0.461988 0.538012 0.779896 0.449102 0.343092 0.499538
     0.750 0.268775 0.918919 0.067416 0.932584 0.214557 0.441520 0.558480 0.743169 0.415902 0.313076 0.539235
     0.813 0.245059 0.925373 0.056180 0.943820 0.208803 0.426901 0.573099 0.714012 0.387500 0.287303 0.573092
     0.875 0.237154 0.923077 0.056180 0.943820 0.202384 0.421053 0.578947 0.701754 0.377358 0.278552 0.585090
