# COMMAND> S461_CartDD_DIR.txt 3 4 200
# Total data entries loaded: 461
# Total Experimental Positives 74 and Negatives 387 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.161
# Total Predicted Positives 53 and Negatives 408 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.115
# Predicted data goes from -8.000001 to 6.010001 (range 14.010002) --> 200 samples taken in 0.07005001 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -8.000 1.000000 0.160521 1.000000 0.000000 0.000000 0.160521 0.839479 0.231491 0.276636 0.488771 1.000000
    -7.930 0.986486 0.192612 0.790698 0.209302 0.187946 0.334056 0.665944 0.275472 0.322296 0.540741 0.625385
    -7.860 0.972973 0.190981 0.788114 0.211886 0.175793 0.334056 0.665944 0.273072 0.319290 0.534918 0.621854
    -7.790 0.972973 0.192000 0.782946 0.217054 0.179070 0.338395 0.661605 0.274460 0.320713 0.536513 0.613734
    -7.720 0.972973 0.192000 0.782946 0.217054 0.179070 0.338395 0.661605 0.274460 0.320713 0.536513 0.613734
    -7.650 0.972973 0.192000 0.782946 0.217054 0.179070 0.338395 0.661605 0.274460 0.320713 0.536513 0.613734
    -7.580 0.972973 0.193548 0.775194 0.224806 0.183944 0.344902 0.655098 0.276569 0.322870 0.538922 0.601656
    -7.510 0.972973 0.195122 0.767442 0.232558 0.188774 0.351410 0.648590 0.278710 0.325056 0.541353 0.589697
    -7.440 0.972973 0.197260 0.757106 0.242894 0.195153 0.360087 0.639913 0.281617 0.328018 0.544629 0.573940
    -7.370 0.972973 0.197260 0.757106 0.242894 0.195153 0.360087 0.639913 0.281617 0.328018 0.544629 0.573940
    -7.300 0.972973 0.197802 0.754522 0.245478 0.196738 0.362256 0.637744 0.282353 0.328767 0.545455 0.570034
    -7.229 0.972973 0.200557 0.741602 0.258398 0.204613 0.373102 0.626898 0.286093 0.332564 0.549618 0.550704
    -7.159 0.972973 0.202817 0.731266 0.268734 0.210859 0.381779 0.618221 0.289157 0.335664 0.552995 0.535481
    -7.089 0.972973 0.205128 0.720930 0.279070 0.217068 0.390456 0.609544 0.292287 0.338824 0.556414 0.520471
    -7.019 0.972973 0.205714 0.718346 0.281654 0.218615 0.392625 0.607375 0.293080 0.339623 0.557276 0.516752
    -6.949 0.972973 0.208092 0.708010 0.291990 0.224786 0.401302 0.598698 0.296296 0.342857 0.560748 0.502009
    -6.879 0.972973 0.208696 0.705426 0.294574 0.226325 0.403471 0.596529 0.297111 0.343675 0.561622 0.498357
    -6.809 0.972973 0.209302 0.702842 0.297158 0.227863 0.405640 0.594360 0.297931 0.344498 0.562500 0.494718
    -6.739 0.972973 0.209302 0.702842 0.297158 0.227863 0.405640 0.594360 0.297931 0.344498 0.562500 0.494718
    -6.669 0.972973 0.209913 0.700258 0.299742 0.229399 0.407809 0.592191 0.298755 0.345324 0.563380 0.491092
    -6.599 0.972973 0.211144 0.695090 0.304910 0.232469 0.412148 0.587852 0.300417 0.346988 0.565149 0.483881
    -6.529 0.972973 0.212389 0.689922 0.310078 0.235535 0.416486 0.583514 0.302098 0.348668 0.566929 0.476723
    -6.459 0.972973 0.213018 0.687339 0.312661 0.237067 0.418655 0.581345 0.302945 0.349515 0.567823 0.473165
    -6.389 0.972973 0.213650 0.684755 0.315245 0.238598 0.420824 0.579176 0.303797 0.350365 0.568720 0.469619
    -6.319 0.972973 0.214925 0.679587 0.320413 0.241659 0.425163 0.574837 0.305516 0.352078 0.570523 0.462568
    -6.249 0.972973 0.214925 0.679587 0.320413 0.241659 0.425163 0.574837 0.305516 0.352078 0.570523 0.462568
    -6.179 0.972973 0.214925 0.679587 0.320413 0.241659 0.425163 0.574837 0.305516 0.352078 0.570523 0.462568
    -6.109 0.972973 0.216216 0.674419 0.325581 0.244719 0.429501 0.570499 0.307255 0.353808 0.572337 0.455571
    -6.039 0.959459 0.215152 0.669251 0.330749 0.236205 0.431670 0.568330 0.305595 0.351485 0.567093 0.449540
    -5.969 0.959459 0.215805 0.666667 0.333333 0.237764 0.433839 0.566161 0.306475 0.352357 0.568000 0.446088
    -5.899 0.959459 0.217125 0.661499 0.338501 0.240882 0.438178 0.561822 0.308249 0.354115 0.569823 0.439224
    -5.828 0.959459 0.217125 0.661499 0.338501 0.240882 0.438178 0.561822 0.308249 0.354115 0.569823 0.439224
    -5.758 0.959459 0.219136 0.653747 0.346253 0.245557 0.444685 0.555315 0.310949 0.356784 0.572581 0.429028
    -5.688 0.959459 0.219814 0.651163 0.348837 0.247115 0.446855 0.553145 0.311859 0.357683 0.573506 0.425657
    -5.618 0.959459 0.221184 0.645995 0.354005 0.250232 0.451193 0.548807 0.313697 0.359494 0.575365 0.418953
    -5.548 0.945946 0.220820 0.638243 0.361757 0.243721 0.455531 0.544469 0.312966 0.358056 0.570962 0.410276
    -5.478 0.945946 0.221519 0.635659 0.364341 0.245306 0.457701 0.542299 0.313901 0.358974 0.571895 0.406984
    -5.408 0.945946 0.221519 0.635659 0.364341 0.245306 0.457701 0.542299 0.313901 0.358974 0.571895 0.406984
    -5.338 0.932432 0.220447 0.630491 0.369509 0.237406 0.459870 0.540130 0.312217 0.356589 0.566502 0.402084
    -5.268 0.932432 0.221154 0.627907 0.372093 0.239015 0.462039 0.537961 0.313162 0.357513 0.567434 0.398833
    -5.198 0.932432 0.222581 0.622739 0.377261 0.242233 0.466377 0.533623 0.315068 0.359375 0.569307 0.392369
    -5.128 0.932432 0.224756 0.614987 0.385013 0.247065 0.472885 0.527115 0.317972 0.362205 0.572139 0.382774
    -5.058 0.932432 0.226230 0.609819 0.390181 0.250289 0.477223 0.522777 0.319938 0.364116 0.574043 0.376445
    -4.988 0.932432 0.228477 0.602067 0.397933 0.255131 0.483731 0.516269 0.322933 0.367021 0.576923 0.367050
    -4.918 0.932432 0.231544 0.591731 0.408269 0.261603 0.492408 0.507592 0.327014 0.370968 0.580808 0.354711
    -4.848 0.918919 0.232082 0.581395 0.418605 0.257447 0.498915 0.501085 0.327448 0.370572 0.577250 0.344595
    -4.778 0.918919 0.235294 0.571059 0.428941 0.264035 0.507592 0.492408 0.331707 0.374656 0.581197 0.332683
    -4.708 0.905405 0.235088 0.563307 0.436693 0.258490 0.511931 0.488069 0.331137 0.373259 0.576592 0.326263
    -4.638 0.905405 0.235915 0.560724 0.439276 0.260162 0.514100 0.485900 0.332231 0.374302 0.577586 0.323359
    -4.568 0.905405 0.239286 0.550388 0.449612 0.266872 0.522777 0.477223 0.336683 0.378531 0.581597 0.311875
    -4.498 0.891892 0.237410 0.547804 0.452196 0.258163 0.522777 0.477223 0.333895 0.375000 0.574913 0.311776
    -4.427 0.891892 0.239130 0.542636 0.457364 0.261562 0.527115 0.472885 0.336163 0.377143 0.576923 0.306141
    -4.357 0.891892 0.240000 0.540052 0.459948 0.263266 0.529284 0.470716 0.337308 0.378223 0.577933 0.303343
    -4.287 0.878378 0.239852 0.532300 0.467700 0.258098 0.533623 0.466377 0.336788 0.376812 0.573192 0.298135
    -4.217 0.864865 0.238806 0.527132 0.472868 0.251304 0.535792 0.464208 0.335079 0.374269 0.567376 0.296129
    -4.147 0.864865 0.239700 0.524548 0.475452 0.253045 0.537961 0.462039 0.336252 0.375367 0.568384 0.293412
