# COMMAND> S461_DDgun3D_DIR.txt 3 4 200
# Total data entries loaded: 461
# Total Experimental Positives 74 and Negatives 387 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.161
# Total Predicted Positives 81 and Negatives 380 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.176
# Predicted data goes from -5.600001 to 2.900001 (range 8.500002) --> 200 samples taken in 0.04250001 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -5.600 1.000000 0.160521 1.000000 0.000000 0.000000 0.160521 0.839479 0.231491 0.276636 0.488771 1.000000
    -5.558 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -5.515 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -5.473 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -5.430 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -5.388 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -5.345 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -5.303 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -5.260 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -5.218 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -5.175 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -5.133 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -5.090 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -5.048 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -5.005 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -4.963 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -4.920 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -4.878 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -4.835 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -4.793 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -4.750 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -4.708 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -4.665 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -4.623 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -4.580 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -4.538 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -4.495 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -4.453 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -4.410 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -4.368 1.000000 0.161572 0.992248 0.007752 0.035391 0.167028 0.832972 0.232949 0.278195 0.490716 0.984556
    -4.325 1.000000 0.161572 0.992248 0.007752 0.035391 0.167028 0.832972 0.232949 0.278195 0.490716 0.984556
    -4.283 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -4.240 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -4.198 1.000000 0.162281 0.987080 0.012920 0.045789 0.171367 0.828633 0.233930 0.279245 0.492021 0.974327
    -4.155 1.000000 0.162281 0.987080 0.012920 0.045789 0.171367 0.828633 0.233930 0.279245 0.492021 0.974327
    -4.113 1.000000 0.162281 0.987080 0.012920 0.045789 0.171367 0.828633 0.233930 0.279245 0.492021 0.974327
    -4.070 1.000000 0.162996 0.981912 0.018088 0.054298 0.175705 0.824295 0.234921 0.280303 0.493333 0.964151
    -4.028 1.000000 0.162996 0.981912 0.018088 0.054298 0.175705 0.824295 0.234921 0.280303 0.493333 0.964151
    -3.985 1.000000 0.163717 0.976744 0.023256 0.061704 0.180043 0.819957 0.235919 0.281369 0.494652 0.954029
    -3.943 1.000000 0.163717 0.976744 0.023256 0.061704 0.180043 0.819957 0.235919 0.281369 0.494652 0.954029
    -3.900 1.000000 0.163717 0.976744 0.023256 0.061704 0.180043 0.819957 0.235919 0.281369 0.494652 0.954029
    -3.858 1.000000 0.164811 0.968992 0.031008 0.071487 0.186551 0.813449 0.237433 0.282983 0.496644 0.938946
    -3.815 1.000000 0.164811 0.968992 0.031008 0.071487 0.186551 0.813449 0.237433 0.282983 0.496644 0.938946
    -3.773 1.000000 0.166667 0.956072 0.043928 0.085564 0.197397 0.802603 0.240000 0.285714 0.500000 0.914074
    -3.730 1.000000 0.166667 0.956072 0.043928 0.085564 0.197397 0.802603 0.240000 0.285714 0.500000 0.914074
    -3.688 1.000000 0.168182 0.945736 0.054264 0.095531 0.206074 0.793926 0.242094 0.287938 0.502717 0.894417
    -3.645 1.000000 0.168182 0.945736 0.054264 0.095531 0.206074 0.793926 0.242094 0.287938 0.502717 0.894417
    -3.603 1.000000 0.168182 0.945736 0.054264 0.095531 0.206074 0.793926 0.242094 0.287938 0.502717 0.894417
    -3.560 1.000000 0.168565 0.943152 0.056848 0.097890 0.208243 0.791757 0.242623 0.288499 0.503401 0.889537
    -3.518 1.000000 0.168565 0.943152 0.056848 0.097890 0.208243 0.791757 0.242623 0.288499 0.503401 0.889537
    -3.475 1.000000 0.172093 0.919897 0.080103 0.117411 0.227766 0.772234 0.247492 0.293651 0.509642 0.846210
    -3.433 1.000000 0.172093 0.919897 0.080103 0.117411 0.227766 0.772234 0.247492 0.293651 0.509642 0.846210
    -3.390 1.000000 0.172897 0.914729 0.085271 0.121421 0.232104 0.767896 0.248600 0.294821 0.511050 0.836729
    -3.348 1.000000 0.172897 0.914729 0.085271 0.121421 0.232104 0.767896 0.248600 0.294821 0.511050 0.836729
    -3.305 1.000000 0.172897 0.914729 0.085271 0.121421 0.232104 0.767896 0.248600 0.294821 0.511050 0.836729
    -3.263 1.000000 0.174118 0.906977 0.093023 0.127267 0.238612 0.761388 0.250282 0.296593 0.513176 0.822607
    -3.220 1.000000 0.174118 0.906977 0.093023 0.127267 0.238612 0.761388 0.250282 0.296593 0.513176 0.822607
    -3.178 1.000000 0.176190 0.894057 0.105943 0.136624 0.249458 0.750542 0.253136 0.299595 0.516760 0.799338
    -3.135 1.000000 0.176190 0.894057 0.105943 0.136624 0.249458 0.750542 0.253136 0.299595 0.516760 0.799338
    -3.093 1.000000 0.178744 0.878553 0.121447 0.147336 0.262473 0.737527 0.256647 0.303279 0.521127 0.771855
    -3.050 1.000000 0.178744 0.878553 0.121447 0.147336 0.262473 0.737527 0.256647 0.303279 0.521127 0.771855
    -3.008 1.000000 0.178744 0.878553 0.121447 0.147336 0.262473 0.737527 0.256647 0.303279 0.521127 0.771855
    -2.965 1.000000 0.180488 0.868217 0.131783 0.154225 0.271150 0.728850 0.259043 0.305785 0.524079 0.753801
    -2.923 1.000000 0.180488 0.868217 0.131783 0.154225 0.271150 0.728850 0.259043 0.305785 0.524079 0.753801
    -2.880 1.000000 0.182266 0.857881 0.142119 0.160945 0.279826 0.720174 0.261484 0.308333 0.527066 0.735960
    -2.838 1.000000 0.182266 0.857881 0.142119 0.160945 0.279826 0.720174 0.261484 0.308333 0.527066 0.735960
    -2.795 1.000000 0.183623 0.850129 0.149871 0.165891 0.286334 0.713666 0.263345 0.310273 0.529328 0.722720
