# COMMAND> S461_Dynamut2_DIR.txt 3 4 200
# Total data entries loaded: 461
# Total Experimental Positives 74 and Negatives 387 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.161
# Total Predicted Positives 126 and Negatives 335 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.273
# Predicted data goes from -3.694001 to 1.653001 (range 5.347002) --> 200 samples taken in 0.02673501 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -3.694 1.000000 0.160521 1.000000 0.000000 0.000000 0.160521 0.839479 0.231491 0.276636 0.488771 1.000000
    -3.667 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -3.641 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -3.614 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -3.587 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.560 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.534 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.507 1.000000 0.162637 0.984496 0.015504 0.050215 0.173536 0.826464 0.234424 0.279773 0.492676 0.969233
    -3.480 1.000000 0.162996 0.981912 0.018088 0.054298 0.175705 0.824295 0.234921 0.280303 0.493333 0.964151
    -3.453 1.000000 0.162996 0.981912 0.018088 0.054298 0.175705 0.824295 0.234921 0.280303 0.493333 0.964151
    -3.427 1.000000 0.162996 0.981912 0.018088 0.054298 0.175705 0.824295 0.234921 0.280303 0.493333 0.964151
    -3.400 1.000000 0.162996 0.981912 0.018088 0.054298 0.175705 0.824295 0.234921 0.280303 0.493333 0.964151
    -3.373 1.000000 0.162996 0.981912 0.018088 0.054298 0.175705 0.824295 0.234921 0.280303 0.493333 0.964151
    -3.346 1.000000 0.162996 0.981912 0.018088 0.054298 0.175705 0.824295 0.234921 0.280303 0.493333 0.964151
