# COMMAND> S461_EvoFF_DIR.txt 3 4 200
# Total data entries loaded: 461
# Total Experimental Positives 74 and Negatives 387 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.161
# Total Predicted Positives 119 and Negatives 342 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.258
# Predicted data goes from -4.120001 to 1.940001 (range 6.060002) --> 200 samples taken in 0.03030001 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -4.120 1.000000 0.160521 1.000000 0.000000 0.000000 0.160521 0.839479 0.231491 0.276636 0.488771 1.000000
    -4.090 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -4.059 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -4.029 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.999 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.969 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.938 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.908 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.878 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.847 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.817 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.787 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.756 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.726 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.696 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.666 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.635 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.605 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.575 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.544 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.514 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.484 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.453 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.423 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.393 1.000000 0.162637 0.984496 0.015504 0.050215 0.173536 0.826464 0.234424 0.279773 0.492676 0.969233
    -3.363 1.000000 0.162996 0.981912 0.018088 0.054298 0.175705 0.824295 0.234921 0.280303 0.493333 0.964151
    -3.332 1.000000 0.162996 0.981912 0.018088 0.054298 0.175705 0.824295 0.234921 0.280303 0.493333 0.964151
    -3.302 1.000000 0.162996 0.981912 0.018088 0.054298 0.175705 0.824295 0.234921 0.280303 0.493333 0.964151
    -3.272 0.986486 0.161148 0.981912 0.018088 0.012859 0.173536 0.826464 0.232238 0.277040 0.487316 0.964334
    -3.241 0.972973 0.159292 0.981912 0.018088 -0.023718 0.171367 0.828633 0.229543 0.273764 0.481283 0.964882
