# COMMAND> S461_FoldX_DIR.txt 3 4 200
# Total data entries loaded: 461
# Total Experimental Positives 74 and Negatives 387 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.161
# Total Predicted Positives 112 and Negatives 349 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.243
# Predicted data goes from -8.000001 to 5.670001 (range 13.670002) --> 200 samples taken in 0.06835001 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -8.000 1.000000 0.160521 1.000000 0.000000 0.000000 0.160521 0.839479 0.231491 0.276636 0.488771 1.000000
    -7.932 0.986486 0.159737 0.992248 0.007752 -0.022805 0.164859 0.835141 0.230284 0.274953 0.484728 0.984739
    -7.863 0.986486 0.159737 0.992248 0.007752 -0.022805 0.164859 0.835141 0.230284 0.274953 0.484728 0.984739
    -7.795 0.986486 0.159737 0.992248 0.007752 -0.022805 0.164859 0.835141 0.230284 0.274953 0.484728 0.984739
    -7.727 0.986486 0.159737 0.992248 0.007752 -0.022805 0.164859 0.835141 0.230284 0.274953 0.484728 0.984739
    -7.658 0.986486 0.159737 0.992248 0.007752 -0.022805 0.164859 0.835141 0.230284 0.274953 0.484728 0.984739
    -7.590 0.986486 0.159737 0.992248 0.007752 -0.022805 0.164859 0.835141 0.230284 0.274953 0.484728 0.984739
    -7.522 0.986486 0.159737 0.992248 0.007752 -0.022805 0.164859 0.835141 0.230284 0.274953 0.484728 0.984739
    -7.453 0.986486 0.160088 0.989664 0.010336 -0.011262 0.167028 0.832972 0.230769 0.275472 0.485372 0.979618
    -7.385 0.986486 0.160088 0.989664 0.010336 -0.011262 0.167028 0.832972 0.230769 0.275472 0.485372 0.979618
    -7.317 0.986486 0.160088 0.989664 0.010336 -0.011262 0.167028 0.832972 0.230769 0.275472 0.485372 0.979618
    -7.248 0.986486 0.160088 0.989664 0.010336 -0.011262 0.167028 0.832972 0.230769 0.275472 0.485372 0.979618
    -7.180 0.986486 0.160088 0.989664 0.010336 -0.011262 0.167028 0.832972 0.230769 0.275472 0.485372 0.979618
    -7.111 0.986486 0.160440 0.987080 0.012920 -0.001923 0.169197 0.830803 0.231257 0.275992 0.486019 0.974510
    -7.043 0.986486 0.160793 0.984496 0.015504 0.005975 0.171367 0.828633 0.231746 0.276515 0.486667 0.969415
    -6.975 0.986486 0.160793 0.984496 0.015504 0.005975 0.171367 0.828633 0.231746 0.276515 0.486667 0.969415
    -6.906 0.972973 0.158940 0.984496 0.015504 -0.032393 0.169197 0.830803 0.229056 0.273245 0.480641 0.969963
    -6.838 0.972973 0.158940 0.984496 0.015504 -0.032393 0.169197 0.830803 0.229056 0.273245 0.480641 0.969963
    -6.770 0.972973 0.158940 0.984496 0.015504 -0.032393 0.169197 0.830803 0.229056 0.273245 0.480641 0.969963
    -6.701 0.972973 0.158940 0.984496 0.015504 -0.032393 0.169197 0.830803 0.229056 0.273245 0.480641 0.969963
    -6.633 0.972973 0.158940 0.984496 0.015504 -0.032393 0.169197 0.830803 0.229056 0.273245 0.480641 0.969963
    -6.565 0.972973 0.158940 0.984496 0.015504 -0.032393 0.169197 0.830803 0.229056 0.273245 0.480641 0.969963
    -6.496 0.972973 0.159292 0.981912 0.018088 -0.023718 0.171367 0.828633 0.229543 0.273764 0.481283 0.964882
    -6.428 0.972973 0.159292 0.981912 0.018088 -0.023718 0.171367 0.828633 0.229543 0.273764 0.481283 0.964882
    -6.360 0.972973 0.159292 0.981912 0.018088 -0.023718 0.171367 0.828633 0.229543 0.273764 0.481283 0.964882
    -6.291 0.972973 0.159292 0.981912 0.018088 -0.023718 0.171367 0.828633 0.229543 0.273764 0.481283 0.964882
    -6.223 0.972973 0.159292 0.981912 0.018088 -0.023718 0.171367 0.828633 0.229543 0.273764 0.481283 0.964882
    -6.155 0.972973 0.159292 0.981912 0.018088 -0.023718 0.171367 0.828633 0.229543 0.273764 0.481283 0.964882
    -6.086 0.972973 0.159292 0.981912 0.018088 -0.023718 0.171367 0.828633 0.229543 0.273764 0.481283 0.964882
