# COMMAND> S461_KORPM_DIR.txt 10 11 200
# Total data entries loaded: 461
# Total Experimental Positives 74 and Negatives 387 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.161
# Total Predicted Positives 123 and Negatives 338 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.267
# Predicted data goes from -3.269358 to 1.659425 (range 4.928783) --> 200 samples taken in 0.024643915 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -3.269 1.000000 0.160521 1.000000 0.000000 0.000000 0.160521 0.839479 0.231491 0.276636 0.488771 1.000000
    -3.245 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -3.220 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -3.195 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -3.171 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -3.146 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -3.121 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -3.097 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.072 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.048 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.023 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -2.998 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -2.974 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -2.949 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -2.924 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -2.900 1.000000 0.161572 0.992248 0.007752 0.035391 0.167028 0.832972 0.232949 0.278195 0.490716 0.984556
    -2.875 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -2.850 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -2.826 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -2.801 1.000000 0.162281 0.987080 0.012920 0.045789 0.171367 0.828633 0.233930 0.279245 0.492021 0.974327
    -2.776 1.000000 0.162281 0.987080 0.012920 0.045789 0.171367 0.828633 0.233930 0.279245 0.492021 0.974327
    -2.752 1.000000 0.162637 0.984496 0.015504 0.050215 0.173536 0.826464 0.234424 0.279773 0.492676 0.969233
    -2.727 1.000000 0.162637 0.984496 0.015504 0.050215 0.173536 0.826464 0.234424 0.279773 0.492676 0.969233
    -2.703 1.000000 0.162637 0.984496 0.015504 0.050215 0.173536 0.826464 0.234424 0.279773 0.492676 0.969233
    -2.678 1.000000 0.162637 0.984496 0.015504 0.050215 0.173536 0.826464 0.234424 0.279773 0.492676 0.969233
    -2.653 1.000000 0.163355 0.979328 0.020672 0.058111 0.177874 0.822126 0.235419 0.280835 0.493992 0.959084
    -2.629 1.000000 0.163355 0.979328 0.020672 0.058111 0.177874 0.822126 0.235419 0.280835 0.493992 0.959084
    -2.604 1.000000 0.163355 0.979328 0.020672 0.058111 0.177874 0.822126 0.235419 0.280835 0.493992 0.959084
    -2.579 1.000000 0.163355 0.979328 0.020672 0.058111 0.177874 0.822126 0.235419 0.280835 0.493992 0.959084
    -2.555 1.000000 0.163355 0.979328 0.020672 0.058111 0.177874 0.822126 0.235419 0.280835 0.493992 0.959084
    -2.530 1.000000 0.164080 0.974160 0.025840 0.065114 0.182213 0.817787 0.236422 0.281905 0.495315 0.948988
    -2.505 1.000000 0.164444 0.971576 0.028424 0.068368 0.184382 0.815618 0.236926 0.282443 0.495979 0.943960
    -2.481 1.000000 0.164444 0.971576 0.028424 0.068368 0.184382 0.815618 0.236926 0.282443 0.495979 0.943960
    -2.456 1.000000 0.164811 0.968992 0.031008 0.071487 0.186551 0.813449 0.237433 0.282983 0.496644 0.938946
    -2.431 1.000000 0.164811 0.968992 0.031008 0.071487 0.186551 0.813449 0.237433 0.282983 0.496644 0.938946
    -2.407 1.000000 0.165548 0.963824 0.036176 0.077387 0.190889 0.809111 0.238453 0.284069 0.497981 0.928957
    -2.382 1.000000 0.165548 0.963824 0.036176 0.077387 0.190889 0.809111 0.238453 0.284069 0.497981 0.928957
    -2.358 1.000000 0.165548 0.963824 0.036176 0.077387 0.190889 0.809111 0.238453 0.284069 0.497981 0.928957
    -2.333 1.000000 0.165548 0.963824 0.036176 0.077387 0.190889 0.809111 0.238453 0.284069 0.497981 0.928957
    -2.308 1.000000 0.165548 0.963824 0.036176 0.077387 0.190889 0.809111 0.238453 0.284069 0.497981 0.928957
    -2.284 1.000000 0.165548 0.963824 0.036176 0.077387 0.190889 0.809111 0.238453 0.284069 0.497981 0.928957
    -2.259 1.000000 0.165919 0.961240 0.038760 0.080193 0.193059 0.806941 0.238967 0.284615 0.498652 0.923983
    -2.234 1.000000 0.166292 0.958656 0.041344 0.082916 0.195228 0.804772 0.239482 0.285164 0.499325 0.919022
