# COMMAND> S461_PopM_DIR.txt 3 4 200
# Total data entries loaded: 461
# Total Experimental Positives 74 and Negatives 387 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.161
# Total Predicted Positives 54 and Negatives 407 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.117
# Predicted data goes from -3.730001 to 1.170001 (range 4.900002) --> 200 samples taken in 0.02450001 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -3.730 1.000000 0.160521 1.000000 0.000000 0.000000 0.160521 0.839479 0.231491 0.276636 0.488771 1.000000
    -3.706 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -3.681 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -3.657 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.632 1.000000 0.161572 0.992248 0.007752 0.035391 0.167028 0.832972 0.232949 0.278195 0.490716 0.984556
    -3.608 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.583 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.559 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.534 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.510 1.000000 0.162281 0.987080 0.012920 0.045789 0.171367 0.828633 0.233930 0.279245 0.492021 0.974327
    -3.485 1.000000 0.162996 0.981912 0.018088 0.054298 0.175705 0.824295 0.234921 0.280303 0.493333 0.964151
    -3.461 1.000000 0.162996 0.981912 0.018088 0.054298 0.175705 0.824295 0.234921 0.280303 0.493333 0.964151
    -3.436 1.000000 0.163355 0.979328 0.020672 0.058111 0.177874 0.822126 0.235419 0.280835 0.493992 0.959084
    -3.412 1.000000 0.163717 0.976744 0.023256 0.061704 0.180043 0.819957 0.235919 0.281369 0.494652 0.954029
    -3.387 1.000000 0.163717 0.976744 0.023256 0.061704 0.180043 0.819957 0.235919 0.281369 0.494652 0.954029
    -3.363 1.000000 0.163717 0.976744 0.023256 0.061704 0.180043 0.819957 0.235919 0.281369 0.494652 0.954029
    -3.338 1.000000 0.163717 0.976744 0.023256 0.061704 0.180043 0.819957 0.235919 0.281369 0.494652 0.954029
    -3.314 1.000000 0.163717 0.976744 0.023256 0.061704 0.180043 0.819957 0.235919 0.281369 0.494652 0.954029
    -3.289 1.000000 0.164080 0.974160 0.025840 0.065114 0.182213 0.817787 0.236422 0.281905 0.495315 0.948988
    -3.265 1.000000 0.164444 0.971576 0.028424 0.068368 0.184382 0.815618 0.236926 0.282443 0.495979 0.943960
    -3.240 1.000000 0.164444 0.971576 0.028424 0.068368 0.184382 0.815618 0.236926 0.282443 0.495979 0.943960
    -3.216 1.000000 0.164444 0.971576 0.028424 0.068368 0.184382 0.815618 0.236926 0.282443 0.495979 0.943960
    -3.191 1.000000 0.165179 0.966408 0.033592 0.074489 0.188720 0.811280 0.237942 0.283525 0.497312 0.933945
    -3.167 1.000000 0.165179 0.966408 0.033592 0.074489 0.188720 0.811280 0.237942 0.283525 0.497312 0.933945
    -3.142 1.000000 0.165179 0.966408 0.033592 0.074489 0.188720 0.811280 0.237942 0.283525 0.497312 0.933945
    -3.118 1.000000 0.165919 0.961240 0.038760 0.080193 0.193059 0.806941 0.238967 0.284615 0.498652 0.923983
    -3.093 1.000000 0.166292 0.958656 0.041344 0.082916 0.195228 0.804772 0.239482 0.285164 0.499325 0.919022
    -3.069 1.000000 0.167043 0.953488 0.046512 0.088144 0.199566 0.800434 0.240520 0.286267 0.500677 0.909140
    -3.044 1.000000 0.167043 0.953488 0.046512 0.088144 0.199566 0.800434 0.240520 0.286267 0.500677 0.909140
    -3.020 1.000000 0.167421 0.950904 0.049096 0.090662 0.201735 0.798265 0.241042 0.286822 0.501355 0.904219
    -2.995 1.000000 0.167800 0.948320 0.051680 0.093123 0.203905 0.796095 0.241567 0.287379 0.502035 0.899312
    -2.971 1.000000 0.168182 0.945736 0.054264 0.095531 0.206074 0.793926 0.242094 0.287938 0.502717 0.894417
    -2.946 1.000000 0.169725 0.935401 0.064599 0.104710 0.214751 0.785249 0.244224 0.290196 0.505464 0.874974
    -2.922 1.000000 0.169725 0.935401 0.064599 0.104710 0.214751 0.785249 0.244224 0.290196 0.505464 0.874974
    -2.897 1.000000 0.169725 0.935401 0.064599 0.104710 0.214751 0.785249 0.244224 0.290196 0.505464 0.874974
    -2.873 1.000000 0.170507 0.930233 0.069767 0.109068 0.219089 0.780911 0.245304 0.291339 0.506849 0.865333
    -2.848 1.000000 0.171296 0.925065 0.074935 0.113297 0.223427 0.776573 0.246393 0.292490 0.508242 0.855745
    -2.824 1.000000 0.171296 0.925065 0.074935 0.113297 0.223427 0.776573 0.246393 0.292490 0.508242 0.855745
    -2.799 1.000000 0.171694 0.922481 0.077519 0.115367 0.225597 0.774403 0.246941 0.293069 0.508941 0.850970
    -2.775 1.000000 0.172093 0.919897 0.080103 0.117411 0.227766 0.772234 0.247492 0.293651 0.509642 0.846210
    -2.750 1.000000 0.172494 0.917313 0.082687 0.119428 0.229935 0.770065 0.248045 0.294235 0.510345 0.841463
    -2.726 1.000000 0.172494 0.917313 0.082687 0.119428 0.229935 0.770065 0.248045 0.294235 0.510345 0.841463
    -2.701 1.000000 0.172897 0.914729 0.085271 0.121421 0.232104 0.767896 0.248600 0.294821 0.511050 0.836729
    -2.677 1.000000 0.172897 0.914729 0.085271 0.121421 0.232104 0.767896 0.248600 0.294821 0.511050 0.836729
    -2.652 1.000000 0.173302 0.912145 0.087855 0.123392 0.234273 0.765727 0.249158 0.295409 0.511757 0.832008
    -2.628 1.000000 0.175355 0.899225 0.100775 0.132934 0.245119 0.754881 0.251986 0.298387 0.515320 0.808605
    -2.603 1.000000 0.175772 0.896641 0.103359 0.134787 0.247289 0.752711 0.252560 0.298990 0.516039 0.803965
    -2.579 1.000000 0.177033 0.888889 0.111111 0.140251 0.253796 0.746204 0.254296 0.300813 0.518207 0.790123
    -2.554 1.000000 0.177885 0.883721 0.116279 0.143820 0.258134 0.741866 0.255466 0.302041 0.519663 0.780963
    -2.530 1.000000 0.179177 0.875969 0.124031 0.149075 0.264642 0.735358 0.257242 0.303901 0.521862 0.767322
    -2.505 1.000000 0.181373 0.863049 0.136951 0.157604 0.275488 0.724512 0.260258 0.307054 0.525568 0.744854
    -2.481 1.000000 0.181373 0.863049 0.136951 0.157604 0.275488 0.724512 0.260258 0.307054 0.525568 0.744854
    -2.456 1.000000 0.183168 0.852713 0.147287 0.164251 0.284165 0.715835 0.262722 0.309623 0.528571 0.727120
    -2.432 1.000000 0.183168 0.852713 0.147287 0.164251 0.284165 0.715835 0.262722 0.309623 0.528571 0.727120
    -2.407 1.000000 0.184539 0.844961 0.155039 0.169147 0.290672 0.709328 0.264601 0.311579 0.530846 0.713959
    -2.383 1.000000 0.184539 0.844961 0.155039 0.169147 0.290672 0.709328 0.264601 0.311579 0.530846 0.713959
    -2.358 1.000000 0.186869 0.832041 0.167959 0.177162 0.301518 0.698482 0.267793 0.314894 0.534682 0.692293
    -2.334 1.000000 0.187342 0.829457 0.170543 0.178745 0.303688 0.696312 0.268440 0.315565 0.535456 0.688000
    -2.309 1.000000 0.187342 0.829457 0.170543 0.178745 0.303688 0.696312 0.268440 0.315565 0.535456 0.688000
    -2.285 1.000000 0.187342 0.829457 0.170543 0.178745 0.303688 0.696312 0.268440 0.315565 0.535456 0.688000
    -2.260 1.000000 0.187817 0.826873 0.173127 0.180322 0.305857 0.694143 0.269091 0.316239 0.536232 0.683720
    -2.236 1.000000 0.188776 0.821705 0.178295 0.183460 0.310195 0.689805 0.270402 0.317597 0.537791 0.675200
    -2.211 1.000000 0.189258 0.819121 0.180879 0.185021 0.312364 0.687636 0.271062 0.318280 0.538574 0.670960
    -2.187 1.000000 0.190231 0.813953 0.186047 0.188127 0.316703 0.683297 0.272393 0.319654 0.540146 0.662520
    -2.162 1.000000 0.190722 0.811370 0.188630 0.189673 0.318872 0.681128 0.273063 0.320346 0.540936 0.658320
    -2.138 1.000000 0.192708 0.801034 0.198966 0.195812 0.327549 0.672451 0.275776 0.323144 0.544118 0.641655
    -2.113 1.000000 0.193717 0.795866 0.204134 0.198858 0.331887 0.668113 0.277154 0.324561 0.545723 0.633402
    -2.089 1.000000 0.194737 0.790698 0.209302 0.201888 0.336226 0.663774 0.278545 0.325991 0.547337 0.625203
    -2.064 1.000000 0.194737 0.790698 0.209302 0.201888 0.336226 0.663774 0.278545 0.325991 0.547337 0.625203
    -2.040 1.000000 0.194737 0.790698 0.209302 0.201888 0.336226 0.663774 0.278545 0.325991 0.547337 0.625203
    -2.015 1.000000 0.195767 0.785530 0.214470 0.204905 0.340564 0.659436 0.279950 0.327434 0.548961 0.617057
    -1.991 1.000000 0.196286 0.782946 0.217054 0.206409 0.342733 0.657267 0.280657 0.328160 0.549777 0.613004
    -1.966 1.000000 0.197333 0.777778 0.222222 0.209408 0.347072 0.652928 0.282084 0.329621 0.551416 0.604938
    -1.942 1.000000 0.197333 0.777778 0.222222 0.209408 0.347072 0.652928 0.282084 0.329621 0.551416 0.604938
    -1.917 1.000000 0.198391 0.772610 0.227390 0.212396 0.351410 0.648590 0.283525 0.331096 0.553064 0.596926
    -1.893 1.000000 0.199461 0.767442 0.232558 0.215375 0.355748 0.644252 0.284981 0.332584 0.554723 0.588967
    -1.868 1.000000 0.200542 0.762274 0.237726 0.218344 0.360087 0.639913 0.286452 0.334086 0.556391 0.581062
    -1.844 1.000000 0.200542 0.762274 0.237726 0.218344 0.360087 0.639913 0.286452 0.334086 0.556391 0.581062
    -1.819 1.000000 0.202186 0.754522 0.245478 0.222783 0.366594 0.633406 0.288687 0.336364 0.558912 0.569303
    -1.795 1.000000 0.202740 0.751938 0.248062 0.224259 0.368764 0.631236 0.289439 0.337130 0.559758 0.565411
    -1.770 1.000000 0.203857 0.746770 0.253230 0.227206 0.373102 0.626898 0.290957 0.338673 0.561457 0.557665
    -1.746 0.986486 0.202216 0.744186 0.255814 0.215810 0.373102 0.626898 0.288538 0.335632 0.555556 0.553995
    -1.721 0.986486 0.202778 0.741602 0.258398 0.217330 0.375271 0.624729 0.289300 0.336406 0.556402 0.550156
    -1.697 0.986486 0.205056 0.731266 0.268734 0.223392 0.383948 0.616052 0.292390 0.339535 0.559816 0.534933
    -1.672 0.986486 0.205634 0.728682 0.271318 0.224903 0.386117 0.613883 0.293173 0.340326 0.560676 0.531160
