# COMMAND> S461_TNet_DIR.txt 3 4 200
# Total data entries loaded: 461
# Total Experimental Positives 74 and Negatives 387 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.161
# Total Predicted Positives 143 and Negatives 318 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.310
# Predicted data goes from -3.413001 to 2.177001 (range 5.590002) --> 200 samples taken in 0.02795001 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -3.413 1.000000 0.160521 1.000000 0.000000 0.000000 0.160521 0.839479 0.231491 0.276636 0.488771 1.000000
    -3.385 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -3.357 1.000000 0.160870 0.997416 0.002584 0.020388 0.162690 0.837310 0.231975 0.277154 0.489418 0.994839
    -3.329 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.301 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.273 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.245 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.217 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.189 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.161 1.000000 0.161220 0.994832 0.005168 0.028865 0.164859 0.835141 0.232461 0.277674 0.490066 0.989691
    -3.134 1.000000 0.161926 0.989664 0.010336 0.040910 0.169197 0.830803 0.233438 0.278719 0.491368 0.979435
    -3.106 1.000000 0.162281 0.987080 0.012920 0.045789 0.171367 0.828633 0.233930 0.279245 0.492021 0.974327
    -3.078 1.000000 0.162281 0.987080 0.012920 0.045789 0.171367 0.828633 0.233930 0.279245 0.492021 0.974327
    -3.050 1.000000 0.162281 0.987080 0.012920 0.045789 0.171367 0.828633 0.233930 0.279245 0.492021 0.974327
    -3.022 1.000000 0.162281 0.987080 0.012920 0.045789 0.171367 0.828633 0.233930 0.279245 0.492021 0.974327
