# COMMAND> ACDCNN_Pucci2018dirN.txt 3 4 100
# Total data entries loaded: 352
# Total Experimental Positives 91 and Negatives 261 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.259
# Total Predicted Positives 92 and Negatives 260 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.261
# Predicted data goes from -4.947001 to 2.283001 (range 7.230002) --> 100 samples taken in 0.07230002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -4.947 1.000000 0.258523 1.000000 0.000000 0.000000 0.258523 0.741477 0.364243 0.410835 0.635475 1.000000
    -4.875 1.000000 0.259259 0.996169 0.003831 0.031517 0.261364 0.738636 0.365217 0.411765 0.636364 0.992352
    -4.802 1.000000 0.259259 0.996169 0.003831 0.031517 0.261364 0.738636 0.365217 0.411765 0.636364 0.992352
    -4.730 1.000000 0.259259 0.996169 0.003831 0.031517 0.261364 0.738636 0.365217 0.411765 0.636364 0.992352
    -4.658 1.000000 0.259259 0.996169 0.003831 0.031517 0.261364 0.738636 0.365217 0.411765 0.636364 0.992352
    -4.586 1.000000 0.259259 0.996169 0.003831 0.031517 0.261364 0.738636 0.365217 0.411765 0.636364 0.992352
    -4.513 1.000000 0.259259 0.996169 0.003831 0.031517 0.261364 0.738636 0.365217 0.411765 0.636364 0.992352
    -4.441 1.000000 0.259259 0.996169 0.003831 0.031517 0.261364 0.738636 0.365217 0.411765 0.636364 0.992352
    -4.369 1.000000 0.259259 0.996169 0.003831 0.031517 0.261364 0.738636 0.365217 0.411765 0.636364 0.992352
    -4.296 1.000000 0.259259 0.996169 0.003831 0.031517 0.261364 0.738636 0.365217 0.411765 0.636364 0.992352
    -4.224 1.000000 0.259259 0.996169 0.003831 0.031517 0.261364 0.738636 0.365217 0.411765 0.636364 0.992352
    -4.152 1.000000 0.259259 0.996169 0.003831 0.031517 0.261364 0.738636 0.365217 0.411765 0.636364 0.992352
    -4.079 1.000000 0.259259 0.996169 0.003831 0.031517 0.261364 0.738636 0.365217 0.411765 0.636364 0.992352
    -4.007 1.000000 0.259259 0.996169 0.003831 0.031517 0.261364 0.738636 0.365217 0.411765 0.636364 0.992352
    -3.935 1.000000 0.259259 0.996169 0.003831 0.031517 0.261364 0.738636 0.365217 0.411765 0.636364 0.992352
    -3.863 1.000000 0.259259 0.996169 0.003831 0.031517 0.261364 0.738636 0.365217 0.411765 0.636364 0.992352
    -3.790 1.000000 0.260000 0.992337 0.007663 0.044636 0.264205 0.735795 0.366197 0.412698 0.637255 0.984733
    -3.718 1.000000 0.260000 0.992337 0.007663 0.044636 0.264205 0.735795 0.366197 0.412698 0.637255 0.984733
    -3.646 1.000000 0.260000 0.992337 0.007663 0.044636 0.264205 0.735795 0.366197 0.412698 0.637255 0.984733
    -3.573 1.000000 0.260000 0.992337 0.007663 0.044636 0.264205 0.735795 0.366197 0.412698 0.637255 0.984733
    -3.501 1.000000 0.260000 0.992337 0.007663 0.044636 0.264205 0.735795 0.366197 0.412698 0.637255 0.984733
    -3.429 1.000000 0.260745 0.988506 0.011494 0.054745 0.267045 0.732955 0.367182 0.413636 0.638149 0.977144
    -3.356 1.000000 0.261494 0.984674 0.015326 0.063305 0.269886 0.730114 0.368173 0.414579 0.639045 0.969584
    -3.284 1.000000 0.261494 0.984674 0.015326 0.063305 0.269886 0.730114 0.368173 0.414579 0.639045 0.969584
    -3.212 1.000000 0.263006 0.977011 0.022989 0.077757 0.275568 0.724432 0.370169 0.416476 0.640845 0.954551
    -3.140 1.000000 0.263006 0.977011 0.022989 0.077757 0.275568 0.724432 0.370169 0.416476 0.640845 0.954551
    -3.067 1.000000 0.263768 0.973180 0.026820 0.084109 0.278409 0.721591 0.371176 0.417431 0.641749 0.947079
    -2.995 1.000000 0.263768 0.973180 0.026820 0.084109 0.278409 0.721591 0.371176 0.417431 0.641749 0.947079
    -2.923 1.000000 0.263768 0.973180 0.026820 0.084109 0.278409 0.721591 0.371176 0.417431 0.641749 0.947079
    -2.850 1.000000 0.266082 0.961686 0.038314 0.100969 0.286932 0.713068 0.374229 0.420323 0.644476 0.924840
    -2.778 1.000000 0.266862 0.957854 0.042146 0.106052 0.289773 0.710227 0.375258 0.421296 0.645390 0.917485
    -2.706 1.000000 0.266862 0.957854 0.042146 0.106052 0.289773 0.710227 0.375258 0.421296 0.645390 0.917485
    -2.633 1.000000 0.267647 0.954023 0.045977 0.110931 0.292614 0.707386 0.376292 0.422274 0.646307 0.910160
    -2.561 1.000000 0.269231 0.946360 0.053640 0.120173 0.298295 0.701705 0.378378 0.424242 0.648148 0.895598
    -2.489 1.000000 0.269231 0.946360 0.053640 0.120173 0.298295 0.701705 0.378378 0.424242 0.648148 0.895598
    -2.417 1.000000 0.269231 0.946360 0.053640 0.120173 0.298295 0.701705 0.378378 0.424242 0.648148 0.895598
    -2.344 1.000000 0.270030 0.942529 0.057471 0.124575 0.301136 0.698864 0.379430 0.425234 0.649073 0.888360
    -2.272 1.000000 0.270030 0.942529 0.057471 0.124575 0.301136 0.698864 0.379430 0.425234 0.649073 0.888360
    -2.200 1.000000 0.271642 0.934866 0.065134 0.133016 0.306818 0.693182 0.381551 0.427230 0.650930 0.873974
    -2.127 1.000000 0.272455 0.931034 0.068966 0.137077 0.309659 0.690341 0.382621 0.428235 0.651862 0.866825
    -2.055 1.000000 0.274096 0.923372 0.076628 0.144926 0.315341 0.684659 0.384778 0.430260 0.653736 0.852615
    -1.983 1.000000 0.276596 0.911877 0.088123 0.156123 0.323864 0.676136 0.388060 0.433333 0.656566 0.831520
    -1.910 1.000000 0.278287 0.904215 0.095785 0.163266 0.329545 0.670455 0.390279 0.435407 0.658466 0.817604
    -1.838 1.000000 0.279141 0.900383 0.099617 0.166755 0.332386 0.667614 0.391398 0.436451 0.659420 0.810690
    -1.766 1.000000 0.282609 0.885057 0.114943 0.180233 0.343750 0.656250 0.395939 0.440678 0.663265 0.783327
    -1.694 1.000000 0.284375 0.877395 0.122605 0.186724 0.349432 0.650568 0.398249 0.442822 0.665205 0.769821
    -1.621 1.000000 0.284375 0.877395 0.122605 0.186724 0.349432 0.650568 0.398249 0.442822 0.665205 0.769821
    -1.549 1.000000 0.286164 0.869732 0.130268 0.193075 0.355114 0.644886 0.400587 0.444988 0.667155 0.756433
    -1.477 1.000000 0.286164 0.869732 0.130268 0.193075 0.355114 0.644886 0.400587 0.444988 0.667155 0.756433
    -1.404 1.000000 0.287066 0.865900 0.134100 0.196203 0.357955 0.642045 0.401766 0.446078 0.668135 0.749783
    -1.332 1.000000 0.289809 0.854406 0.145594 0.205413 0.366477 0.633523 0.405345 0.449383 0.671091 0.730010
    -1.260 1.000000 0.289809 0.854406 0.145594 0.205413 0.366477 0.633523 0.405345 0.449383 0.671091 0.730010
    -1.187 1.000000 0.289809 0.854406 0.145594 0.205413 0.366477 0.633523 0.405345 0.449383 0.671091 0.730010
