# COMMAND> ACDCNN_Pucci2018revN.txt 3 4 100
# Total data entries loaded: 352
# Total Experimental Positives 261 and Negatives 91 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.741
# Total Predicted Positives 259 and Negatives 93 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.736
# Predicted data goes from -2.604001 to 4.180001 (range 6.784002) --> 100 samples taken in 0.06784002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -2.604 1.000000 0.741477 1.000000 0.000000 0.000000 0.741477 0.258523 0.938286 0.851550 0.934814 1.000000
    -2.536 1.000000 0.743590 0.989011 0.010989 0.090395 0.744318 0.255682 0.940541 0.852941 0.935484 0.978143
    -2.468 1.000000 0.743590 0.989011 0.010989 0.090395 0.744318 0.255682 0.940541 0.852941 0.935484 0.978143
    -2.400 1.000000 0.743590 0.989011 0.010989 0.090395 0.744318 0.255682 0.940541 0.852941 0.935484 0.978143
    -2.333 1.000000 0.743590 0.989011 0.010989 0.090395 0.744318 0.255682 0.940541 0.852941 0.935484 0.978143
    -2.265 1.000000 0.743590 0.989011 0.010989 0.090395 0.744318 0.255682 0.940541 0.852941 0.935484 0.978143
    -2.197 1.000000 0.743590 0.989011 0.010989 0.090395 0.744318 0.255682 0.940541 0.852941 0.935484 0.978143
    -2.129 1.000000 0.743590 0.989011 0.010989 0.090395 0.744318 0.255682 0.940541 0.852941 0.935484 0.978143
    -2.061 1.000000 0.745714 0.978022 0.021978 0.128021 0.747159 0.252841 0.942806 0.854337 0.936155 0.956527
    -1.993 1.000000 0.745714 0.978022 0.021978 0.128021 0.747159 0.252841 0.942806 0.854337 0.936155 0.956527
    -1.926 1.000000 0.745714 0.978022 0.021978 0.128021 0.747159 0.252841 0.942806 0.854337 0.936155 0.956527
    -1.858 1.000000 0.745714 0.978022 0.021978 0.128021 0.747159 0.252841 0.942806 0.854337 0.936155 0.956527
    -1.790 1.000000 0.750000 0.956044 0.043956 0.181568 0.752841 0.247159 0.947368 0.857143 0.937500 0.914020
    -1.722 1.000000 0.750000 0.956044 0.043956 0.181568 0.752841 0.247159 0.947368 0.857143 0.937500 0.914020
    -1.654 1.000000 0.750000 0.956044 0.043956 0.181568 0.752841 0.247159 0.947368 0.857143 0.937500 0.914020
    -1.586 1.000000 0.750000 0.956044 0.043956 0.181568 0.752841 0.247159 0.947368 0.857143 0.937500 0.914020
    -1.519 1.000000 0.750000 0.956044 0.043956 0.181568 0.752841 0.247159 0.947368 0.857143 0.937500 0.914020
    -1.451 0.996169 0.749280 0.956044 0.043956 0.148458 0.750000 0.250000 0.946028 0.855263 0.934579 0.914035
    -1.383 0.992337 0.748555 0.956044 0.043956 0.122759 0.747159 0.252841 0.944681 0.853377 0.931655 0.914079
    -1.315 0.992337 0.748555 0.956044 0.043956 0.122759 0.747159 0.252841 0.944681 0.853377 0.931655 0.914079
    -1.247 0.992337 0.748555 0.956044 0.043956 0.122759 0.747159 0.252841 0.944681 0.853377 0.931655 0.914079
    -1.179 0.992337 0.748555 0.956044 0.043956 0.122759 0.747159 0.252841 0.944681 0.853377 0.931655 0.914079
    -1.112 0.992337 0.748555 0.956044 0.043956 0.122759 0.747159 0.252841 0.944681 0.853377 0.931655 0.914079
    -1.044 0.992337 0.748555 0.956044 0.043956 0.122759 0.747159 0.252841 0.944681 0.853377 0.931655 0.914079
    -0.976 0.992337 0.750725 0.945055 0.054945 0.148279 0.750000 0.250000 0.946984 0.854785 0.932325 0.893188
