# COMMAND> Cartddg_Pucci2018N_th8.txt 3 4 1000
# Total data entries loaded: 684
# Total Experimental Positives 342 and Negatives 342 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.500
# Total Predicted Positives 240 and Negatives 444 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.351
# Predicted data goes from -8.000001 to 11.780001 (range 19.780002) --> 1000 samples taken in 0.019780002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -8.000 1.000000 0.500000 1.000000 0.000000 0.000000 0.500000 0.500000 0.666667 0.666667 0.833333 1.000000
    -7.980 0.979532 0.547386 0.809942 0.190058 0.276303 0.584795 0.415205 0.720430 0.702306 0.845960 0.656424
    -7.960 0.979532 0.548282 0.807018 0.192982 0.279364 0.586257 0.413743 0.721464 0.703043 0.846387 0.651696
    -7.941 0.979532 0.548282 0.807018 0.192982 0.279364 0.586257 0.413743 0.721464 0.703043 0.846387 0.651696
    -7.921 0.979532 0.549180 0.804094 0.195906 0.282404 0.587719 0.412281 0.722502 0.703782 0.846815 0.646985
    -7.901 0.979532 0.550082 0.801170 0.198830 0.285424 0.589181 0.410819 0.723542 0.704522 0.847243 0.642292
    -7.881 0.979532 0.550987 0.798246 0.201754 0.288425 0.590643 0.409357 0.724585 0.705263 0.847672 0.637615
    -7.862 0.979532 0.550987 0.798246 0.201754 0.288425 0.590643 0.409357 0.724585 0.705263 0.847672 0.637615
    -7.842 0.979532 0.550987 0.798246 0.201754 0.288425 0.590643 0.409357 0.724585 0.705263 0.847672 0.637615
    -7.822 0.979532 0.550987 0.798246 0.201754 0.288425 0.590643 0.409357 0.724585 0.705263 0.847672 0.637615
    -7.802 0.979532 0.550987 0.798246 0.201754 0.288425 0.590643 0.409357 0.724585 0.705263 0.847672 0.637615
    -7.782 0.979532 0.551895 0.795322 0.204678 0.291408 0.592105 0.407895 0.725632 0.706006 0.848101 0.632955
    -7.763 0.979532 0.551895 0.795322 0.204678 0.291408 0.592105 0.407895 0.725632 0.706006 0.848101 0.632955
    -7.743 0.979532 0.551895 0.795322 0.204678 0.291408 0.592105 0.407895 0.725632 0.706006 0.848101 0.632955
    -7.723 0.979532 0.551895 0.795322 0.204678 0.291408 0.592105 0.407895 0.725632 0.706006 0.848101 0.632955
    -7.703 0.979532 0.551895 0.795322 0.204678 0.291408 0.592105 0.407895 0.725632 0.706006 0.848101 0.632955
    -7.684 0.979532 0.551895 0.795322 0.204678 0.291408 0.592105 0.407895 0.725632 0.706006 0.848101 0.632955
    -7.664 0.979532 0.552805 0.792398 0.207602 0.294372 0.593567 0.406433 0.726681 0.706751 0.848531 0.628313
    -7.644 0.979532 0.552805 0.792398 0.207602 0.294372 0.593567 0.406433 0.726681 0.706751 0.848531 0.628313
    -7.624 0.979532 0.552805 0.792398 0.207602 0.294372 0.593567 0.406433 0.726681 0.706751 0.848531 0.628313
    -7.604 0.979532 0.552805 0.792398 0.207602 0.294372 0.593567 0.406433 0.726681 0.706751 0.848531 0.628313
    -7.585 0.979532 0.552805 0.792398 0.207602 0.294372 0.593567 0.406433 0.726681 0.706751 0.848531 0.628313
    -7.565 0.979532 0.552805 0.792398 0.207602 0.294372 0.593567 0.406433 0.726681 0.706751 0.848531 0.628313
    -7.545 0.979532 0.552805 0.792398 0.207602 0.294372 0.593567 0.406433 0.726681 0.706751 0.848531 0.628313
    -7.525 0.979532 0.552805 0.792398 0.207602 0.294372 0.593567 0.406433 0.726681 0.706751 0.848531 0.628313
    -7.506 0.979532 0.552805 0.792398 0.207602 0.294372 0.593567 0.406433 0.726681 0.706751 0.848531 0.628313
    -7.486 0.979532 0.552805 0.792398 0.207602 0.294372 0.593567 0.406433 0.726681 0.706751 0.848531 0.628313
    -7.466 0.979532 0.552805 0.792398 0.207602 0.294372 0.593567 0.406433 0.726681 0.706751 0.848531 0.628313
    -7.446 0.979532 0.552805 0.792398 0.207602 0.294372 0.593567 0.406433 0.726681 0.706751 0.848531 0.628313
    -7.426 0.979532 0.552805 0.792398 0.207602 0.294372 0.593567 0.406433 0.726681 0.706751 0.848531 0.628313
    -7.407 0.979532 0.553719 0.789474 0.210526 0.297319 0.595029 0.404971 0.727734 0.707497 0.848961 0.623688
    -7.387 0.979532 0.553719 0.789474 0.210526 0.297319 0.595029 0.404971 0.727734 0.707497 0.848961 0.623688
