# COMMAND> Cartddg_Pucci2018dirN_th8.txt 3 4 100
# Total data entries loaded: 352
# Total Experimental Positives 88 and Negatives 264 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.250
# Total Predicted Positives 72 and Negatives 280 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.205
# Predicted data goes from -8.000001 to 6.010001 (range 14.010002) --> 100 samples taken in 0.14010002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -8.000 1.000000 0.250000 1.000000 0.000000 0.000000 0.250000 0.750000 0.352941 0.400000 0.625000 1.000000
    -7.860 1.000000 0.308772 0.746212 0.253788 0.279933 0.440341 0.559659 0.429967 0.471850 0.690738 0.556833
    -7.720 0.988636 0.307420 0.742424 0.257576 0.268556 0.440341 0.559659 0.427869 0.469003 0.685039 0.551323
    -7.580 0.988636 0.308511 0.738636 0.261364 0.271213 0.443182 0.556818 0.429276 0.470270 0.686120 0.545713
    -7.440 0.988636 0.308511 0.738636 0.261364 0.271213 0.443182 0.556818 0.429276 0.470270 0.686120 0.545713
    -7.300 0.988636 0.310714 0.731061 0.268939 0.276505 0.448864 0.551136 0.432119 0.472826 0.688291 0.534579
    -7.159 0.988636 0.310714 0.731061 0.268939 0.276505 0.448864 0.551136 0.432119 0.472826 0.688291 0.534579
    -7.019 0.988636 0.312950 0.723485 0.276515 0.281773 0.454545 0.545455 0.435000 0.475410 0.690476 0.523559
    -6.879 0.988636 0.317518 0.708333 0.291667 0.292246 0.465909 0.534091 0.440878 0.480663 0.694888 0.501865
    -6.739 0.988636 0.322222 0.693182 0.306818 0.302653 0.477273 0.522727 0.446918 0.486034 0.699357 0.480630
    -6.599 0.977273 0.320896 0.689394 0.310606 0.292446 0.477273 0.522727 0.444828 0.483146 0.693548 0.475781
    -6.459 0.977273 0.323308 0.681818 0.318182 0.297745 0.482955 0.517045 0.447917 0.485876 0.695793 0.465393
    -6.319 0.977273 0.323308 0.681818 0.318182 0.297745 0.482955 0.517045 0.447917 0.485876 0.695793 0.465393
    -6.179 0.977273 0.325758 0.674242 0.325758 0.303030 0.488636 0.511364 0.451049 0.488636 0.698052 0.455119
    -6.039 0.977273 0.333333 0.651515 0.348485 0.318834 0.505682 0.494318 0.460714 0.497110 0.704918 0.424989
    -5.899 0.977273 0.335938 0.643939 0.356061 0.324091 0.511364 0.488636 0.464029 0.500000 0.707237 0.415174
    -5.758 0.977273 0.337255 0.640152 0.359848 0.326718 0.514205 0.485795 0.465704 0.501458 0.708402 0.410310
    -5.618 0.954545 0.333333 0.636364 0.363636 0.305505 0.511364 0.488636 0.459854 0.494118 0.695364 0.407025
    -5.478 0.954545 0.333333 0.636364 0.363636 0.305505 0.511364 0.488636 0.459854 0.494118 0.695364 0.407025
    -5.338 0.943182 0.333333 0.628788 0.371212 0.299226 0.514205 0.485795 0.459410 0.492582 0.690516 0.398603
    -5.198 0.943182 0.337398 0.617424 0.382576 0.307480 0.522727 0.477273 0.464552 0.497006 0.693980 0.384441
    -5.058 0.943182 0.342975 0.602273 0.397727 0.318477 0.534091 0.465909 0.471591 0.503030 0.698653 0.365961
    -4.918 0.931818 0.341667 0.598485 0.401515 0.309890 0.534091 0.465909 0.469466 0.500000 0.692568 0.362833
    -4.778 0.931818 0.341667 0.598485 0.401515 0.309890 0.534091 0.465909 0.469466 0.500000 0.692568 0.362833
    -4.638 0.909091 0.343348 0.579545 0.420455 0.301653 0.542614 0.457386 0.470588 0.498442 0.683761 0.344137
    -4.498 0.909091 0.346320 0.571970 0.428030 0.307348 0.548295 0.451705 0.474308 0.501567 0.686106 0.335414
