# COMMAND> Cartddg_Pucci2018revN_th8.txt 3 4 100
# Total data entries loaded: 352
# Total Experimental Positives 264 and Negatives 88 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.750
# Total Predicted Positives 175 and Negatives 177 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.497
# Predicted data goes from -8.000001 to 11.780001 (range 19.780002) --> 100 samples taken in 0.19780002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -8.000 1.000000 0.750000 1.000000 0.000000 0.000000 0.750000 0.250000 0.947368 0.857143 0.937500 1.000000
    -7.802 0.973485 0.762611 0.909091 0.090909 0.138047 0.752841 0.247159 0.956576 0.855241 0.922469 0.827149
    -7.604 0.973485 0.762611 0.909091 0.090909 0.138047 0.752841 0.247159 0.956576 0.855241 0.922469 0.827149
    -7.407 0.973485 0.762611 0.909091 0.090909 0.138047 0.752841 0.247159 0.956576 0.855241 0.922469 0.827149
    -7.209 0.973485 0.762611 0.909091 0.090909 0.138047 0.752841 0.247159 0.956576 0.855241 0.922469 0.827149
    -7.011 0.969697 0.761905 0.909091 0.090909 0.125988 0.750000 0.250000 0.955224 0.853333 0.919540 0.827365
    -6.813 0.965909 0.765766 0.886364 0.113636 0.152426 0.752841 0.247159 0.958647 0.854271 0.917927 0.786803
    -6.615 0.958333 0.768997 0.863636 0.136364 0.165927 0.752841 0.247159 0.960759 0.853288 0.913357 0.747604
    -6.418 0.958333 0.771341 0.852273 0.147727 0.182203 0.755682 0.244318 0.963198 0.854730 0.914017 0.728105
    -6.220 0.950758 0.769939 0.852273 0.147727 0.163049 0.750000 0.250000 0.960459 0.850847 0.908104 0.728794
    -6.022 0.946970 0.769231 0.852273 0.147727 0.154083 0.747159 0.252841 0.959079 0.848896 0.905141 0.729181
    -5.824 0.935606 0.769470 0.840909 0.159091 0.144692 0.741477 0.258523 0.957364 0.844444 0.896877 0.711275
    -5.626 0.931818 0.768750 0.840909 0.159091 0.136931 0.738636 0.261364 0.955959 0.842466 0.893895 0.711777
    -5.429 0.920455 0.771429 0.818182 0.181818 0.144393 0.735795 0.264205 0.956693 0.839378 0.886214 0.675749
    -5.231 0.916667 0.773163 0.806818 0.193182 0.151542 0.735795 0.264205 0.957784 0.838821 0.883857 0.657900
    -5.033 0.916667 0.775641 0.795455 0.204545 0.165380 0.738636 0.261364 0.960317 0.840278 0.884503 0.639692
    -4.835 0.909091 0.774194 0.795455 0.204545 0.151794 0.732955 0.267045 0.957447 0.836237 0.878477 0.641012
