# COMMAND> DDGun3D_Pucci2018N.txt 3 4 100
# Total data entries loaded: 704
# Total Experimental Positives 352 and Negatives 352 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.500
# Total Predicted Positives 347 and Negatives 357 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.493
# Predicted data goes from -4.600001 to 4.000001 (range 8.600002) --> 100 samples taken in 0.08600002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -4.600 1.000000 0.500000 1.000000 0.000000 0.000000 0.500000 0.500000 0.666667 0.666667 0.833333 1.000000
    -4.514 1.000000 0.501425 0.994318 0.005682 0.053376 0.502841 0.497159 0.668354 0.667932 0.834123 0.988669
    -4.428 1.000000 0.501425 0.994318 0.005682 0.053376 0.502841 0.497159 0.668354 0.667932 0.834123 0.988669
    -4.342 1.000000 0.501425 0.994318 0.005682 0.053376 0.502841 0.497159 0.668354 0.667932 0.834123 0.988669
    -4.256 1.000000 0.501425 0.994318 0.005682 0.053376 0.502841 0.497159 0.668354 0.667932 0.834123 0.988669
    -4.170 1.000000 0.502140 0.991477 0.008523 0.065419 0.504261 0.495739 0.669202 0.668566 0.834519 0.983027
    -4.084 1.000000 0.502140 0.991477 0.008523 0.065419 0.504261 0.495739 0.669202 0.668566 0.834519 0.983027
    -3.998 1.000000 0.502140 0.991477 0.008523 0.065419 0.504261 0.495739 0.669202 0.668566 0.834519 0.983027
    -3.912 1.000000 0.502857 0.988636 0.011364 0.075593 0.505682 0.494318 0.670051 0.669202 0.834915 0.977402
    -3.826 1.000000 0.502857 0.988636 0.011364 0.075593 0.505682 0.494318 0.670051 0.669202 0.834915 0.977402
    -3.740 1.000000 0.502857 0.988636 0.011364 0.075593 0.505682 0.494318 0.670051 0.669202 0.834915 0.977402
    -3.654 1.000000 0.503577 0.985795 0.014205 0.084576 0.507102 0.492898 0.670902 0.669838 0.835311 0.971793
    -3.568 1.000000 0.503577 0.985795 0.014205 0.084576 0.507102 0.492898 0.670902 0.669838 0.835311 0.971793
    -3.482 1.000000 0.504298 0.982955 0.017045 0.092715 0.508523 0.491477 0.671756 0.670476 0.835708 0.966200
    -3.396 1.000000 0.504298 0.982955 0.017045 0.092715 0.508523 0.491477 0.671756 0.670476 0.835708 0.966200
    -3.310 1.000000 0.504298 0.982955 0.017045 0.092715 0.508523 0.491477 0.671756 0.670476 0.835708 0.966200
    -3.224 1.000000 0.505747 0.977273 0.022727 0.107211 0.511364 0.488636 0.673469 0.671756 0.836502 0.955062
    -3.138 1.000000 0.505747 0.977273 0.022727 0.107211 0.511364 0.488636 0.673469 0.671756 0.836502 0.955062
    -3.052 1.000000 0.506475 0.974432 0.025568 0.113796 0.512784 0.487216 0.674330 0.672397 0.836900 0.949517
    -2.966 1.000000 0.507205 0.971591 0.028409 0.120038 0.514205 0.485795 0.675192 0.673040 0.837298 0.943989
    -2.880 1.000000 0.507937 0.968750 0.031250 0.125988 0.515625 0.484375 0.676056 0.673684 0.837696 0.938477
    -2.794 1.000000 0.507937 0.968750 0.031250 0.125988 0.515625 0.484375 0.676056 0.673684 0.837696 0.938477
    -2.708 1.000000 0.509407 0.963068 0.036932 0.137162 0.518466 0.481534 0.677792 0.674976 0.838495 0.927500
    -2.622 1.000000 0.511628 0.954545 0.045455 0.152499 0.522727 0.477273 0.680412 0.676923 0.839695 0.911157
    -2.536 1.000000 0.512373 0.951705 0.048295 0.157306 0.524148 0.475852 0.681290 0.677575 0.840095 0.905742
    -2.450 1.000000 0.513869 0.946023 0.053977 0.166545 0.526989 0.473011 0.683053 0.678881 0.840898 0.894959
    -2.364 1.000000 0.514620 0.943182 0.056818 0.170996 0.528409 0.471591 0.683938 0.679537 0.841300 0.889592
    -2.278 1.000000 0.516887 0.934659 0.065341 0.183777 0.532670 0.467330 0.686606 0.681510 0.842508 0.873588
    -2.192 1.000000 0.519174 0.926136 0.073864 0.195827 0.536932 0.463068 0.689295 0.683495 0.843720 0.857729
    -2.106 1.000000 0.519174 0.926136 0.073864 0.195827 0.536932 0.463068 0.689295 0.683495 0.843720 0.857729
    -2.020 1.000000 0.521481 0.917614 0.082386 0.207275 0.541193 0.458807 0.692005 0.685492 0.844935 0.842015
    -1.934 0.997159 0.522321 0.911932 0.088068 0.204579 0.542614 0.457386 0.692763 0.685547 0.843750 0.831628
    -1.848 0.997159 0.523881 0.906250 0.093750 0.212018 0.545455 0.454545 0.694591 0.686888 0.844562 0.821297
    -1.762 0.997159 0.525449 0.900568 0.099432 0.219250 0.548295 0.451705 0.696429 0.688235 0.845376 0.811031
    -1.676 0.997159 0.527820 0.892045 0.107955 0.229752 0.552557 0.447443 0.699203 0.690265 0.846599 0.795753
    -1.590 0.997159 0.528614 0.889205 0.110795 0.233168 0.553977 0.446023 0.700133 0.690945 0.847008 0.790693
    -1.504 0.994318 0.528701 0.886364 0.113636 0.227892 0.553977 0.446023 0.700000 0.690335 0.845411 0.785673
    -1.418 0.991477 0.532824 0.869318 0.130682 0.240021 0.561080 0.438920 0.704576 0.693148 0.845856 0.755787
    -1.332 0.991477 0.536923 0.855114 0.144886 0.256205 0.568182 0.431818 0.709350 0.696607 0.847911 0.731292
    -1.246 0.988636 0.537867 0.849432 0.150568 0.255156 0.569602 0.430398 0.710204 0.696697 0.846715 0.721664
    -1.160 0.985795 0.540498 0.838068 0.161932 0.260639 0.573864 0.426136 0.713014 0.698189 0.846341 0.702560
    -1.074 0.980114 0.545024 0.818182 0.181818 0.268871 0.580966 0.419034 0.717753 0.700508 0.845174 0.669817
    -0.988 0.977273 0.551282 0.795455 0.204545 0.286446 0.590909 0.409091 0.724719 0.704918 0.846457 0.633264
    -0.902 0.974432 0.557724 0.772727 0.227273 0.303477 0.600852 0.399148 0.731863 0.709411 0.847751 0.597761
    -0.816 0.971591 0.564356 0.750000 0.250000 0.320070 0.610795 0.389205 0.739193 0.713987 0.849057 0.563307
    -0.730 0.968750 0.570234 0.730114 0.269886 0.333638 0.619318 0.380682 0.745627 0.717895 0.849950 0.534042
    -0.644 0.954545 0.572402 0.713068 0.286932 0.324345 0.620739 0.379261 0.746667 0.715655 0.842105 0.510532
    -0.558 0.948864 0.577855 0.693182 0.306818 0.333498 0.627841 0.372159 0.752252 0.718280 0.840886 0.483116
    -0.472 0.928977 0.588129 0.650568 0.349432 0.341631 0.639205 0.360795 0.761646 0.720264 0.832485 0.428283
    -0.386 0.909091 0.594796 0.619318 0.380682 0.341315 0.644886 0.355114 0.766773 0.719101 0.822199 0.391819
    -0.300 0.880682 0.603113 0.579545 0.420455 0.339193 0.650568 0.349432 0.772425 0.715935 0.806452 0.350110
    -0.214 0.852273 0.610998 0.542614 0.457386 0.337051 0.654830 0.345170 0.777202 0.711744 0.789889 0.316253
    -0.128 0.792614 0.624161 0.477273 0.522727 0.327493 0.657670 0.342330 0.782243 0.698373 0.752022 0.270798
    -0.042 0.738636 0.663265 0.375000 0.625000 0.366007 0.681818 0.318182 0.812500 0.698925 0.722222 0.208936
     0.044 0.616477 0.706840 0.255682 0.744318 0.363780 0.680398 0.319602 0.824051 0.658574 0.632653 0.212463
     0.130 0.494318 0.698795 0.213068 0.786932 0.294124 0.640625 0.359375 0.774481 0.579035 0.525045 0.301112
     0.216 0.434659 0.732057 0.159091 0.840909 0.301575 0.637784 0.362216 0.772727 0.545455 0.473098 0.344920
     0.302 0.411932 0.775401 0.119318 0.880682 0.331262 0.646307 0.353693 0.790909 0.538033 0.454545 0.360061
     0.388 0.357955 0.823529 0.076705 0.923295 0.340968 0.640625 0.359375 0.784232 0.499010 0.403587 0.418106
     0.474 0.332386 0.854015 0.056818 0.943182 0.348033 0.637784 0.362216 0.780000 0.478528 0.378641 0.448936
     0.560 0.298295 0.853659 0.051136 0.948864 0.325446 0.623580 0.376420 0.746445 0.442105 0.342913 0.495004
     0.646 0.275568 0.858407 0.045455 0.954545 0.313438 0.615057 0.384943 0.723881 0.417204 0.318869 0.526868
     0.732 0.258523 0.883495 0.034091 0.965909 0.317520 0.612216 0.387784 0.714660 0.400000 0.301125 0.550951
     0.818 0.244318 0.895833 0.028409 0.971591 0.314576 0.607955 0.392045 0.701087 0.383929 0.285904 0.571862
     0.904 0.213068 0.903614 0.022727 0.977273 0.295114 0.595170 0.404830 0.657895 0.344828 0.251509 0.619778
     0.990 0.193182 0.894737 0.022727 0.977273 0.274641 0.585227 0.414773 0.621951 0.317757 0.229111 0.651472
     1.076 0.170455 0.909091 0.017045 0.982955 0.263155 0.576705 0.423295 0.584416 0.287081 0.203528 0.688436
     1.162 0.156250 0.916667 0.014205 0.985795 0.254362 0.571023 0.428977 0.557432 0.266990 0.187330 0.712116
     1.248 0.147727 0.912281 0.014205 0.985795 0.244742 0.566761 0.433239 0.537931 0.254279 0.177474 0.726571
     1.334 0.127841 0.957447 0.005682 0.994318 0.244702 0.561080 0.438920 0.500000 0.225564 0.154639 0.760694
     1.420 0.113636 0.952381 0.005682 0.994318 0.227892 0.553977 0.446023 0.461538 0.203046 0.137931 0.785673
     1.506 0.107955 0.950000 0.005682 0.994318 0.220896 0.551136 0.448864 0.445312 0.193878 0.131215 0.795777
     1.592 0.102273 0.972973 0.002841 0.997159 0.222794 0.549716 0.450284 0.432000 0.185090 0.124567 0.805922
     1.678 0.099432 0.972222 0.002841 0.997159 0.219250 0.548295 0.451705 0.423387 0.180412 0.121191 0.811031
     1.764 0.088068 1.000000 0.000000 1.000000 0.214622 0.544034 0.455966 0.390756 0.161880 0.107714 0.831620
     1.850 0.082386 1.000000 0.000000 1.000000 0.207275 0.541193 0.458807 0.371795 0.152231 0.100905 0.842015
     1.936 0.076705 1.000000 0.000000 1.000000 0.199704 0.538352 0.461648 0.352174 0.142480 0.094077 0.852474
     2.022 0.071023 1.000000 0.000000 1.000000 0.191882 0.535511 0.464489 0.331858 0.132626 0.087230 0.862999
     2.108 0.065341 1.000000 0.000000 1.000000 0.183777 0.532670 0.467330 0.310811 0.122667 0.080363 0.873588
     2.194 0.059659 1.000000 0.000000 1.000000 0.175347 0.529830 0.470170 0.288991 0.112601 0.073478 0.884241
     2.280 0.048295 1.000000 0.000000 1.000000 0.157306 0.524148 0.475852 0.242857 0.092141 0.059649 0.905742
     2.366 0.042614 1.000000 0.000000 1.000000 0.147549 0.521307 0.478693 0.218447 0.081744 0.052706 0.916589
     2.452 0.042614 1.000000 0.000000 1.000000 0.147549 0.521307 0.478693 0.218447 0.081744 0.052706 0.916589
