# COMMAND> Dynamut2_Pucci2018revN.txt 3 4 100
# Total data entries loaded: 342
# Total Experimental Positives 253 and Negatives 89 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.740
# Total Predicted Positives 66 and Negatives 276 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.193
# Predicted data goes from -3.816001 to 1.264001 (range 5.080002) --> 100 samples taken in 0.05080002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -3.816 1.000000 0.739766 1.000000 0.000000 0.000000 0.739766 0.260234 0.936459 0.850420 0.934269 1.000000
    -3.765 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -3.714 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -3.664 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -3.613 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -3.562 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -3.511 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -3.460 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -3.410 0.992095 0.740413 0.988764 0.011236 0.015673 0.736842 0.263158 0.935985 0.847973 0.928942 0.977717
    -3.359 0.988142 0.739645 0.988764 0.011236 -0.002537 0.733918 0.266082 0.934579 0.846024 0.925926 0.977795
    -3.308 0.988142 0.739645 0.988764 0.011236 -0.002537 0.733918 0.266082 0.934579 0.846024 0.925926 0.977795
    -3.257 0.988142 0.739645 0.988764 0.011236 -0.002537 0.733918 0.266082 0.934579 0.846024 0.925926 0.977795
    -3.206 0.988142 0.739645 0.988764 0.011236 -0.002537 0.733918 0.266082 0.934579 0.846024 0.925926 0.977795
    -3.156 0.988142 0.739645 0.988764 0.011236 -0.002537 0.733918 0.266082 0.934579 0.846024 0.925926 0.977795
    -3.105 0.988142 0.739645 0.988764 0.011236 -0.002537 0.733918 0.266082 0.934579 0.846024 0.925926 0.977795
    -3.054 0.984190 0.738872 0.988764 0.011236 -0.016722 0.730994 0.269006 0.933167 0.844068 0.922906 0.977904
    -3.003 0.984190 0.738872 0.988764 0.011236 -0.016722 0.730994 0.269006 0.933167 0.844068 0.922906 0.977904
    -2.952 0.984190 0.738872 0.988764 0.011236 -0.016722 0.730994 0.269006 0.933167 0.844068 0.922906 0.977904
    -2.902 0.984190 0.741071 0.977528 0.022472 0.022263 0.733918 0.266082 0.935504 0.845501 0.923591 0.955811
    -2.851 0.984190 0.741071 0.977528 0.022472 0.022263 0.733918 0.266082 0.935504 0.845501 0.923591 0.955811
    -2.800 0.984190 0.741071 0.977528 0.022472 0.022263 0.733918 0.266082 0.935504 0.845501 0.923591 0.955811
    -2.749 0.984190 0.741071 0.977528 0.022472 0.022263 0.733918 0.266082 0.935504 0.845501 0.923591 0.955811
    -2.698 0.984190 0.743284 0.966292 0.033708 0.055460 0.736842 0.263158 0.937853 0.846939 0.924276 0.933970
    -2.648 0.984190 0.743284 0.966292 0.033708 0.055460 0.736842 0.263158 0.937853 0.846939 0.924276 0.933970
    -2.597 0.984190 0.743284 0.966292 0.033708 0.055460 0.736842 0.263158 0.937853 0.846939 0.924276 0.933970
    -2.546 0.980237 0.744745 0.955056 0.044944 0.069022 0.736842 0.263158 0.938801 0.846416 0.921933 0.912523
    -2.495 0.976285 0.743976 0.955056 0.044944 0.055285 0.733918 0.266082 0.937381 0.844444 0.918899 0.912695
    -2.444 0.976285 0.746224 0.943820 0.056180 0.080733 0.736842 0.263158 0.939759 0.845890 0.919583 0.891359
    -2.394 0.976285 0.746224 0.943820 0.056180 0.080733 0.736842 0.263158 0.939759 0.845890 0.919583 0.891359
    -2.343 0.972332 0.747720 0.932584 0.067416 0.091201 0.736842 0.263158 0.940727 0.845361 0.917226 0.870479
    -2.292 0.972332 0.747720 0.932584 0.067416 0.091201 0.736842 0.263158 0.940727 0.845361 0.917226 0.870479
    -2.241 0.972332 0.747720 0.932584 0.067416 0.091201 0.736842 0.263158 0.940727 0.845361 0.917226 0.870479
    -2.190 0.968379 0.746951 0.932584 0.067416 0.079265 0.733918 0.266082 0.939297 0.843373 0.914179 0.870713
    -2.140 0.956522 0.744615 0.932584 0.067416 0.048324 0.725146 0.274854 0.934965 0.837370 0.905011 0.871604
    -2.089 0.956522 0.744615 0.932584 0.067416 0.048324 0.725146 0.274854 0.934965 0.837370 0.905011 0.871604
    -2.038 0.948617 0.743034 0.932584 0.067416 0.030710 0.719298 0.280702 0.932039 0.833333 0.898876 0.872354
    -1.987 0.940711 0.746082 0.910112 0.089888 0.053605 0.719298 0.280702 0.933944 0.832168 0.894065 0.831820
    -1.936 0.936759 0.745283 0.910112 0.089888 0.045770 0.716374 0.283626 0.932459 0.830123 0.890977 0.832304
    -1.886 0.928854 0.743671 0.910112 0.089888 0.031026 0.710526 0.289474 0.929466 0.826011 0.884789 0.833366
    -1.835 0.928854 0.743671 0.910112 0.089888 0.031026 0.710526 0.289474 0.929466 0.826011 0.884789 0.833366
    -1.784 0.920949 0.742038 0.910112 0.089888 0.017342 0.704678 0.295322 0.926441 0.821869 0.878582 0.834554
    -1.733 0.916996 0.743590 0.898876 0.101124 0.028104 0.704678 0.295322 0.927382 0.821239 0.876133 0.814868
    -1.682 0.901186 0.740260 0.898876 0.101124 0.003386 0.692982 0.307018 0.921212 0.812834 0.863636 0.817743
    -1.632 0.881423 0.735974 0.898876 0.101124 -0.024093 0.678363 0.321637 0.913311 0.802158 0.847909 0.822039
    -1.581 0.877470 0.735099 0.898876 0.101124 -0.029225 0.675439 0.324561 0.911704 0.800000 0.844749 0.822992
    -1.530 0.873518 0.736667 0.887640 0.112360 -0.018879 0.675439 0.324561 0.912595 0.799277 0.842226 0.803903
    -1.479 0.861660 0.736486 0.876404 0.123596 -0.018961 0.669591 0.330409 0.910230 0.794171 0.833333 0.787223
    -1.428 0.841897 0.739583 0.842697 0.157303 -0.000962 0.663743 0.336257 0.909609 0.787431 0.819231 0.735134
    -1.378 0.837945 0.741259 0.831461 0.168539 0.007688 0.663743 0.336257 0.910523 0.786642 0.816641 0.717589
    -1.327 0.826087 0.738516 0.831461 0.168539 -0.006240 0.654971 0.345029 0.905415 0.779851 0.806950 0.721573
    -1.276 0.822134 0.742857 0.808989 0.191011 0.014971 0.657895 0.342105 0.908958 0.780488 0.804954 0.686099
