# COMMAND> Dynamut_Pucci2018dirN.txt 3 4 100
# Total data entries loaded: 352
# Total Experimental Positives 88 and Negatives 264 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.250
# Total Predicted Positives 46 and Negatives 306 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.131
# Predicted data goes from -3.944001 to 1.571001 (range 5.515002) --> 100 samples taken in 0.05515002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -3.944 1.000000 0.250000 1.000000 0.000000 0.000000 0.250000 0.750000 0.352941 0.400000 0.625000 1.000000
    -3.889 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -3.834 1.000000 0.251429 0.992424 0.007576 0.043644 0.255682 0.744318 0.354839 0.401826 0.626781 0.984906
    -3.779 1.000000 0.252149 0.988636 0.011364 0.053529 0.258523 0.741477 0.355795 0.402746 0.627675 0.977402
    -3.723 1.000000 0.252874 0.984848 0.015152 0.061898 0.261364 0.738636 0.356757 0.403670 0.628571 0.969927
    -3.668 1.000000 0.252874 0.984848 0.015152 0.061898 0.261364 0.738636 0.356757 0.403670 0.628571 0.969927
    -3.613 1.000000 0.255072 0.973485 0.026515 0.082239 0.269886 0.730114 0.359673 0.406467 0.631277 0.947673
    -3.558 1.000000 0.255072 0.973485 0.026515 0.082239 0.269886 0.730114 0.359673 0.406467 0.631277 0.947673
    -3.503 1.000000 0.256560 0.965909 0.034091 0.093522 0.275568 0.724432 0.361644 0.408353 0.633094 0.932980
    -3.448 1.000000 0.257310 0.962121 0.037879 0.098725 0.278409 0.721591 0.362637 0.409302 0.634006 0.925677
    -3.393 1.000000 0.258824 0.954545 0.045455 0.108465 0.284091 0.715909 0.364641 0.411215 0.635838 0.911157
    -3.337 1.000000 0.259587 0.950758 0.049242 0.113061 0.286932 0.713068 0.365651 0.412178 0.636758 0.903940
    -3.282 1.000000 0.260355 0.946970 0.053030 0.117502 0.289773 0.710227 0.366667 0.413146 0.637681 0.896752
    -3.227 1.000000 0.260355 0.946970 0.053030 0.117502 0.289773 0.710227 0.366667 0.413146 0.637681 0.896752
    -3.172 1.000000 0.261905 0.939394 0.060606 0.125988 0.295455 0.704545 0.368715 0.415094 0.639535 0.882461
    -3.117 1.000000 0.261905 0.939394 0.060606 0.125988 0.295455 0.704545 0.368715 0.415094 0.639535 0.882461
    -3.062 1.000000 0.261905 0.939394 0.060606 0.125988 0.295455 0.704545 0.368715 0.415094 0.639535 0.882461
    -3.006 1.000000 0.263473 0.931818 0.068182 0.134030 0.301136 0.698864 0.370787 0.417062 0.641399 0.868285
    -2.951 1.000000 0.263473 0.931818 0.068182 0.134030 0.301136 0.698864 0.370787 0.417062 0.641399 0.868285
    -2.896 1.000000 0.264264 0.928030 0.071970 0.137909 0.303977 0.696023 0.371831 0.418052 0.642336 0.861240
    -2.841 1.000000 0.264264 0.928030 0.071970 0.137909 0.303977 0.696023 0.371831 0.418052 0.642336 0.861240
    -2.786 1.000000 0.265861 0.920455 0.079545 0.145424 0.309659 0.690341 0.373938 0.420048 0.644217 0.847237
    -2.731 1.000000 0.265861 0.920455 0.079545 0.145424 0.309659 0.690341 0.373938 0.420048 0.644217 0.847237
    -2.676 1.000000 0.266667 0.916667 0.083333 0.149071 0.312500 0.687500 0.375000 0.421053 0.645161 0.840278
    -2.620 1.000000 0.268293 0.909091 0.090909 0.156174 0.318182 0.681818 0.377143 0.423077 0.647059 0.826446
    -2.565 1.000000 0.268293 0.909091 0.090909 0.156174 0.318182 0.681818 0.377143 0.423077 0.647059 0.826446
    -2.510 1.000000 0.269113 0.905303 0.094697 0.159638 0.321023 0.678977 0.378223 0.424096 0.648012 0.819574
    -2.455 1.000000 0.271605 0.893939 0.106061 0.169725 0.329545 0.670455 0.381503 0.427184 0.650888 0.799128
    -2.400 1.000000 0.273292 0.886364 0.113636 0.176227 0.335227 0.664773 0.383721 0.429268 0.652819 0.785640
    -2.345 1.000000 0.276730 0.871212 0.128788 0.188784 0.346591 0.653409 0.388235 0.433498 0.656716 0.759011
    -2.290 1.000000 0.277603 0.867424 0.132576 0.191842 0.349432 0.650568 0.389381 0.434568 0.657698 0.752425
    -2.234 1.000000 0.279365 0.859848 0.140152 0.197872 0.355114 0.644886 0.391691 0.436725 0.659670 0.739339
    -2.179 1.000000 0.283871 0.840909 0.159091 0.212512 0.369318 0.630682 0.397590 0.442211 0.664653 0.707128
    -2.124 1.000000 0.290429 0.814394 0.185606 0.232175 0.389205 0.610795 0.406154 0.450128 0.671756 0.663237
    -2.069 1.000000 0.295302 0.795455 0.204545 0.245770 0.403409 0.596591 0.412500 0.455959 0.676923 0.632748
    -2.014 1.000000 0.297297 0.787879 0.212121 0.251124 0.409091 0.590909 0.415094 0.458333 0.679012 0.620753
    -1.959 1.000000 0.298305 0.784091 0.215909 0.253785 0.411932 0.588068 0.416404 0.459530 0.680062 0.614799
    -1.903 0.988636 0.303136 0.757576 0.242424 0.257853 0.428977 0.571023 0.422330 0.464000 0.680751 0.574050
    -1.848 0.988636 0.309609 0.734848 0.265152 0.273862 0.446023 0.553977 0.430693 0.471545 0.687204 0.540131
    -1.793 0.965909 0.305755 0.731061 0.268939 0.249570 0.443182 0.556818 0.425000 0.464481 0.674603 0.535612
    -1.738 0.965909 0.306859 0.727273 0.272727 0.252354 0.446023 0.553977 0.426421 0.465753 0.675676 0.530088
    -1.683 0.954545 0.308824 0.712121 0.287879 0.250490 0.454545 0.545455 0.428571 0.466667 0.673077 0.509183
    -1.628 0.954545 0.311111 0.704545 0.295455 0.256091 0.460227 0.539773 0.431507 0.469274 0.675241 0.498450
    -1.573 0.954545 0.315789 0.689394 0.310606 0.267207 0.471591 0.528409 0.437500 0.474576 0.679612 0.477330
    -1.517 0.954545 0.320611 0.674242 0.325758 0.278227 0.482955 0.517045 0.443662 0.480000 0.684039 0.456669
    -1.462 0.943182 0.321705 0.662879 0.337121 0.274345 0.488636 0.511364 0.444643 0.479769 0.680328 0.442637
    -1.407 0.931818 0.325397 0.643939 0.356061 0.276409 0.500000 0.500000 0.448905 0.482353 0.678808 0.419307
    -1.352 0.920455 0.326613 0.632576 0.367424 0.273219 0.505682 0.494318 0.450000 0.482143 0.675000 0.406480
    -1.297 0.909091 0.326531 0.625000 0.375000 0.267440 0.508523 0.491477 0.449438 0.480480 0.670017 0.398889
    -1.242 0.909091 0.334728 0.602273 0.397727 0.284568 0.525568 0.474432 0.459770 0.489297 0.676819 0.370997
    -1.187 0.909091 0.346320 0.571970 0.428030 0.307348 0.548295 0.451705 0.474308 0.501567 0.686106 0.335414
    -1.131 0.897727 0.349558 0.556818 0.443182 0.307923 0.556818 0.443182 0.477823 0.503185 0.683391 0.320506
    -1.076 0.875000 0.350000 0.541667 0.458333 0.298142 0.562500 0.437500 0.477273 0.500000 0.673077 0.309028
    -1.021 0.875000 0.354839 0.530303 0.469697 0.306962 0.571023 0.428977 0.483264 0.504918 0.676626 0.296846
    -0.966 0.875000 0.358140 0.522727 0.477273 0.312855 0.576705 0.423295 0.487342 0.508251 0.679012 0.288869
    -0.911 0.875000 0.364929 0.507576 0.492424 0.324684 0.588068 0.411932 0.495708 0.515050 0.683837 0.273258
    -0.856 0.852273 0.365854 0.492424 0.507576 0.315957 0.593750 0.406250 0.495595 0.511945 0.673250 0.264305
    -0.800 0.840909 0.371859 0.473485 0.526515 0.320951 0.605114 0.394886 0.502262 0.515679 0.671506 0.249498
    -0.745 0.840909 0.375635 0.465909 0.534091 0.327096 0.610795 0.389205 0.506849 0.519298 0.673953 0.242381
    -0.690 0.818182 0.395604 0.416667 0.583333 0.347925 0.642045 0.357955 0.529412 0.533333 0.674157 0.206669
    -0.635 0.806818 0.410405 0.386364 0.613636 0.364177 0.661932 0.338068 0.546154 0.544061 0.676190 0.186596
    -0.580 0.772727 0.412121 0.367424 0.632576 0.351690 0.667614 0.332386 0.545455 0.537549 0.657640 0.186653
    -0.525 0.772727 0.447368 0.318182 0.681818 0.397360 0.704545 0.295455 0.586207 0.566667 0.674603 0.152893
    -0.470 0.761364 0.471831 0.284091 0.715909 0.421266 0.727273 0.272727 0.612805 0.582609 0.678138 0.137655
    -0.414 0.738636 0.496183 0.250000 0.750000 0.437721 0.747159 0.252841 0.637255 0.593607 0.672878 0.130811
    -0.359 0.681818 0.500000 0.227273 0.772727 0.415227 0.750000 0.250000 0.633803 0.576923 0.635593 0.152893
    -0.304 0.647727 0.518182 0.200758 0.799242 0.417559 0.761364 0.238636 0.647727 0.575758 0.616883 0.164400
    -0.249 0.602273 0.546392 0.166667 0.833333 0.422164 0.775568 0.224432 0.668067 0.572973 0.590200 0.185965
    -0.194 0.545455 0.592593 0.125000 0.875000 0.432549 0.792614 0.207386 0.699029 0.568047 0.554273 0.222237
    -0.139 0.488636 0.589041 0.113636 0.886364 0.400508 0.786932 0.213068 0.678947 0.534161 0.505882 0.274406
    -0.083 0.409091 0.571429 0.102273 0.897727 0.346581 0.775568 0.224432 0.635294 0.476821 0.433735 0.359633
    -0.028 0.352273 0.620000 0.071970 0.928030 0.347682 0.784091 0.215909 0.645833 0.449275 0.385572 0.424730
     0.027 0.318182 0.622222 0.064394 0.935606 0.329108 0.781250 0.218750 0.626866 0.421053 0.352645 0.469023
     0.082 0.238636 0.600000 0.053030 0.946970 0.268579 0.769886 0.230114 0.552632 0.341463 0.271318 0.582487
     0.137 0.204545 0.620690 0.041667 0.958333 0.256512 0.769886 0.230114 0.529412 0.307692 0.236220 0.634484
     0.192 0.204545 0.642857 0.037879 0.962121 0.266711 0.772727 0.227273 0.540000 0.310345 0.236842 0.634183
     0.247 0.204545 0.666667 0.034091 0.965909 0.277350 0.775568 0.224432 0.551020 0.313043 0.237467 0.633910
     0.303 0.181818 0.666667 0.030303 0.969697 0.260290 0.772727 0.227273 0.521739 0.285714 0.212766 0.670340
