# COMMAND> Dynamut_Pucci2018revN.txt 3 4 100
# Total data entries loaded: 352
# Total Experimental Positives 264 and Negatives 88 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.750
# Total Predicted Positives 68 and Negatives 284 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.193
# Predicted data goes from -3.816001 to 1.264001 (range 5.080002) --> 100 samples taken in 0.05080002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -3.816 1.000000 0.750000 1.000000 0.000000 0.000000 0.750000 0.250000 0.947368 0.857143 0.937500 1.000000
    -3.765 0.996212 0.749288 1.000000 0.000000 -0.030817 0.747159 0.252841 0.946043 0.855285 0.934613 1.000014
    -3.714 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -3.664 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -3.613 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -3.562 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -3.511 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -3.460 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -3.410 0.992424 0.750716 0.988636 0.011364 0.017843 0.747159 0.252841 0.946988 0.854812 0.932384 0.977459
    -3.359 0.988636 0.750000 0.988636 0.011364 0.000000 0.744318 0.255682 0.945652 0.852941 0.929487 0.977531
    -3.308 0.988636 0.750000 0.988636 0.011364 0.000000 0.744318 0.255682 0.945652 0.852941 0.929487 0.977531
    -3.257 0.988636 0.750000 0.988636 0.011364 0.000000 0.744318 0.255682 0.945652 0.852941 0.929487 0.977531
    -3.206 0.988636 0.750000 0.988636 0.011364 0.000000 0.744318 0.255682 0.945652 0.852941 0.929487 0.977531
    -3.156 0.988636 0.750000 0.988636 0.011364 0.000000 0.744318 0.255682 0.945652 0.852941 0.929487 0.977531
    -3.105 0.988636 0.750000 0.988636 0.011364 0.000000 0.744318 0.255682 0.945652 0.852941 0.929487 0.977531
    -3.054 0.984848 0.749280 0.988636 0.011364 -0.013861 0.741477 0.258523 0.944310 0.851064 0.926586 0.977631
    -3.003 0.984848 0.749280 0.988636 0.011364 -0.013861 0.741477 0.258523 0.944310 0.851064 0.926586 0.977631
    -2.952 0.984848 0.749280 0.988636 0.011364 -0.013861 0.741477 0.258523 0.944310 0.851064 0.926586 0.977631
    -2.902 0.984848 0.751445 0.977273 0.022727 0.025343 0.744318 0.255682 0.946602 0.852459 0.927247 0.955292
    -2.851 0.984848 0.751445 0.977273 0.022727 0.025343 0.744318 0.255682 0.946602 0.852459 0.927247 0.955292
    -2.800 0.984848 0.751445 0.977273 0.022727 0.025343 0.744318 0.255682 0.946602 0.852459 0.927247 0.955292
    -2.749 0.984848 0.751445 0.977273 0.022727 0.025343 0.744318 0.255682 0.946602 0.852459 0.927247 0.955292
    -2.698 0.984848 0.753623 0.965909 0.034091 0.058742 0.747159 0.252841 0.948905 0.853859 0.927909 0.933210
    -2.648 0.984848 0.753623 0.965909 0.034091 0.058742 0.747159 0.252841 0.948905 0.853859 0.927909 0.933210
    -2.597 0.984848 0.753623 0.965909 0.034091 0.058742 0.747159 0.252841 0.948905 0.853859 0.927909 0.933210
    -2.546 0.981061 0.755102 0.954545 0.045455 0.072739 0.747159 0.252841 0.949878 0.853377 0.925661 0.911516
    -2.495 0.977273 0.754386 0.954545 0.045455 0.059235 0.744318 0.255682 0.948529 0.851485 0.922747 0.911674
    -2.444 0.977273 0.756598 0.943182 0.056818 0.084842 0.747159 0.252841 0.950860 0.852893 0.923407 0.890108
