# COMMAND> Evo_Pucci2018dirN.txt 3 4 100
# Total data entries loaded: 352
# Total Experimental Positives 88 and Negatives 264 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.250
# Total Predicted Positives 120 and Negatives 232 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.341
# Predicted data goes from -6.340001 to 2.300001 (range 8.640002) --> 100 samples taken in 0.08640002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -6.340 1.000000 0.250000 1.000000 0.000000 0.000000 0.250000 0.750000 0.352941 0.400000 0.625000 1.000000
    -6.254 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -6.167 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -6.081 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -5.994 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -5.908 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -5.822 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -5.735 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -5.649 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -5.562 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -5.476 1.000000 0.251429 0.992424 0.007576 0.043644 0.255682 0.744318 0.354839 0.401826 0.626781 0.984906
    -5.390 1.000000 0.251429 0.992424 0.007576 0.043644 0.255682 0.744318 0.354839 0.401826 0.626781 0.984906
    -5.303 1.000000 0.251429 0.992424 0.007576 0.043644 0.255682 0.744318 0.354839 0.401826 0.626781 0.984906
    -5.217 1.000000 0.251429 0.992424 0.007576 0.043644 0.255682 0.744318 0.354839 0.401826 0.626781 0.984906
    -5.130 1.000000 0.251429 0.992424 0.007576 0.043644 0.255682 0.744318 0.354839 0.401826 0.626781 0.984906
    -5.044 1.000000 0.251429 0.992424 0.007576 0.043644 0.255682 0.744318 0.354839 0.401826 0.626781 0.984906
    -4.958 1.000000 0.251429 0.992424 0.007576 0.043644 0.255682 0.744318 0.354839 0.401826 0.626781 0.984906
    -4.871 1.000000 0.251429 0.992424 0.007576 0.043644 0.255682 0.744318 0.354839 0.401826 0.626781 0.984906
    -4.785 1.000000 0.251429 0.992424 0.007576 0.043644 0.255682 0.744318 0.354839 0.401826 0.626781 0.984906
    -4.698 1.000000 0.251429 0.992424 0.007576 0.043644 0.255682 0.744318 0.354839 0.401826 0.626781 0.984906
    -4.612 1.000000 0.251429 0.992424 0.007576 0.043644 0.255682 0.744318 0.354839 0.401826 0.626781 0.984906
    -4.526 1.000000 0.251429 0.992424 0.007576 0.043644 0.255682 0.744318 0.354839 0.401826 0.626781 0.984906
    -4.439 1.000000 0.252149 0.988636 0.011364 0.053529 0.258523 0.741477 0.355795 0.402746 0.627675 0.977402
    -4.353 1.000000 0.252149 0.988636 0.011364 0.053529 0.258523 0.741477 0.355795 0.402746 0.627675 0.977402
    -4.266 1.000000 0.252149 0.988636 0.011364 0.053529 0.258523 0.741477 0.355795 0.402746 0.627675 0.977402
    -4.180 1.000000 0.252149 0.988636 0.011364 0.053529 0.258523 0.741477 0.355795 0.402746 0.627675 0.977402
    -4.094 1.000000 0.252149 0.988636 0.011364 0.053529 0.258523 0.741477 0.355795 0.402746 0.627675 0.977402
    -4.007 1.000000 0.252874 0.984848 0.015152 0.061898 0.261364 0.738636 0.356757 0.403670 0.628571 0.969927
    -3.921 1.000000 0.252874 0.984848 0.015152 0.061898 0.261364 0.738636 0.356757 0.403670 0.628571 0.969927
    -3.834 1.000000 0.252874 0.984848 0.015152 0.061898 0.261364 0.738636 0.356757 0.403670 0.628571 0.969927
    -3.748 1.000000 0.253602 0.981061 0.018939 0.069304 0.264205 0.735795 0.357724 0.404598 0.629471 0.962480
    -3.662 1.000000 0.253602 0.981061 0.018939 0.069304 0.264205 0.735795 0.357724 0.404598 0.629471 0.962480
    -3.575 1.000000 0.253602 0.981061 0.018939 0.069304 0.264205 0.735795 0.357724 0.404598 0.629471 0.962480
    -3.489 1.000000 0.254335 0.977273 0.022727 0.076029 0.267045 0.732955 0.358696 0.405530 0.630372 0.955062
    -3.402 1.000000 0.254335 0.977273 0.022727 0.076029 0.267045 0.732955 0.358696 0.405530 0.630372 0.955062
    -3.316 1.000000 0.255072 0.973485 0.026515 0.082239 0.269886 0.730114 0.359673 0.406467 0.631277 0.947673
    -3.230 1.000000 0.255072 0.973485 0.026515 0.082239 0.269886 0.730114 0.359673 0.406467 0.631277 0.947673
    -3.143 1.000000 0.256560 0.965909 0.034091 0.093522 0.275568 0.724432 0.361644 0.408353 0.633094 0.932980
    -3.057 1.000000 0.259587 0.950758 0.049242 0.113061 0.286932 0.713068 0.365651 0.412178 0.636758 0.903940
    -2.970 1.000000 0.261128 0.943182 0.056818 0.121806 0.292614 0.707386 0.367688 0.414118 0.638607 0.889592
    -2.884 1.000000 0.264264 0.928030 0.071970 0.137909 0.303977 0.696023 0.371831 0.418052 0.642336 0.861240
    -2.798 1.000000 0.265861 0.920455 0.079545 0.145424 0.309659 0.690341 0.373938 0.420048 0.644217 0.847237
    -2.711 1.000000 0.267477 0.912879 0.087121 0.152653 0.315341 0.684659 0.376068 0.422062 0.646109 0.833348
    -2.625 1.000000 0.268293 0.909091 0.090909 0.156174 0.318182 0.681818 0.377143 0.423077 0.647059 0.826446
    -2.538 1.000000 0.269939 0.901515 0.098485 0.163049 0.323864 0.676136 0.379310 0.425121 0.648968 0.812730
    -2.452 1.000000 0.271605 0.893939 0.106061 0.169725 0.329545 0.670455 0.381503 0.427184 0.650888 0.799128
    -2.366 1.000000 0.274143 0.882576 0.117424 0.179419 0.338068 0.661932 0.384840 0.430318 0.653789 0.778940
    -2.279 1.000000 0.278481 0.863636 0.136364 0.194871 0.352273 0.647727 0.390533 0.435644 0.658683 0.745868
    -2.193 1.000000 0.283871 0.840909 0.159091 0.212512 0.369318 0.630682 0.397590 0.442211 0.664653 0.707128
    -2.106 1.000000 0.287582 0.825758 0.174242 0.223850 0.380682 0.619318 0.402439 0.446701 0.668693 0.681876
    -2.020 1.000000 0.289474 0.818182 0.181818 0.229416 0.386364 0.613636 0.404908 0.448980 0.670732 0.669421
    -1.934 1.000000 0.294314 0.799242 0.200758 0.243076 0.400568 0.599432 0.411215 0.454780 0.675883 0.638788
    -1.847 1.000000 0.298305 0.784091 0.215909 0.253785 0.411932 0.588068 0.416404 0.459530 0.680062 0.614799
    -1.761 1.000000 0.299320 0.780303 0.219697 0.256436 0.414773 0.585227 0.417722 0.460733 0.681115 0.608873
    -1.674 0.988636 0.300000 0.768939 0.231061 0.249731 0.420455 0.579545 0.418269 0.460317 0.677570 0.591397
    -1.588 0.988636 0.306338 0.746212 0.253788 0.265892 0.437500 0.562500 0.426471 0.467742 0.683962 0.556962
    -1.502 0.988636 0.309609 0.734848 0.265152 0.273862 0.446023 0.553977 0.430693 0.471545 0.687204 0.540131
    -1.415 0.977273 0.316176 0.704545 0.295455 0.281801 0.465909 0.534091 0.438776 0.477778 0.689103 0.496901
    -1.329 0.954545 0.311111 0.704545 0.295455 0.256091 0.460227 0.539773 0.431507 0.469274 0.675241 0.498450
    -1.242 0.954545 0.313433 0.696970 0.303030 0.261662 0.465909 0.534091 0.434483 0.471910 0.677419 0.487833
    -1.156 0.954545 0.325581 0.659091 0.340909 0.289175 0.494318 0.505682 0.450000 0.485549 0.688525 0.436467
    -1.070 0.943182 0.332000 0.632576 0.367424 0.296472 0.511364 0.488636 0.457721 0.491124 0.689369 0.403380
    -0.983 0.931818 0.340249 0.602273 0.397727 0.307106 0.531250 0.468750 0.467681 0.498480 0.691400 0.367381
    -0.897 0.897727 0.340517 0.579545 0.420455 0.290659 0.539773 0.460227 0.466535 0.493750 0.676370 0.346333
    -0.810 0.875000 0.340708 0.564394 0.435606 0.280552 0.545455 0.454545 0.465726 0.490446 0.666090 0.334166
    -0.724 0.852273 0.353774 0.518939 0.481061 0.294910 0.573864 0.426136 0.480769 0.500000 0.664894 0.291121
    -0.638 0.829545 0.363184 0.484848 0.515152 0.301574 0.593750 0.406250 0.491031 0.505190 0.660036 0.264133
    -0.551 0.818182 0.376963 0.450758 0.549242 0.319361 0.616477 0.383523 0.507042 0.516129 0.662983 0.236240
    -0.465 0.784091 0.379121 0.428030 0.571970 0.308537 0.625000 0.375000 0.507353 0.511111 0.646067 0.229827
    -0.378 0.761364 0.389535 0.397727 0.602273 0.315000 0.642045 0.357955 0.518041 0.515385 0.639313 0.215134
    -0.292 0.681818 0.384615 0.363636 0.636364 0.277350 0.647727 0.352273 0.505618 0.491803 0.590551 0.233471
    -0.206 0.670455 0.404110 0.329545 0.670455 0.299621 0.670455 0.329545 0.526786 0.504274 0.592369 0.217200
    -0.119 0.659091 0.442748 0.276515 0.723485 0.342712 0.707386 0.292614 0.568627 0.529680 0.600414 0.192680
    -0.033 0.636364 0.440945 0.268939 0.731061 0.331297 0.707386 0.292614 0.563758 0.520930 0.584551 0.204560
     0.054 0.579545 0.463636 0.223485 0.776515 0.332631 0.727273 0.272727 0.579545 0.515152 0.551948 0.226728
