# COMMAND> Evo_Pucci2018revN.txt 3 4 100
# Total data entries loaded: 352
# Total Experimental Positives 264 and Negatives 88 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.750
# Total Predicted Positives 197 and Negatives 155 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.560
# Predicted data goes from -3.720001 to 3.250001 (range 6.970002) --> 100 samples taken in 0.06970002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -3.720 1.000000 0.750000 1.000000 0.000000 0.000000 0.750000 0.250000 0.947368 0.857143 0.937500 1.000000
    -3.650 1.000000 0.752137 0.988636 0.011364 0.092450 0.752841 0.247159 0.949640 0.858537 0.938166 0.977402
    -3.581 1.000000 0.752137 0.988636 0.011364 0.092450 0.752841 0.247159 0.949640 0.858537 0.938166 0.977402
    -3.511 1.000000 0.752137 0.988636 0.011364 0.092450 0.752841 0.247159 0.949640 0.858537 0.938166 0.977402
    -3.441 1.000000 0.752137 0.988636 0.011364 0.092450 0.752841 0.247159 0.949640 0.858537 0.938166 0.977402
    -3.372 1.000000 0.752137 0.988636 0.011364 0.092450 0.752841 0.247159 0.949640 0.858537 0.938166 0.977402
    -3.302 1.000000 0.752137 0.988636 0.011364 0.092450 0.752841 0.247159 0.949640 0.858537 0.938166 0.977402
    -3.232 1.000000 0.752137 0.988636 0.011364 0.092450 0.752841 0.247159 0.949640 0.858537 0.938166 0.977402
    -3.162 1.000000 0.752137 0.988636 0.011364 0.092450 0.752841 0.247159 0.949640 0.858537 0.938166 0.977402
    -3.093 1.000000 0.752137 0.988636 0.011364 0.092450 0.752841 0.247159 0.949640 0.858537 0.938166 0.977402
    -3.023 1.000000 0.752137 0.988636 0.011364 0.092450 0.752841 0.247159 0.949640 0.858537 0.938166 0.977402
    -2.953 1.000000 0.752137 0.988636 0.011364 0.092450 0.752841 0.247159 0.949640 0.858537 0.938166 0.977402
    -2.884 1.000000 0.752137 0.988636 0.011364 0.092450 0.752841 0.247159 0.949640 0.858537 0.938166 0.977402
    -2.814 1.000000 0.752137 0.988636 0.011364 0.092450 0.752841 0.247159 0.949640 0.858537 0.938166 0.977402
    -2.744 1.000000 0.752137 0.988636 0.011364 0.092450 0.752841 0.247159 0.949640 0.858537 0.938166 0.977402
    -2.675 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -2.605 0.992424 0.750716 0.988636 0.011364 0.017843 0.747159 0.252841 0.946988 0.854812 0.932384 0.977459
    -2.535 0.992424 0.750716 0.988636 0.011364 0.017843 0.747159 0.252841 0.946988 0.854812 0.932384 0.977459
    -2.465 0.992424 0.755043 0.965909 0.034091 0.097026 0.752841 0.247159 0.951574 0.857610 0.933713 0.933038
    -2.396 0.992424 0.755043 0.965909 0.034091 0.097026 0.752841 0.247159 0.951574 0.857610 0.933713 0.933038
    -2.326 0.992424 0.755043 0.965909 0.034091 0.097026 0.752841 0.247159 0.951574 0.857610 0.933713 0.933038
    -2.256 0.992424 0.755043 0.965909 0.034091 0.097026 0.752841 0.247159 0.951574 0.857610 0.933713 0.933038
    -2.187 0.992424 0.757225 0.954545 0.045455 0.126714 0.755682 0.244318 0.953883 0.859016 0.934379 0.911214
    -2.117 0.992424 0.757225 0.954545 0.045455 0.126714 0.755682 0.244318 0.953883 0.859016 0.934379 0.911214
    -2.047 0.992424 0.757225 0.954545 0.045455 0.126714 0.755682 0.244318 0.953883 0.859016 0.934379 0.911214
    -1.978 0.992424 0.757225 0.954545 0.045455 0.126714 0.755682 0.244318 0.953883 0.859016 0.934379 0.911214
    -1.908 0.988636 0.756522 0.954545 0.045455 0.105736 0.752841 0.247159 0.952555 0.857143 0.931478 0.911286
    -1.838 0.969697 0.752941 0.954545 0.045455 0.036155 0.738636 0.261364 0.945813 0.847682 0.916905 0.912075
    -1.768 0.965909 0.752212 0.954545 0.045455 0.026091 0.735795 0.264205 0.944444 0.845771 0.913978 0.912319
    -1.699 0.965909 0.754438 0.943182 0.056818 0.050358 0.738636 0.261364 0.946782 0.847176 0.914634 0.890754
    -1.629 0.946970 0.750751 0.943182 0.056818 0.007258 0.724432 0.275568 0.939850 0.837521 0.899928 0.892404
    -1.559 0.946970 0.753012 0.931818 0.068182 0.028341 0.727273 0.272727 0.942211 0.838926 0.900576 0.871097
    -1.490 0.943182 0.754545 0.920455 0.079545 0.040656 0.727273 0.272727 0.943182 0.838384 0.898268 0.850465
    -1.420 0.943182 0.756839 0.909091 0.090909 0.059734 0.730114 0.269886 0.945570 0.839798 0.898917 0.829675
    -1.350 0.943182 0.756839 0.909091 0.090909 0.059734 0.730114 0.269886 0.945570 0.839798 0.898917 0.829675
    -1.281 0.943182 0.759146 0.897727 0.102273 0.078087 0.732955 0.267045 0.947970 0.841216 0.899566 0.809143
    -1.211 0.931818 0.761610 0.875000 0.125000 0.089481 0.730114 0.269886 0.948586 0.838160 0.891951 0.770274
    -1.141 0.924242 0.760125 0.875000 0.125000 0.075240 0.724432 0.275568 0.945736 0.834188 0.885984 0.771364
    -1.071 0.916667 0.761006 0.863636 0.136364 0.077735 0.721591 0.278409 0.945312 0.831615 0.880640 0.752812
