# COMMAND> FoldX_Pucci2018N_th8.txt 3 4 100
# Total data entries loaded: 704
# Total Experimental Positives 352 and Negatives 352 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.500
# Total Predicted Positives 256 and Negatives 448 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.364
# Predicted data goes from -8.000001 to 5.630001 (range 13.630002) --> 100 samples taken in 0.13630002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -8.000 1.000000 0.500000 1.000000 0.000000 0.000000 0.500000 0.500000 0.666667 0.666667 0.833333 1.000000
    -7.864 1.000000 0.500711 0.997159 0.002841 0.037716 0.501420 0.498580 0.667509 0.667299 0.833728 0.994326
    -7.727 0.997159 0.500000 0.997159 0.002841 0.000000 0.500000 0.500000 0.666456 0.666034 0.831754 0.994334
    -7.591 0.997159 0.500000 0.997159 0.002841 0.000000 0.500000 0.500000 0.666456 0.666034 0.831754 0.994334
    -7.455 0.997159 0.500000 0.997159 0.002841 0.000000 0.500000 0.500000 0.666456 0.666034 0.831754 0.994334
    -7.319 0.997159 0.500713 0.994318 0.005682 0.021806 0.501420 0.498580 0.667300 0.666667 0.832148 0.988677
    -7.182 0.997159 0.500713 0.994318 0.005682 0.021806 0.501420 0.498580 0.667300 0.666667 0.832148 0.988677
    -7.046 0.997159 0.500713 0.994318 0.005682 0.021806 0.501420 0.498580 0.667300 0.666667 0.832148 0.988677
    -6.910 0.997159 0.500713 0.994318 0.005682 0.021806 0.501420 0.498580 0.667300 0.666667 0.832148 0.988677
    -6.773 0.997159 0.500713 0.994318 0.005682 0.021806 0.501420 0.498580 0.667300 0.666667 0.832148 0.988677
    -6.637 0.997159 0.500713 0.994318 0.005682 0.021806 0.501420 0.498580 0.667300 0.666667 0.832148 0.988677
    -6.501 0.997159 0.500713 0.994318 0.005682 0.021806 0.501420 0.498580 0.667300 0.666667 0.832148 0.988677
    -6.364 0.997159 0.500713 0.994318 0.005682 0.021806 0.501420 0.498580 0.667300 0.666667 0.832148 0.988677
    -6.228 0.997159 0.501429 0.991477 0.008523 0.037796 0.502841 0.497159 0.668147 0.667300 0.832543 0.983035
    -6.092 0.997159 0.501429 0.991477 0.008523 0.037796 0.502841 0.497159 0.668147 0.667300 0.832543 0.983035
    -5.956 0.997159 0.501429 0.991477 0.008523 0.037796 0.502841 0.497159 0.668147 0.667300 0.832543 0.983035
    -5.819 0.997159 0.501429 0.991477 0.008523 0.037796 0.502841 0.497159 0.668147 0.667300 0.832543 0.983035
    -5.683 0.997159 0.501429 0.991477 0.008523 0.037796 0.502841 0.497159 0.668147 0.667300 0.832543 0.983035
    -5.547 0.997159 0.501429 0.991477 0.008523 0.037796 0.502841 0.497159 0.668147 0.667300 0.832543 0.983035
    -5.410 0.997159 0.502146 0.988636 0.011364 0.050746 0.504261 0.495739 0.668996 0.667935 0.832938 0.977410
    -5.274 0.997159 0.502146 0.988636 0.011364 0.050746 0.504261 0.495739 0.668996 0.667935 0.832938 0.977410
    -5.138 0.997159 0.502865 0.985795 0.014205 0.061810 0.505682 0.494318 0.669847 0.668571 0.833333 0.971801
    -5.001 0.997159 0.502865 0.985795 0.014205 0.061810 0.505682 0.494318 0.669847 0.668571 0.833333 0.971801
    -4.865 0.994318 0.502152 0.985795 0.014205 0.042949 0.504261 0.495739 0.668790 0.667302 0.831354 0.971825
    -4.729 0.994318 0.502152 0.985795 0.014205 0.042949 0.504261 0.495739 0.668790 0.667302 0.831354 0.971825
    -4.593 0.994318 0.502152 0.985795 0.014205 0.042949 0.504261 0.495739 0.668790 0.667302 0.831354 0.971825
    -4.456 0.994318 0.503597 0.980114 0.019886 0.063220 0.507102 0.492898 0.670498 0.668577 0.832145 0.960655
    -4.320 0.994318 0.503597 0.980114 0.019886 0.063220 0.507102 0.492898 0.670498 0.668577 0.832145 0.960655
    -4.184 0.994318 0.504323 0.977273 0.022727 0.072023 0.508523 0.491477 0.671355 0.669216 0.832540 0.955094
    -4.047 0.994318 0.504323 0.977273 0.022727 0.072023 0.508523 0.491477 0.671355 0.669216 0.832540 0.955094
    -3.911 0.994318 0.505051 0.974432 0.025568 0.080174 0.509943 0.490057 0.672215 0.669856 0.832937 0.949550
    -3.775 0.991477 0.504335 0.974432 0.025568 0.065843 0.508523 0.491477 0.671154 0.668582 0.830952 0.949590
    -3.638 0.985795 0.504360 0.968750 0.031250 0.057187 0.508523 0.491477 0.670747 0.667308 0.827767 0.938678
    -3.502 0.982955 0.505109 0.963068 0.036932 0.061359 0.509943 0.490057 0.671410 0.667310 0.826565 0.927791
    -3.366 0.980114 0.505124 0.960227 0.039773 0.058449 0.509943 0.490057 0.671206 0.666667 0.824964 0.922432
    -3.230 0.980114 0.509601 0.943182 0.056818 0.096154 0.518466 0.481534 0.676471 0.670554 0.827338 0.889987
    -3.093 0.980114 0.511111 0.937500 0.062500 0.107211 0.521307 0.478693 0.678244 0.671860 0.828133 0.879302
    -2.957 0.980114 0.512630 0.931818 0.068182 0.117696 0.524148 0.475852 0.680026 0.673171 0.828928 0.868681
    -2.821 0.971591 0.511211 0.928977 0.071023 0.098027 0.521307 0.478693 0.677675 0.669931 0.823303 0.863806
    -2.684 0.965909 0.512821 0.917614 0.082386 0.103110 0.524148 0.475852 0.679095 0.669951 0.820859 0.843177
    -2.548 0.963068 0.513636 0.911932 0.088068 0.105627 0.525568 0.474432 0.679813 0.669960 0.819632 0.832984
    -2.412 0.954545 0.512977 0.906250 0.093750 0.094892 0.524148 0.475852 0.678331 0.667329 0.814348 0.823355
    -2.275 0.934659 0.512461 0.889205 0.110795 0.080197 0.522727 0.477273 0.676027 0.661972 0.802439 0.794954
    -2.139 0.923295 0.512618 0.877841 0.122159 0.075950 0.522727 0.477273 0.675208 0.659229 0.795788 0.776488
    -2.003 0.917614 0.515152 0.863636 0.136364 0.086472 0.526989 0.473011 0.677622 0.659857 0.793612 0.752655
    -1.867 0.914773 0.519355 0.846591 0.153409 0.105166 0.534091 0.465909 0.682203 0.662551 0.793886 0.723980
    -1.730 0.914773 0.523577 0.832386 0.167614 0.123955 0.541193 0.458807 0.687055 0.665977 0.795848 0.700131
    -1.594 0.903409 0.523026 0.823864 0.176136 0.115897 0.539773 0.460227 0.685345 0.662500 0.788690 0.688081
    -1.458 0.894886 0.526756 0.803977 0.196023 0.127100 0.545455 0.454545 0.688776 0.663158 0.785145 0.657428
    -1.321 0.886364 0.532423 0.778409 0.221591 0.144509 0.553977 0.446023 0.694362 0.665245 0.782347 0.618834
    -1.185 0.860795 0.528796 0.767045 0.232955 0.120448 0.546875 0.453125 0.687595 0.655135 0.764765 0.607737
    -1.049 0.857955 0.540250 0.730114 0.269886 0.158060 0.563920 0.436080 0.700155 0.663008 0.767666 0.553243
    -0.912 0.835227 0.551595 0.678977 0.321023 0.182180 0.578125 0.421875 0.710145 0.664407 0.757342 0.488160
    -0.776 0.803977 0.560396 0.630682 0.369318 0.192423 0.586648 0.413352 0.715852 0.660443 0.739676 0.436184
    -0.640 0.772727 0.563147 0.599432 0.400568 0.186707 0.586648 0.413352 0.714536 0.651497 0.719196 0.410971
    -0.503 0.718750 0.569820 0.542614 0.457386 0.182479 0.588068 0.411932 0.713346 0.635678 0.683045 0.373531
