# COMMAND> FoldX_Pucci2018dirN_th8.txt 3 4 100
# Total data entries loaded: 352
# Total Experimental Positives 88 and Negatives 264 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.250
# Total Predicted Positives 110 and Negatives 242 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.312
# Predicted data goes from -7.430001 to 2.530001 (range 9.960002) --> 100 samples taken in 0.09960002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -7.430 1.000000 0.250000 1.000000 0.000000 0.000000 0.250000 0.750000 0.352941 0.400000 0.625000 1.000000
    -7.330 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -7.231 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -7.131 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -7.032 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -6.932 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -6.832 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -6.733 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -6.633 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -6.534 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -6.434 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -6.334 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -6.235 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -6.135 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -6.036 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -5.936 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -5.836 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
    -5.737 1.000000 0.250712 0.996212 0.003788 0.030817 0.252841 0.747159 0.353887 0.400911 0.625889 0.992439
