# COMMAND> FoldX_Pucci2018revN_th8.txt 3 4 100
# Total data entries loaded: 352
# Total Experimental Positives 264 and Negatives 88 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.750
# Total Predicted Positives 146 and Negatives 206 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.415
# Predicted data goes from -8.000001 to 5.630001 (range 13.630002) --> 100 samples taken in 0.13630002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -8.000 1.000000 0.750000 1.000000 0.000000 0.000000 0.750000 0.250000 0.947368 0.857143 0.937500 1.000000
    -7.864 1.000000 0.752137 0.988636 0.011364 0.092450 0.752841 0.247159 0.949640 0.858537 0.938166 0.977402
    -7.727 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -7.591 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -7.455 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -7.319 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -7.182 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -7.046 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -6.910 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -6.773 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -6.637 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -6.501 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -6.364 0.996212 0.751429 0.988636 0.011364 0.043644 0.750000 0.250000 0.948317 0.856678 0.935277 0.977416
    -6.228 0.996212 0.753582 0.977273 0.022727 0.089215 0.752841 0.247159 0.950602 0.858075 0.935943 0.955076
    -6.092 0.996212 0.753582 0.977273 0.022727 0.089215 0.752841 0.247159 0.950602 0.858075 0.935943 0.955076
    -5.956 0.996212 0.753582 0.977273 0.022727 0.089215 0.752841 0.247159 0.950602 0.858075 0.935943 0.955076
    -5.819 0.996212 0.753582 0.977273 0.022727 0.089215 0.752841 0.247159 0.950602 0.858075 0.935943 0.955076
    -5.683 0.996212 0.753582 0.977273 0.022727 0.089215 0.752841 0.247159 0.950602 0.858075 0.935943 0.955076
    -5.547 0.996212 0.753582 0.977273 0.022727 0.089215 0.752841 0.247159 0.950602 0.858075 0.935943 0.955076
    -5.410 0.996212 0.755747 0.965909 0.034091 0.123797 0.755682 0.244318 0.952899 0.859477 0.936610 0.932995
    -5.274 0.996212 0.755747 0.965909 0.034091 0.123797 0.755682 0.244318 0.952899 0.859477 0.936610 0.932995
    -5.138 0.996212 0.757925 0.954545 0.045455 0.152469 0.758523 0.241477 0.955206 0.860884 0.937277 0.911171
    -5.001 0.996212 0.757925 0.954545 0.045455 0.152469 0.758523 0.241477 0.955206 0.860884 0.937277 0.911171
    -4.865 0.992424 0.757225 0.954545 0.045455 0.126714 0.755682 0.244318 0.953883 0.859016 0.934379 0.911214
    -4.729 0.992424 0.757225 0.954545 0.045455 0.126714 0.755682 0.244318 0.953883 0.859016 0.934379 0.911214
    -4.593 0.992424 0.757225 0.954545 0.045455 0.126714 0.755682 0.244318 0.953883 0.859016 0.934379 0.911214
