# COMMAND> KORPM_Pucci2018N.txt 10 11 100
# Total data entries loaded: 684
# Total Experimental Positives 342 and Negatives 342 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.500
# Total Predicted Positives 336 and Negatives 348 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.491
# Predicted data goes from -3.64587 to 3.459776 (range 7.105646) --> 100 samples taken in 0.07105646 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -3.646 1.000000 0.500000 1.000000 0.000000 0.000000 0.500000 0.500000 0.666667 0.666667 0.833333 1.000000
    -3.575 1.000000 0.500732 0.997076 0.002924 0.038264 0.501462 0.498538 0.667534 0.667317 0.833740 0.994161
    -3.504 1.000000 0.500732 0.997076 0.002924 0.038264 0.501462 0.498538 0.667534 0.667317 0.833740 0.994161
    -3.433 1.000000 0.501466 0.994152 0.005848 0.054153 0.502924 0.497076 0.668404 0.667969 0.834146 0.988338
    -3.362 1.000000 0.502203 0.991228 0.008772 0.066372 0.504386 0.495614 0.669276 0.668622 0.834553 0.982533
    -3.291 1.000000 0.502941 0.988304 0.011696 0.076696 0.505848 0.494152 0.670150 0.669276 0.834961 0.976745
    -3.220 1.000000 0.503682 0.985380 0.014620 0.085812 0.507310 0.492690 0.671027 0.669931 0.835369 0.970974
    -3.148 1.000000 0.504425 0.982456 0.017544 0.094072 0.508772 0.491228 0.671906 0.670588 0.835777 0.965220
    -3.077 1.000000 0.504425 0.982456 0.017544 0.094072 0.508772 0.491228 0.671906 0.670588 0.835777 0.965220
    -3.006 1.000000 0.504425 0.982456 0.017544 0.094072 0.508772 0.491228 0.671906 0.670588 0.835777 0.965220
    -2.935 1.000000 0.505170 0.979532 0.020468 0.101684 0.510234 0.489766 0.672787 0.671246 0.836186 0.959483
    -2.864 1.000000 0.505170 0.979532 0.020468 0.101684 0.510234 0.489766 0.672787 0.671246 0.836186 0.959483
    -2.793 1.000000 0.505917 0.976608 0.023392 0.108786 0.511696 0.488304 0.673670 0.671906 0.836595 0.953764
    -2.722 1.000000 0.507418 0.970760 0.029240 0.121806 0.514620 0.485380 0.675444 0.673228 0.837414 0.942375
    -2.651 1.000000 0.507418 0.970760 0.029240 0.121806 0.514620 0.485380 0.675444 0.673228 0.837414 0.942375
    -2.580 1.000000 0.508929 0.964912 0.035088 0.133631 0.517544 0.482456 0.677228 0.674556 0.838235 0.931056
    -2.509 1.000000 0.510448 0.959064 0.040936 0.144553 0.520468 0.479532 0.679021 0.675889 0.839058 0.919804
    -2.438 1.000000 0.512744 0.950292 0.049708 0.159647 0.524854 0.475146 0.681728 0.677899 0.840295 0.903056
    -2.367 1.000000 0.514286 0.944444 0.055556 0.169031 0.527778 0.472222 0.683544 0.679245 0.841121 0.891975
    -2.296 1.000000 0.515837 0.938596 0.061404 0.177972 0.530702 0.469298 0.685371 0.680597 0.841950 0.880963
    -2.225 1.000000 0.518968 0.926901 0.073099 0.194772 0.536550 0.463450 0.689053 0.683317 0.843611 0.859145
    -2.154 1.000000 0.518968 0.926901 0.073099 0.194772 0.536550 0.463450 0.689053 0.683317 0.843611 0.859145
    -2.083 1.000000 0.520548 0.921053 0.078947 0.202721 0.539474 0.460526 0.690909 0.684685 0.844444 0.848338
    -2.012 0.997076 0.521407 0.915205 0.084795 0.199898 0.540936 0.459064 0.691684 0.684739 0.843225 0.837608
    -1.941 0.997076 0.527864 0.891813 0.108187 0.229771 0.552632 0.447368 0.699248 0.690283 0.846574 0.795339
    -1.869 0.997076 0.534483 0.868421 0.131579 0.256840 0.564327 0.435673 0.706980 0.695918 0.849950 0.754164
    -1.798 0.997076 0.537008 0.859649 0.140351 0.266448 0.568713 0.431287 0.709924 0.698055 0.851223 0.739005
    -1.727 0.994152 0.540541 0.845029 0.154971 0.274198 0.574561 0.425439 0.713786 0.700309 0.851277 0.714109
    -1.656 0.994152 0.544872 0.830409 0.169591 0.289414 0.581871 0.418129 0.718816 0.703934 0.853414 0.689614
    -1.585 0.994152 0.548387 0.818713 0.181287 0.301207 0.587719 0.412281 0.722892 0.706861 0.855131 0.670326
    -1.514 0.994152 0.554649 0.798246 0.201754 0.321156 0.597953 0.402047 0.730136 0.712042 0.858152 0.637230
    -1.443 0.991228 0.559406 0.780702 0.219298 0.331168 0.605263 0.394737 0.735358 0.715190 0.858663 0.609572
    -1.372 0.991228 0.565000 0.763158 0.236842 0.347440 0.614035 0.385965 0.741794 0.719745 0.861280 0.582487
    -1.301 0.991228 0.568792 0.751462 0.248538 0.358055 0.619883 0.380117 0.746148 0.722814 0.863035 0.564772
    -1.230 0.991228 0.573604 0.736842 0.263158 0.371094 0.627193 0.372807 0.751663 0.726688 0.865237 0.543013
    -1.159 0.985380 0.578045 0.719298 0.280702 0.375013 0.633041 0.366959 0.756171 0.728649 0.863660 0.517604
