# COMMAND> KORPM_Pucci2018dirN.txt 10 11 100
# Total data entries loaded: 342
# Total Experimental Positives 89 and Negatives 253 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.260
# Total Predicted Positives 60 and Negatives 282 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.175
# Predicted data goes from -3.64587 to 1.614701 (range 5.260571) --> 100 samples taken in 0.05260571 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -3.646 1.000000 0.260234 1.000000 0.000000 0.000000 0.260234 0.739766 0.366507 0.412993 0.637536 1.000000
    -3.593 1.000000 0.260997 0.996047 0.003953 0.032119 0.263158 0.736842 0.367515 0.413953 0.638451 0.992110
    -3.541 1.000000 0.260997 0.996047 0.003953 0.032119 0.263158 0.736842 0.367515 0.413953 0.638451 0.992110
    -3.488 1.000000 0.260997 0.996047 0.003953 0.032119 0.263158 0.736842 0.367515 0.413953 0.638451 0.992110
    -3.435 1.000000 0.261765 0.992095 0.007905 0.045489 0.266082 0.733918 0.368530 0.414918 0.639368 0.984252
    -3.383 1.000000 0.261765 0.992095 0.007905 0.045489 0.266082 0.733918 0.368530 0.414918 0.639368 0.984252
    -3.330 1.000000 0.262537 0.988142 0.011858 0.055795 0.269006 0.730994 0.369550 0.415888 0.640288 0.976425
    -3.278 1.000000 0.263314 0.984190 0.015810 0.064522 0.271930 0.728070 0.370576 0.416862 0.641210 0.968629
    -3.225 1.000000 0.264095 0.980237 0.019763 0.072245 0.274854 0.725146 0.371608 0.417840 0.642136 0.960865
    -3.172 1.000000 0.264881 0.976285 0.023715 0.079258 0.277778 0.722222 0.372645 0.418824 0.643064 0.953132
    -3.120 1.000000 0.264881 0.976285 0.023715 0.079258 0.277778 0.722222 0.372645 0.418824 0.643064 0.953132
    -3.067 1.000000 0.264881 0.976285 0.023715 0.079258 0.277778 0.722222 0.372645 0.418824 0.643064 0.953132
