# COMMAND> KORPM_Pucci2018dirN.txt 10 11 100
# Total data entries loaded: 342
# Total Experimental Positives 89 and Negatives 253 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.260
# Total Predicted Positives 57 and Negatives 285 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.167
# Predicted data goes from -4.56381 to 2.103807 (range 6.667617) --> 100 samples taken in 0.06667617 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -4.564 1.000000 0.260234 1.000000 0.000000 0.000000 0.260234 0.739766 0.366507 0.412993 0.637536 1.000000
    -4.497 1.000000 0.260997 0.996047 0.003953 0.032119 0.263158 0.736842 0.367515 0.413953 0.638451 0.992110
    -4.430 1.000000 0.261765 0.992095 0.007905 0.045489 0.266082 0.733918 0.368530 0.414918 0.639368 0.984252
    -4.364 1.000000 0.261765 0.992095 0.007905 0.045489 0.266082 0.733918 0.368530 0.414918 0.639368 0.984252
    -4.297 1.000000 0.262537 0.988142 0.011858 0.055795 0.269006 0.730994 0.369550 0.415888 0.640288 0.976425
    -4.230 1.000000 0.262537 0.988142 0.011858 0.055795 0.269006 0.730994 0.369550 0.415888 0.640288 0.976425
    -4.164 1.000000 0.263314 0.984190 0.015810 0.064522 0.271930 0.728070 0.370576 0.416862 0.641210 0.968629
    -4.097 1.000000 0.264095 0.980237 0.019763 0.072245 0.274854 0.725146 0.371608 0.417840 0.642136 0.960865
    -4.030 1.000000 0.264095 0.980237 0.019763 0.072245 0.274854 0.725146 0.371608 0.417840 0.642136 0.960865
    -3.964 1.000000 0.264095 0.980237 0.019763 0.072245 0.274854 0.725146 0.371608 0.417840 0.642136 0.960865
    -3.897 1.000000 0.264881 0.976285 0.023715 0.079258 0.277778 0.722222 0.372645 0.418824 0.643064 0.953132
    -3.830 1.000000 0.264881 0.976285 0.023715 0.079258 0.277778 0.722222 0.372645 0.418824 0.643064 0.953132
    -3.764 1.000000 0.265672 0.972332 0.027668 0.085736 0.280702 0.719298 0.373688 0.419811 0.643994 0.945430
    -3.697 1.000000 0.265672 0.972332 0.027668 0.085736 0.280702 0.719298 0.373688 0.419811 0.643994 0.945430
    -3.630 1.000000 0.266467 0.968379 0.031621 0.091792 0.283626 0.716374 0.374737 0.420804 0.644928 0.937759
    -3.564 1.000000 0.266467 0.968379 0.031621 0.091792 0.283626 0.716374 0.374737 0.420804 0.644928 0.937759
    -3.497 1.000000 0.267267 0.964427 0.035573 0.097507 0.286550 0.713450 0.375792 0.421801 0.645864 0.930119
    -3.430 1.000000 0.267267 0.964427 0.035573 0.097507 0.286550 0.713450 0.375792 0.421801 0.645864 0.930119
    -3.364 1.000000 0.268882 0.956522 0.043478 0.108123 0.292398 0.707602 0.377919 0.423810 0.647744 0.914934
    -3.297 1.000000 0.269697 0.952569 0.047431 0.113102 0.295322 0.704678 0.378992 0.424821 0.648688 0.907388
    -3.230 1.000000 0.272171 0.940711 0.059289 0.127030 0.304094 0.695906 0.382248 0.427885 0.651537 0.884938
    -3.164 1.000000 0.273006 0.936759 0.063241 0.131397 0.307018 0.692982 0.383345 0.428916 0.652493 0.877517
    -3.097 1.000000 0.274691 0.928854 0.071146 0.139797 0.312865 0.687135 0.385560 0.430993 0.654412 0.862769
    -3.030 1.000000 0.276398 0.920949 0.079051 0.147816 0.318713 0.681287 0.387800 0.433090 0.656342 0.848146
    -2.964 1.000000 0.278125 0.913043 0.086957 0.155515 0.324561 0.675439 0.390066 0.435208 0.658284 0.833648
    -2.897 1.000000 0.280757 0.901186 0.098814 0.166562 0.333333 0.666667 0.393515 0.438424 0.661218 0.812136
    -2.830 1.000000 0.282540 0.893281 0.106719 0.173645 0.339181 0.660819 0.395849 0.440594 0.663189 0.797950
    -2.764 1.000000 0.282540 0.893281 0.106719 0.173645 0.339181 0.660819 0.395849 0.440594 0.663189 0.797950
    -2.697 1.000000 0.285256 0.881423 0.118577 0.183915 0.347953 0.652047 0.399402 0.443890 0.666168 0.776906
    -2.630 1.000000 0.287097 0.873518 0.126482 0.190559 0.353801 0.646199 0.401806 0.446115 0.668168 0.763033
    -2.564 0.988764 0.287582 0.861660 0.138340 0.181720 0.359649 0.640351 0.402133 0.445570 0.664653 0.742584
    -2.497 0.988764 0.291391 0.845850 0.154150 0.195118 0.371345 0.628655 0.407093 0.450128 0.668693 0.715588
    -2.430 0.988764 0.294314 0.833992 0.166008 0.204823 0.380117 0.619883 0.410895 0.453608 0.671756 0.695669
    -2.363 0.988764 0.297297 0.822134 0.177866 0.214281 0.388889 0.611111 0.414768 0.457143 0.674847 0.676031
    -2.297 0.977528 0.296928 0.814229 0.185771 0.204506 0.391813 0.608187 0.413957 0.455497 0.670262 0.663474
    -2.230 0.977528 0.304196 0.786561 0.213439 0.226431 0.412281 0.587719 0.423358 0.464000 0.677570 0.619184
    -2.163 0.977528 0.309609 0.766798 0.233202 0.241525 0.426901 0.573099 0.430338 0.470270 0.682889 0.588485
    -2.097 0.966292 0.309353 0.758893 0.241107 0.233319 0.429825 0.570175 0.429642 0.468665 0.678233 0.577055
    -2.030 0.955056 0.311355 0.743083 0.256917 0.231756 0.438596 0.561404 0.431837 0.469613 0.675676 0.554192
    -1.963 0.955056 0.319549 0.715415 0.284585 0.252912 0.459064 0.540936 0.442324 0.478873 0.683280 0.513839
    -1.897 0.955056 0.325670 0.695652 0.304348 0.267713 0.473684 0.526316 0.450132 0.485714 0.688817 0.485952
    -1.830 0.955056 0.325670 0.695652 0.304348 0.267713 0.473684 0.526316 0.450132 0.485714 0.688817 0.485952
    -1.763 0.955056 0.333333 0.671937 0.328063 0.285230 0.491228 0.508772 0.459874 0.494186 0.695581 0.453519
    -1.697 0.955056 0.337302 0.660079 0.339921 0.293915 0.500000 0.500000 0.464904 0.498534 0.699013 0.437724
    -1.630 0.943820 0.338710 0.648221 0.351779 0.290515 0.505848 0.494152 0.466235 0.498516 0.695364 0.423347
    -1.563 0.943820 0.342857 0.636364 0.363636 0.299275 0.514620 0.485380 0.471469 0.502994 0.698835 0.408115
    -1.497 0.932584 0.342975 0.628458 0.371542 0.293360 0.517544 0.482456 0.471145 0.501511 0.693980 0.399505
    -1.430 0.921348 0.351931 0.596838 0.403162 0.305557 0.538012 0.461988 0.481881 0.509317 0.696095 0.362402
    -1.363 0.921348 0.359649 0.577075 0.422925 0.320434 0.552632 0.447368 0.491508 0.517350 0.702055 0.339202
    -1.297 0.910112 0.366516 0.553360 0.446640 0.327366 0.567251 0.432749 0.499486 0.522581 0.701906 0.314287
    -1.230 0.898876 0.370370 0.537549 0.462451 0.328657 0.576023 0.423977 0.503673 0.524590 0.699301 0.299185
    -1.163 0.898876 0.388350 0.498024 0.501976 0.359366 0.605263 0.394737 0.525739 0.542373 0.711744 0.258254
    -1.097 0.898876 0.404040 0.466403 0.533597 0.384327 0.628655 0.371345 0.544835 0.557491 0.722022 0.227758
    -1.030 0.887640 0.415789 0.438735 0.561265 0.396380 0.646199 0.353801 0.558304 0.566308 0.723443 0.205113
    -0.963 0.865169 0.418478 0.422925 0.577075 0.389206 0.652047 0.347953 0.560000 0.564103 0.712963 0.197045
    -0.897 0.865169 0.442529 0.383399 0.616601 0.422829 0.681287 0.318713 0.588535 0.585551 0.726415 0.165174
    -0.830 0.842697 0.460123 0.347826 0.652174 0.434737 0.701754 0.298246 0.607287 0.595238 0.722543 0.145727
    -0.763 0.831461 0.468354 0.332016 0.667984 0.439547 0.710526 0.289474 0.615811 0.599190 0.719844 0.138640
    -0.697 0.797753 0.470199 0.316206 0.683794 0.425490 0.713450 0.286550 0.614719 0.591667 0.700197 0.140890
    -0.630 0.786517 0.500000 0.276680 0.723320 0.454932 0.739766 0.260234 0.647149 0.611354 0.705645 0.122127
    -0.563 0.730337 0.503876 0.252964 0.747036 0.432144 0.742690 0.257310 0.644628 0.596330 0.670103 0.136709
    -0.497 0.707865 0.543103 0.209486 0.790514 0.461883 0.769006 0.230994 0.683544 0.614634 0.667373 0.129227
    -0.430 0.696629 0.568807 0.185771 0.814229 0.481022 0.783626 0.216374 0.708571 0.626263 0.666667 0.126545
    -0.363 0.651685 0.568627 0.173913 0.826087 0.458216 0.780702 0.219298 0.700201 0.607330 0.633188 0.151569
    -0.297 0.617978 0.591398 0.150198 0.849802 0.461270 0.789474 0.210526 0.715835 0.604396 0.612472 0.168500
    -0.230 0.584270 0.604651 0.134387 0.865613 0.454972 0.792398 0.207602 0.720554 0.594286 0.588235 0.190892
    -0.163 0.528090 0.610390 0.118577 0.881423 0.430184 0.789474 0.210526 0.710327 0.566265 0.542725 0.236760
    -0.097 0.460674 0.602941 0.106719 0.893281 0.389111 0.780702 0.219298 0.681440 0.522293 0.483491 0.302261
    -0.030 0.415730 0.627119 0.086957 0.913043 0.381798 0.783626 0.216374 0.683077 0.500000 0.445783 0.348932
     0.037 0.382022 0.653846 0.071146 0.928854 0.379876 0.786550 0.213450 0.686869 0.482270 0.416667 0.386958
     0.104 0.325843 0.644444 0.063241 0.936759 0.340854 0.777778 0.222222 0.646840 0.432836 0.361596 0.458488
     0.170 0.269663 0.615385 0.059289 0.940711 0.290399 0.766082 0.233918 0.587755 0.375000 0.303797 0.536907
     0.237 0.224719 0.588235 0.055336 0.944664 0.248377 0.757310 0.242690 0.533333 0.325203 0.256410 0.604123
     0.304 0.168539 0.535714 0.051383 0.948617 0.187489 0.745614 0.254386 0.447761 0.256410 0.195312 0.693967
     0.370 0.157303 0.560000 0.043478 0.956522 0.191864 0.748538 0.251462 0.444444 0.245614 0.183727 0.712028
     0.437 0.157303 0.608696 0.035573 0.964427 0.213253 0.754386 0.245614 0.464088 0.250000 0.184697 0.711403
     0.504 0.134831 0.571429 0.035573 0.964427 0.181410 0.748538 0.251462 0.416185 0.218182 0.159151 0.749782
     0.570 0.112360 0.555556 0.031621 0.968379 0.158646 0.745614 0.254386 0.372671 0.186916 0.133690 0.788905
     0.637 0.112360 0.625000 0.023715 0.976285 0.184177 0.751462 0.248538 0.392157 0.190476 0.134409 0.788468
     0.704 0.112360 0.625000 0.023715 0.976285 0.184177 0.751462 0.248538 0.392157 0.190476 0.134409 0.788468
     0.770 0.112360 0.625000 0.023715 0.976285 0.184177 0.751462 0.248538 0.392157 0.190476 0.134409 0.788468
     0.837 0.089888 0.571429 0.023715 0.976285 0.146531 0.745614 0.254386 0.331034 0.155340 0.108108 0.828867
     0.904 0.056180 0.555556 0.015810 0.984190 0.110654 0.742690 0.257310 0.240000 0.102041 0.068493 0.891047
     0.970 0.056180 0.625000 0.011858 0.988142 0.128664 0.745614 0.254386 0.247934 0.103093 0.068681 0.890937
     1.037 0.033708 0.600000 0.007905 0.992095 0.094324 0.742690 0.257310 0.165138 0.063830 0.041551 0.933783
     1.104 0.033708 0.750000 0.003953 0.996047 0.121431 0.745614 0.254386 0.171429 0.064516 0.041667 0.933736
     1.170 0.033708 0.750000 0.003953 0.996047 0.121431 0.745614 0.254386 0.171429 0.064516 0.041667 0.933736
     1.237 0.033708 0.750000 0.003953 0.996047 0.121431 0.745614 0.254386 0.171429 0.064516 0.041667 0.933736
     1.304 0.022472 0.666667 0.003953 0.996047 0.087141 0.742690 0.257310 0.118812 0.043478 0.027855 0.955577
     1.370 0.011236 0.500000 0.003953 0.996047 0.041912 0.739766 0.260234 0.061856 0.021978 0.013966 0.977670
     1.437 0.011236 0.500000 0.003953 0.996047 0.041912 0.739766 0.260234 0.061856 0.021978 0.013966 0.977670
     1.504 0.011236 0.500000 0.003953 0.996047 0.041912 0.739766 0.260234 0.061856 0.021978 0.013966 0.977670
     1.570 0.000000 0.000000 0.003953 0.996047 -0.032119 0.736842 0.263158 0.000000 0.000000 0.000000 1.000016
     1.637 0.000000 0.000000 0.003953 0.996047 -0.032119 0.736842 0.263158 0.000000 0.000000 0.000000 1.000016
