# COMMAND> KORPM_Pucci2018revN.txt 10 11 100
# Total data entries loaded: 342
# Total Experimental Positives 253 and Negatives 89 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.740
# Total Predicted Positives 278 and Negatives 64 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.813
# Predicted data goes from -1.683096 to 4.437506 (range 6.120602) --> 100 samples taken in 0.06120602 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -1.683 1.000000 0.739766 1.000000 0.000000 0.000000 0.739766 0.260234 0.936459 0.850420 0.934269 1.000000
    -1.622 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -1.561 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.499 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.438 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.377 0.992095 0.740413 0.988764 0.011236 0.015673 0.736842 0.263158 0.935985 0.847973 0.928942 0.977717
    -1.316 0.992095 0.740413 0.988764 0.011236 0.015673 0.736842 0.263158 0.935985 0.847973 0.928942 0.977717
    -1.255 0.988142 0.741840 0.977528 0.022472 0.038801 0.736842 0.263158 0.936914 0.847458 0.926612 0.955702
    -1.193 0.988142 0.744048 0.966292 0.033708 0.073024 0.739766 0.260234 0.939261 0.848896 0.927300 0.933861
    -1.132 0.988142 0.746269 0.955056 0.044944 0.102525 0.742690 0.257310 0.941620 0.850340 0.927988 0.912273
    -1.071 0.988142 0.748503 0.943820 0.056180 0.128664 0.745614 0.254386 0.943990 0.851789 0.928678 0.890937
    -1.010 0.984190 0.747748 0.943820 0.056180 0.110654 0.742690 0.257310 0.942587 0.849829 0.925651 0.891047
    -0.949 0.980237 0.751515 0.921348 0.078652 0.140424 0.745614 0.254386 0.945963 0.850772 0.923994 0.849273
    -0.887 0.976285 0.753049 0.910112 0.089888 0.146531 0.745614 0.254386 0.946965 0.850258 0.921642 0.828867
    -0.826 0.976285 0.755352 0.898876 0.101124 0.165853 0.748538 0.251462 0.949391 0.851724 0.922330 0.808541
    -0.765 0.972332 0.754601 0.898876 0.101124 0.152620 0.745614 0.254386 0.947977 0.849741 0.919283 0.808744
    -0.704 0.968379 0.756173 0.887640 0.112360 0.158646 0.745614 0.254386 0.948999 0.849220 0.916916 0.788905
    -0.643 0.968379 0.756173 0.887640 0.112360 0.158646 0.745614 0.254386 0.948999 0.849220 0.916916 0.788905
    -0.581 0.968379 0.763240 0.853933 0.146067 0.209169 0.754386 0.245614 0.956409 0.853659 0.918980 0.730201
    -0.520 0.964427 0.764890 0.842697 0.157303 0.213253 0.754386 0.245614 0.957489 0.853147 0.916604 0.711403
