# COMMAND> KORPMt_Pucci2018revN.txt 10 11 1000
# Total data entries loaded: 342
# Total Experimental Positives 253 and Negatives 89 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.740
# Total Predicted Positives 306 and Negatives 36 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.895
# Predicted data goes from -1.435577 to 4.792288 (range 6.227865) --> 1000 samples taken in 0.006227865 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -1.436 1.000000 0.739766 1.000000 0.000000 0.000000 0.739766 0.260234 0.936459 0.850420 0.934269 1.000000
    -1.429 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -1.423 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -1.417 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -1.411 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -1.404 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -1.398 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -1.392 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -1.386 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -1.380 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -1.373 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -1.367 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -1.361 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -1.355 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.348 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.342 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.336 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.330 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.323 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.317 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.311 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.305 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.299 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.292 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.286 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.280 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.274 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.267 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.261 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.255 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.249 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.243 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.236 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.230 0.992095 0.738235 1.000000 0.000000 -0.045489 0.733918 0.266082 0.933664 0.846543 0.928254 1.000062
    -1.224 0.992095 0.740413 0.988764 0.011236 0.015673 0.736842 0.263158 0.935985 0.847973 0.928942 0.977717
    -1.218 0.992095 0.740413 0.988764 0.011236 0.015673 0.736842 0.263158 0.935985 0.847973 0.928942 0.977717
    -1.211 0.992095 0.740413 0.988764 0.011236 0.015673 0.736842 0.263158 0.935985 0.847973 0.928942 0.977717
    -1.205 0.992095 0.740413 0.988764 0.011236 0.015673 0.736842 0.263158 0.935985 0.847973 0.928942 0.977717
    -1.199 0.992095 0.740413 0.988764 0.011236 0.015673 0.736842 0.263158 0.935985 0.847973 0.928942 0.977717
    -1.193 0.992095 0.740413 0.988764 0.011236 0.015673 0.736842 0.263158 0.935985 0.847973 0.928942 0.977717
    -1.186 0.992095 0.740413 0.988764 0.011236 0.015673 0.736842 0.263158 0.935985 0.847973 0.928942 0.977717
    -1.180 0.992095 0.740413 0.988764 0.011236 0.015673 0.736842 0.263158 0.935985 0.847973 0.928942 0.977717
