# COMMAND> PopMs_Pucci2018revN.txt 3 4 100
# Total data entries loaded: 352
# Total Experimental Positives 261 and Negatives 91 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.741
# Total Predicted Positives 210 and Negatives 142 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.597
# Predicted data goes from -2.450001 to 4.000001 (range 6.450002) --> 100 samples taken in 0.06450002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -2.450 1.000000 0.741477 1.000000 0.000000 0.000000 0.741477 0.258523 0.938286 0.851550 0.934814 1.000000
    -2.386 1.000000 0.743590 0.989011 0.010989 0.090395 0.744318 0.255682 0.940541 0.852941 0.935484 0.978143
    -2.321 1.000000 0.743590 0.989011 0.010989 0.090395 0.744318 0.255682 0.940541 0.852941 0.935484 0.978143
    -2.257 1.000000 0.743590 0.989011 0.010989 0.090395 0.744318 0.255682 0.940541 0.852941 0.935484 0.978143
    -2.192 1.000000 0.743590 0.989011 0.010989 0.090395 0.744318 0.255682 0.940541 0.852941 0.935484 0.978143
    -2.128 1.000000 0.743590 0.989011 0.010989 0.090395 0.744318 0.255682 0.940541 0.852941 0.935484 0.978143
    -2.063 1.000000 0.745714 0.978022 0.021978 0.128021 0.747159 0.252841 0.942806 0.854337 0.936155 0.956527
    -1.999 1.000000 0.745714 0.978022 0.021978 0.128021 0.747159 0.252841 0.942806 0.854337 0.936155 0.956527
    -1.934 1.000000 0.745714 0.978022 0.021978 0.128021 0.747159 0.252841 0.942806 0.854337 0.936155 0.956527
    -1.870 0.996169 0.744986 0.978022 0.021978 0.086430 0.744318 0.255682 0.941460 0.852459 0.933238 0.956542
    -1.805 0.996169 0.744986 0.978022 0.021978 0.086430 0.744318 0.255682 0.941460 0.852459 0.933238 0.956542
    -1.741 0.996169 0.744986 0.978022 0.021978 0.086430 0.744318 0.255682 0.941460 0.852459 0.933238 0.956542
    -1.676 0.996169 0.744986 0.978022 0.021978 0.086430 0.744318 0.255682 0.941460 0.852459 0.933238 0.956542
    -1.612 0.992337 0.744253 0.978022 0.021978 0.059131 0.741477 0.258523 0.940109 0.850575 0.930316 0.956586
    -1.547 0.992337 0.746398 0.967033 0.032967 0.093623 0.744318 0.255682 0.942389 0.851974 0.930985 0.935211
    -1.483 0.988506 0.747826 0.956044 0.043956 0.101802 0.744318 0.255682 0.943327 0.851485 0.928726 0.914152
    -1.418 0.988506 0.747826 0.956044 0.043956 0.101802 0.744318 0.255682 0.943327 0.851485 0.928726 0.914152
    -1.354 0.988506 0.747826 0.956044 0.043956 0.101802 0.744318 0.255682 0.943327 0.851485 0.928726 0.914152
    -1.289 0.988506 0.752187 0.934066 0.065934 0.151004 0.750000 0.250000 0.947949 0.854305 0.930065 0.872611
    -1.225 0.988506 0.752187 0.934066 0.065934 0.151004 0.750000 0.250000 0.947949 0.854305 0.930065 0.872611
    -1.160 0.977011 0.752212 0.923077 0.076923 0.125209 0.744318 0.255682 0.946197 0.850000 0.921909 0.852599
    -1.096 0.973180 0.753709 0.912088 0.087912 0.132424 0.744318 0.255682 0.947172 0.849498 0.919623 0.832624
    -1.031 0.969349 0.757485 0.890110 0.109890 0.157496 0.747159 0.252841 0.950532 0.850420 0.917997 0.793235
    -0.967 0.969349 0.762048 0.868132 0.131868 0.191430 0.752841 0.247159 0.955318 0.853288 0.919331 0.754592
    -0.902 0.965517 0.761329 0.868132 0.131868 0.180016 0.750000 0.250000 0.953943 0.851351 0.916364 0.754842
    -0.838 0.957854 0.762195 0.857143 0.142857 0.174935 0.747159 0.252841 0.953592 0.848896 0.911079 0.736470
    -0.773 0.950192 0.763077 0.846154 0.153846 0.171162 0.744318 0.255682 0.953235 0.846416 0.905771 0.718457
    -0.709 0.938697 0.768025 0.813187 0.186813 0.188525 0.744318 0.255682 0.956409 0.844828 0.898753 0.665031
    -0.644 0.934866 0.767296 0.813187 0.186813 0.180345 0.741477 0.258523 0.954990 0.842832 0.895742 0.665515
    -0.580 0.923372 0.767516 0.802198 0.197802 0.170959 0.735795 0.264205 0.953197 0.838261 0.887334 0.649393
    -0.515 0.919540 0.771704 0.780220 0.219780 0.190144 0.738636 0.261364 0.956811 0.839161 0.885609 0.615217
    -0.451 0.904215 0.776316 0.747253 0.252747 0.200252 0.735795 0.264205 0.958700 0.835398 0.875371 0.567562
    -0.386 0.885057 0.788396 0.681319 0.318681 0.238811 0.738636 0.261364 0.967202 0.833935 0.863874 0.477407
    -0.322 0.862069 0.800712 0.615385 0.384615 0.269154 0.738636 0.261364 0.974729 0.830258 0.849057 0.397723
    -0.257 0.839080 0.814126 0.549451 0.450549 0.298723 0.738636 0.261364 0.982797 0.826415 0.833968 0.327791
    -0.193 0.823755 0.817490 0.527473 0.472527 0.298451 0.732955 0.267045 0.982483 0.820611 0.822494 0.309290
    -0.128 0.773946 0.834711 0.439560 0.560440 0.315853 0.718750 0.281250 0.986168 0.803181 0.785381 0.244314
    -0.064 0.716475 0.842342 0.384615 0.615385 0.301056 0.690341 0.309659 0.976501 0.774327 0.738547 0.228315
     0.001 0.689655 0.857143 0.329670 0.670330 0.321271 0.684659 0.315341 0.980926 0.764331 0.717703 0.204996
     0.065 0.632184 0.863874 0.285714 0.714286 0.304492 0.653409 0.346591 0.965854 0.730088 0.668016 0.216921
     0.130 0.590038 0.880000 0.230769 0.769231 0.314597 0.636364 0.363636 0.961498 0.706422 0.631665 0.221323
     0.194 0.555556 0.900621 0.175824 0.824176 0.333724 0.625000 0.375000 0.961326 0.687204 0.601660 0.228445
     0.259 0.509579 0.923611 0.120879 0.879121 0.346132 0.605114 0.394886 0.953405 0.656790 0.559764 0.255125
     0.323 0.444444 0.935484 0.087912 0.912088 0.326785 0.565341 0.434659 0.919419 0.602597 0.496575 0.316371
     0.388 0.402299 0.954545 0.054945 0.945055 0.328102 0.542614 0.457386 0.898716 0.566038 0.454939 0.360266
     0.452 0.379310 0.961165 0.043956 0.956044 0.322720 0.528409 0.471591 0.882615 0.543956 0.431561 0.387188
     0.517 0.348659 0.957895 0.043956 0.956044 0.300531 0.505682 0.494318 0.851794 0.511236 0.399473 0.426177
     0.581 0.298851 0.962963 0.032967 0.967033 0.276570 0.471591 0.528409 0.800000 0.456140 0.346667 0.492697
     0.646 0.264368 0.971831 0.021978 0.978022 0.264468 0.448864 0.551136 0.759633 0.415663 0.309417 0.541638
     0.710 0.237548 0.984127 0.010989 0.989011 0.258763 0.431818 0.568182 0.725146 0.382716 0.280036 0.581454
     0.775 0.222222 0.983051 0.010989 0.989011 0.247596 0.420455 0.579545 0.700201 0.362500 0.262919 0.605059
     0.840 0.187739 0.980000 0.010989 0.989011 0.221673 0.394886 0.605114 0.637744 0.315113 0.223949 0.659888
     0.904 0.149425 0.975000 0.010989 0.989011 0.190978 0.366477 0.633523 0.555819 0.259136 0.179889 0.723598
     0.969 0.145594 0.974359 0.010989 0.989011 0.187757 0.363636 0.636364 0.546763 0.253333 0.175439 0.730131
     1.033 0.134100 0.972222 0.010989 0.989011 0.177886 0.355114 0.644886 0.518519 0.235690 0.162037 0.749904
     1.098 0.111111 1.000000 0.000000 1.000000 0.176929 0.340909 0.659091 0.461538 0.200000 0.135135 0.790123
     1.162 0.095785 1.000000 0.000000 1.000000 0.163266 0.329545 0.670455 0.415512 0.174825 0.116932 0.817604
     1.227 0.080460 1.000000 0.000000 1.000000 0.148729 0.318182 0.681818 0.365217 0.148936 0.098592 0.845554
     1.291 0.072797 1.000000 0.000000 1.000000 0.141044 0.312500 0.687500 0.338279 0.135714 0.089370 0.859706
     1.356 0.072797 1.000000 0.000000 1.000000 0.141044 0.312500 0.687500 0.338279 0.135714 0.089370 0.859706
     1.420 0.049808 1.000000 0.000000 1.000000 0.115630 0.295455 0.704545 0.249201 0.094891 0.061495 0.902864
     1.485 0.049808 1.000000 0.000000 1.000000 0.115630 0.295455 0.704545 0.249201 0.094891 0.061495 0.902864
     1.549 0.045977 1.000000 0.000000 1.000000 0.110931 0.292614 0.707386 0.233010 0.087912 0.056818 0.910160
     1.614 0.042146 1.000000 0.000000 1.000000 0.106052 0.289773 0.710227 0.216393 0.080882 0.052133 0.917485
     1.678 0.038314 1.000000 0.000000 1.000000 0.100969 0.286932 0.713068 0.199336 0.073801 0.047438 0.924840
     1.743 0.030651 1.000000 0.000000 1.000000 0.090046 0.281250 0.718750 0.163823 0.059480 0.038023 0.939637
     1.807 0.030651 1.000000 0.000000 1.000000 0.090046 0.281250 0.718750 0.163823 0.059480 0.038023 0.939637
     1.872 0.026820 1.000000 0.000000 1.000000 0.084109 0.278409 0.721591 0.145329 0.052239 0.033302 0.947079
     1.936 0.019157 1.000000 0.000000 1.000000 0.070880 0.272727 0.727273 0.106762 0.037594 0.023832 0.962053
     2.001 0.019157 1.000000 0.000000 1.000000 0.070880 0.272727 0.727273 0.106762 0.037594 0.023832 0.962053
     2.065 0.015326 1.000000 0.000000 1.000000 0.063305 0.269886 0.730114 0.086643 0.030189 0.019084 0.969584
     2.130 0.015326 1.000000 0.000000 1.000000 0.063305 0.269886 0.730114 0.086643 0.030189 0.019084 0.969584
     2.194 0.007663 1.000000 0.000000 1.000000 0.044636 0.264205 0.735795 0.044610 0.015209 0.009560 0.984733
     2.259 0.007663 1.000000 0.000000 1.000000 0.044636 0.264205 0.735795 0.044610 0.015209 0.009560 0.984733
     2.323 0.007663 1.000000 0.000000 1.000000 0.044636 0.264205 0.735795 0.044610 0.015209 0.009560 0.984733
     2.388 0.007663 1.000000 0.000000 1.000000 0.044636 0.264205 0.735795 0.044610 0.015209 0.009560 0.984733
     2.452 0.007663 1.000000 0.000000 1.000000 0.044636 0.264205 0.735795 0.044610 0.015209 0.009560 0.984733
