# COMMAND> TherNet_Pucci2018revN.txt 3 4 1000
# Total data entries loaded: 342
# Total Experimental Positives 253 and Negatives 89 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.740
# Total Predicted Positives 202 and Negatives 140 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.591
# Predicted data goes from -2.500001 to 3.750001 (range 6.250002) --> 1000 samples taken in 0.006250002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -2.500 1.000000 0.739766 1.000000 0.000000 0.000000 0.739766 0.260234 0.936459 0.850420 0.934269 1.000000
    -2.494 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -2.488 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -2.481 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -2.475 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -2.469 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -2.463 0.996047 0.739003 1.000000 0.000000 -0.032119 0.736842 0.263158 0.935065 0.848485 0.931264 1.000016
    -2.456 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.450 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.444 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.438 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.431 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.425 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.419 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.413 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.406 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.400 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.394 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.388 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.381 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.375 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.369 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.363 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.356 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.350 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.344 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.338 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.331 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.325 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.319 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.313 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.306 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.300 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.294 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.288 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.281 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.275 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.269 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.263 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.256 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.250 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.244 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.238 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.231 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.225 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.219 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.213 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.206 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.200 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.194 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.188 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.181 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.175 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.169 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.163 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.156 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.150 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.144 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.138 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.131 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.125 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.119 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.113 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.106 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.100 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.094 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.088 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.081 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
    -2.075 0.996047 0.741176 0.988764 0.011236 0.041912 0.739766 0.260234 0.937384 0.849916 0.931953 0.977670
