# COMMAND> TherNet_Pucci2018revN.txt 3 4 100
# Total data entries loaded: 352
# Total Experimental Positives 261 and Negatives 91 using 0 threshold.
# Experimental Positives ratio EP/(EN+EP)= 0.741
# Total Predicted Positives 207 and Negatives 145 using 0 threshold.
# Predicted Positives ratio PP/(PN+PP)= 0.588
# Predicted data goes from -2.500001 to 3.750001 (range 6.250002) --> 100 samples taken in 0.06250002 steps.
#
#     thrP  REC|TPR PREC|PPV      FPR       SP      MCC      ACC      ERR      F05       F1       F2    dist2
    -2.500 1.000000 0.741477 1.000000 0.000000 0.000000 0.741477 0.258523 0.938286 0.851550 0.934814 1.000000
    -2.438 0.996169 0.742857 0.989011 0.010989 0.041693 0.741477 0.258523 0.939193 0.851064 0.932568 0.978157
    -2.375 0.996169 0.742857 0.989011 0.010989 0.041693 0.741477 0.258523 0.939193 0.851064 0.932568 0.978157
    -2.313 0.996169 0.742857 0.989011 0.010989 0.041693 0.741477 0.258523 0.939193 0.851064 0.932568 0.978157
    -2.250 0.996169 0.742857 0.989011 0.010989 0.041693 0.741477 0.258523 0.939193 0.851064 0.932568 0.978157
    -2.188 0.996169 0.742857 0.989011 0.010989 0.041693 0.741477 0.258523 0.939193 0.851064 0.932568 0.978157
    -2.125 0.996169 0.742857 0.989011 0.010989 0.041693 0.741477 0.258523 0.939193 0.851064 0.932568 0.978157
    -2.063 0.996169 0.742857 0.989011 0.010989 0.041693 0.741477 0.258523 0.939193 0.851064 0.932568 0.978157
    -2.000 0.996169 0.742857 0.989011 0.010989 0.041693 0.741477 0.258523 0.939193 0.851064 0.932568 0.978157
    -1.938 0.996169 0.742857 0.989011 0.010989 0.041693 0.741477 0.258523 0.939193 0.851064 0.932568 0.978157
    -1.875 0.996169 0.742857 0.989011 0.010989 0.041693 0.741477 0.258523 0.939193 0.851064 0.932568 0.978157
    -1.813 0.996169 0.744986 0.978022 0.021978 0.086430 0.744318 0.255682 0.941460 0.852459 0.933238 0.956542
    -1.750 0.996169 0.744986 0.978022 0.021978 0.086430 0.744318 0.255682 0.941460 0.852459 0.933238 0.956542
    -1.688 0.996169 0.744986 0.978022 0.021978 0.086430 0.744318 0.255682 0.941460 0.852459 0.933238 0.956542
    -1.625 0.996169 0.749280 0.956044 0.043956 0.148458 0.750000 0.250000 0.946028 0.855263 0.934579 0.914035
    -1.563 0.996169 0.749280 0.956044 0.043956 0.148458 0.750000 0.250000 0.946028 0.855263 0.934579 0.914035
    -1.500 0.992337 0.748555 0.956044 0.043956 0.122759 0.747159 0.252841 0.944681 0.853377 0.931655 0.914079
